date,ret
1991-07-04,
1991-07-05,
1991-07-08,
1991-07-09,
1991-07-10,
1991-07-11,
1991-07-12,
1991-07-15,
1991-07-16,
1991-07-17,
1991-07-18,
1991-07-19,
1991-07-22,
1991-07-23,
1991-07-24,
1991-07-25,
1991-07-26,
1991-07-29,
1991-07-30,
1991-07-31,0.3
1991-08-01,0.35
1991-08-02,0.3
1991-08-05,0.35
1991-08-06,0.35
1991-08-07,0.35
1991-08-08,0.3
1991-08-09,0.3
1991-08-12,0.3
1991-08-13,0.35
1991-08-14,0.35
1991-08-15,0.4
1991-08-16,0.35
1991-08-19,0.35
1991-08-20,0.35
1991-08-21,0.3
1991-08-22,0.3
1991-08-23,0.3
1991-08-26,0.3
1991-08-27,0.3
1991-08-28,0.25
1991-08-29,0.2
1991-08-30,0.2
1991-09-02,0.2
1991-09-03,0.2
1991-09-04,0.25
1991-09-05,0.25
1991-09-06,0.25
1991-09-09,0.3
1991-09-10,0.3
1991-09-11,0.35
1991-09-12,0.35
1991-09-13,0.35
1991-09-16,0.3
1991-09-17,0.3
1991-09-18,0.3
1991-09-19,0.3
1991-09-20,0.3
1991-09-23,0.35
1991-09-24,0.35
1991-09-25,0.35
1991-09-26,0.35
1991-09-27,0.4
1991-09-30,0.4
1991-10-03,0.45
1991-10-04,0.4
1991-10-07,0.45
1991-10-08,0.5
1991-10-09,0.5
1991-10-10,0.45
1991-10-11,0.45
1991-10-14,0.45
1991-10-15,0.45
1991-10-16,0.45
1991-10-17,0.5
1991-10-18,0.55
1991-10-21,0.55
1991-10-22,0.55
1991-10-23,0.55
1991-10-24,0.6
1991-10-25,0.6
1991-10-28,0.65
1991-10-29,0.65
1991-10-30,0.65
1991-10-31,0.65
1991-11-01,0.7
1991-11-04,0.7
1991-11-05,0.65
1991-11-06,0.6
1991-11-07,0.65
1991-11-08,0.65
1991-11-11,0.6
1991-11-12,0.65
1991-11-13,0.7
1991-11-14,0.7
1991-11-15,0.65
1991-11-18,0.65
1991-11-19,0.7
1991-11-20,0.65
1991-11-21,0.6
1991-11-22,0.65
1991-11-25,0.6
1991-11-26,0.55
1991-11-27,0.55
1991-11-28,0.5
1991-11-29,0.5
1991-12-02,0.45
1991-12-03,0.5
1991-12-04,0.5
1991-12-05,0.45
1991-12-06,0.45
1991-12-09,0.5
1991-12-10,0.5
1991-12-11,0.45
1991-12-12,0.4
1991-12-13,0.4
1991-12-16,0.45
1991-12-17,0.4
1991-12-18,0.45
1991-12-19,0.45
1991-12-20,0.4
1991-12-23,0.45
1991-12-24,0.5
1991-12-25,0.45
1991-12-26,0.45
1991-12-27,0.45
1991-12-30,0.5
1991-12-31,0.45
1992-01-02,0.5
1992-01-03,0.55
1992-01-06,0.55
1992-01-07,0.55
1992-01-08,0.5
1992-01-09,0.5
1992-01-10,0.55
1992-01-13,0.55
1992-01-14,0.5
1992-01-15,0.5
1992-01-16,0.45
1992-01-17,0.45
1992-01-20,0.5
1992-01-21,0.45
1992-01-22,0.45
1992-01-23,0.5
1992-01-24,0.55
1992-01-27,0.5
1992-01-28,0.5
1992-01-29,0.55
1992-01-30,0.55
1992-01-31,0.55
1992-02-03,0.5
1992-02-07,0.45
1992-02-10,0.45
1992-02-11,0.45
1992-02-12,0.45
