sym,code,name,mkt,list_date_s,end_date_s
sh600005,600005,武钢股份,sh,1999-08-03,2017-02-14
sh600068,600068,葛洲坝,sh,1997-05-26,2021-09-13
sh600069,600069,退市银鸽,sh,1997-04-30,2020-08-28
sh600070,600070,*ST富润,sh,1997-06-04,2025-04-30
sh600074,600074,退市保千,sh,1997-06-23,2020-06-03
sh600077,600077,*ST宋都,sh,1997-05-20,2023-07-25
sh600083,600083,*ST博信,sh,1997-06-06,2025-03-05
sh600086,600086,退市金钰,sh,1997-06-06,2021-03-18
sh600087,600087,退市长油,sh,1997-06-12,2014-06-05
sh600090,600090,退市济堂,sh,1997-06-16,2022-07-07
sh600091,600091,退市明科,sh,1997-07-04,2022-06-21
sh600093,600093,退市易见,sh,1997-06-26,2022-06-23
sh600112,600112,*ST天成,sh,1997-11-27,2024-08-15
sh600122,600122,*ST宏图,sh,1998-04-20,2023-06-26
sh600139,600139,*ST西源,sh,1998-02-25,2023-03-27
sh600145,600145,退市新亿,sh,1999-09-23,2022-04-28
sh600146,600146,退市环球,sh,1999-07-07,2022-06-30
sh600175,600175,退市美都,sh,1999-04-08,2020-08-17
sh600190,600190,退市锦港,sh,1998-05-19,2025-07-28
sh600193,600193,退市创兴,sh,1999-05-27,2026-07-06
sh600200,600200,退市苏吴,sh,1999-04-01,2025-12-31
sh600209,600209,退市罗顿,sh,1999-03-25,2022-06-22
sh600213,600213,*ST亚星,sh,1999-08-31,2024-10-17
sh600220,600220,ST阳光,sh,1999-09-27,2024-07-10
sh600225,600225,退市卓朗,sh,2000-01-27,2025-03-06
sh600240,600240,退市华业,sh,2000-06-28,2020-02-06
sh600242,600242,退市中昌,sh,2000-12-07,2023-06-29
sh600247,600247,*ST成城,sh,2000-11-23,2021-03-22
sh600260,600260,*ST凯乐,sh,2000-07-06,2023-02-15
sh600270,600270,外运发展,sh,2000-12-28,2018-12-28
sh600275,600275,退市昌鱼,sh,2000-08-10,2022-06-22
sh600277,600277,ST亿利,sh,2000-07-25,2024-07-18
sh600290,600290,*ST华仪,sh,2000-11-06,2024-01-16
sh600291,600291,退市西水,sh,2000-07-31,2022-06-14
sh600297,600297,广汇汽车,sh,2000-11-16,2024-08-28
sh600306,600306,退市商城,sh,2000-12-26,2024-06-26
sh600311,600311,*ST荣华,sh,2001-06-26,2023-03-27
sh600317,600317,营口港,sh,2002-01-31,2021-01-29
sh600321,600321,正源股份,sh,2001-05-24,2024-06-27
sh600355,600355,*ST精伦,sh,2002-06-13,2026-04-27
sh600385,600385,退市金泰,sh,2001-07-23,2022-07-07
sh600387,600387,退市海越,sh,2004-02-18,2025-07-11
sh600393,600393,ST粤泰,sh,2001-03-19,2023-07-18
sh600401,600401,退市海润,sh,2003-09-24,2019-07-15
sh600421,600421,退市华嵘,sh,2004-06-07,2026-06-26
sh600432,600432,退市吉恩,sh,2003-09-05,2018-07-13
sh600462,600462,退市九有,sh,2003-09-03,2025-07-21
sh600466,600466,*ST蓝光,sh,2001-02-12,2023-06-06
sh600485,600485,*ST信威,sh,2003-08-07,2021-06-01
sh600532,600532,退市未来,sh,2002-10-31,2023-06-28
sh600555,600555,退市海创,sh,1999-01-18,2022-07-14
sh600565,600565,ST迪马,sh,2002-07-23,2024-08-07
sh600599,600599,退市熊猫,sh,2001-08-28,2026-06-26
sh600608,600608,退市沪科,sh,1992-03-27,2026-07-03
sh600614,600614,退市鹏起,sh,1992-07-28,2021-07-22
sh600634,600634,退市富控,sh,1993-03-04,2021-07-22
sh600636,600636,退市国化,sh,1993-03-16,2026-06-29
sh600647,600647,退市同达,sh,1993-05-04,2024-07-03
sh600652,600652,退市游久,sh,1990-12-19,2022-06-21
sh600656,600656,退市博元,sh,1990-12-19,2016-05-13
sh600677,600677,*ST航通,sh,1993-09-28,2021-03-18
sh600680,600680,*ST上普,sh,1993-10-18,2019-05-24
sh600687,600687,退市刚泰,sh,1993-11-08,2021-03-04
sh600695,600695,退市绿庭,sh,1993-11-22,2022-06-15
sh600696,600696,退市岩石,sh,1993-12-06,2026-06-29
sh600701,600701,退市工新,sh,1996-05-28,2021-05-06
sh600705,600705,中航产融,sh,1996-05-16,2025-05-27
sh600723,600723,首商股份,sh,1996-07-16,2021-10-22
sh600747,600747,退市大控,sh,1996-09-16,2019-12-13
sh600766,600766,退市园城,sh,1996-10-28,2024-07-03
sh600767,600767,退市运盛,sh,1996-11-15,2023-06-29
sh600781,600781,退市辅仁,sh,1996-12-18,2023-06-28
sh600804,600804,退市鹏博,sh,1994-01-03,2025-07-03
sh600806,600806,退市昆机,sh,1994-01-03,2018-07-13
sh600811,600811,*ST东方,sh,1994-01-06,2025-04-30
sh600823,600823,*ST世茂,sh,1994-02-04,2024-06-14
sh600832,600832,东方明珠,sh,1994-02-24,2015-05-20
sh600836,600836,*ST易连,sh,1994-02-24,2024-07-11
sh600837,600837,海通证券,sh,1994-02-24,2025-03-04
sh600856,600856,退市中天,sh,1994-04-25,2022-06-22
sh600870,600870,退市厦华,sh,1995-02-28,2022-06-30
sh600890,600890,退市中房,sh,1996-03-18,2022-06-21
