cfg,n,wr,med,mean,ex_b,ex_m,tp,sl,hold,h1_n,h1_wr,h1_med,h2_n,h2_wr,h2_med,gate4
F0_E0,1111,46.0,-0.6329283069126723,-0.1811448961955199,-0.2511524268378548,-0.7829553532457845,21.4,0.0,1.0567056705670568,649,43.14,-1.147,462,50.0,-0.015,FAIL
F0_E1,1111,40.5,-2.002591314935065,-0.7585204124963227,-0.8416843272216777,-2.1433445364723913,0.0,27.8,4.167416741674168,649,35.13,-2.759,462,48.05,-0.589,FAIL
F0_E2,1111,41.1,-1.8578934352517895,-1.3577175038517724,-1.411924654322084,-1.951418401990701,0.0,0.0,4.732673267326732,649,35.59,-2.654,462,48.92,-0.312,FAIL
F1_E0,1019,45.5,-0.6928249984896051,-0.24629698835167135,-0.32190801597773194,-0.8493452766945464,22.0,0.0,1.055937193326791,616,43.51,-1.128,403,48.64,-0.211,FAIL
F1_E1,1019,40.7,-2.0906302897135354,-0.8734958925077511,-0.9400258335271758,-2.2313835112508618,0.0,28.9,4.141315014720314,616,36.2,-2.699,403,47.64,-0.683,FAIL
F1_E2,1019,41.4,-2.006312499999996,-1.5006307385363664,-1.5359181307781604,-2.0998374667389075,0.0,0.0,4.739941118743866,616,36.69,-2.605,403,48.64,-0.501,FAIL
F2_E0,274,42.3,-1.2695777963591504,-0.4382202618230688,-0.5856839686566677,-1.4685008990901138,23.7,0.0,1.0875912408759123,181,42.54,-1.398,93,41.94,-0.949,FAIL
F2_E1,274,43.1,-2.3879871510510906,-0.07987805430737091,0.0855043444382412,-2.2216700615669938,0.0,35.4,3.8649635036496353,181,40.33,-2.813,93,48.39,-1.147,FAIL
F2_E2,274,43.4,-2.284557591546732,-0.6094541677371375,-0.382582559368146,-2.097428912011984,0.0,0.0,4.645985401459854,181,40.88,-2.584,93,48.39,-1.147,FAIL
F12_E0,254,42.1,-1.2563386600378756,-0.404856142356765,-0.5503348528297141,-1.4552617627688391,25.2,0.0,1.0905511811023623,171,42.11,-1.411,83,42.17,-0.851,FAIL
F12_E1,254,43.7,-2.3200617966768866,0.04881732728633875,0.19953341398041965,-2.186783192723335,0.0,35.0,3.854330708661417,171,40.94,-2.803,83,49.4,-1.147,FAIL
F12_E2,254,44.1,-2.198046838724893,-0.4988704542314243,-0.24498762279745695,-2.0291639921815983,0.0,0.0,4.665354330708661,171,41.52,-2.452,83,49.4,-1.147,FAIL
