sym,close,amt20_wan,volbr,ret20_pct,comp_prov,rank_prov
sh600076,2.09,10068.6,0.859,-34.69,3.7207,1
sz301030,5.33,7674.0,1.524,-36.17,3.693,2
sz002586,3.74,3677.5,0.394,-13.43,3.1838,3
sh603378,4.71,7756.3,1.106,-27.54,3.1426,4
sh603515,14.6,2509.0,0.513,-11.03,3.1091,5
sz301260,11.76,3028.9,0.563,-13.21,3.0882,6
sh603173,29.48,2502.8,0.358,-6.71,2.9699,7
sh600381,4.2,2781.1,0.779,-13.4,2.9613,8
sh603611,15.67,2527.4,0.33,-5.43,2.903,9
sh603639,10.41,2251.2,0.339,-4.14,2.867,10
sh603557,3.14,2016.7,0.963,-10.8,2.854,11
sz000931,4.52,17502.9,0.258,-20.7,2.8453,12
sz002742,4.14,30798.4,0.307,-26.98,2.825,13
sh603706,17.12,2245.2,0.481,-6.14,2.815,14
sz301665,22.06,5080.5,0.383,-11.58,2.7838,15
sz300268,12.0,3974.8,0.466,-10.78,2.7829,16
sh605339,13.14,2651.6,0.609,-9.07,2.7824,17
sz301177,23.06,7355.7,0.281,-12.59,2.7773,18
sh605086,23.54,2804.0,0.573,-9.01,2.7722,19
sz300882,13.29,2287.4,0.546,-6.28,2.7296,20
sz000695,12.71,8568.5,0.433,-16.16,2.6842,21
sz002737,11.24,6156.1,0.571,-15.17,2.6814,22
sh600191,9.06,11391.7,0.455,-19.11,2.6795,23
sz002193,4.65,2403.1,0.464,-4.91,2.6774,24
sz301552,24.3,3452.7,0.316,-5.26,2.6678,25
sz002678,4.39,6126.4,0.504,-13.92,2.6588,26
sz000545,2.17,15199.4,0.293,-17.8,2.6213,27
sz000521,4.33,4092.6,0.592,-10.91,2.6134,28
sz300092,11.15,3079.1,0.54,-7.32,2.5891,29
sh600182,12.59,2110.5,0.81,-6.81,2.5836,30
sh603398,8.75,6825.9,0.665,-16.11,2.5819,31
sz002853,21.26,2984.9,0.44,-5.38,2.5795,32
sz300818,16.4,4769.2,0.778,-13.96,2.5793,33
sh603205,21.57,3073.0,0.495,-6.38,2.5666,34
sz300293,14.4,4778.8,0.539,-11.06,2.5644,35
sz300125,8.79,7020.7,0.45,-13.14,2.5551,36
sz301370,8.58,2161.9,0.701,-5.61,2.5536,37
sz002207,5.38,4277.2,0.356,-6.76,2.5485,38
sz300419,7.44,6065.3,0.937,-17.15,2.5431,39
sh605255,58.1,3672.4,1.191,-14.29,2.5402,40
sz301168,39.82,2893.9,0.431,-4.37,2.53,41
sz002719,6.25,2303.9,0.601,-4.73,2.526,42
sz301491,37.05,2464.9,0.577,-5.02,2.5252,43
sz300175,5.35,3870.1,0.644,-9.93,2.5187,44
sz000838,2.31,9679.1,1.008,-21.69,2.5175,45
sh603057,17.67,4768.1,1.405,-17.58,2.51,46
sz002816,21.29,3399.8,0.947,-11.48,2.5064,47
sh600846,10.83,2996.0,0.753,-8.53,2.5005,48
sz300856,10.4,3267.4,0.416,-4.76,2.4886,49
sz002412,9.1,69905.9,0.559,-35.09,2.4845,50
sz301068,25.07,4488.0,0.61,-10.46,2.4818,51
sh603196,18.49,3504.7,0.609,-8.15,2.4794,52
