n,wr,med,mean,ex_b,ex_m,pf,gates,top_exit_n,top_exit_share,avg_hold,K,N,cost,nav_worst3,nav_total,nav_cagr,nav_maxdd,nav_sharpe
15624,37.93,-0.931,-0.659,-0.689,-0.664,1.04,fail(1/5),0,0.0,1.0,2,1,0.00575,"[['2016-12-12', -0.1013], ['2018-01-29', -0.0825], ['2025-11-07', -0.0738]]",-99.99,-61.45,-100.0,-1.946
15624,47.65,-0.185,0.089,0.059,0.083,1.17,fail(4/5),0,0.0,1.0,2,1,0.002,"[['2016-12-12', -0.0976], ['2018-01-29', -0.0787], ['2025-11-07', -0.07]]",-94.25,-24.21,-96.03,-0.457
15623,51.46,0.166,0.433,0.277,-0.237,1.17,PASS,0,0.0,2.0,2,2,0.00575,"[['2018-12-10', -0.0897], ['2026-09-09', -0.0855], ['2026-01-26', -0.0795]]",-99.97,-53.9,-99.97,-2.151
15623,58.38,0.92,1.19,1.033,0.519,1.28,PASS,0,0.0,2.0,2,2,0.002,"[['2018-12-10', -0.0897], ['2026-09-09', -0.0855], ['2026-01-26', -0.0777]]",-94.68,-24.77,-95.56,-0.703
15621,53.9,0.527,0.789,0.608,-0.024,1.17,PASS,0,0.0,3.0,2,3,0.00575,"[['2016-12-12', -0.0981], ['2018-12-10', -0.0897], ['2026-08-19', -0.0885]]",-99.78,-44.67,-99.79,-1.506
15621,59.3,1.284,1.547,1.366,0.735,1.27,PASS,0,0.0,3.0,2,3,0.002,"[['2016-12-12', -0.0962], ['2018-12-10', -0.0897], ['2026-08-19', -0.0885]]",-87.72,-18.42,-89.75,-0.416
15616,58.05,1.338,1.846,1.449,0.55,1.3,PASS,0,0.0,5.0,2,5,0.00575,"[['2025-11-06', -0.0994], ['2016-12-12', -0.0981], ['2025-04-07', -0.0865]]",-99.11,-36.83,-99.12,-1.272
15616,62.44,2.101,2.613,2.216,1.316,1.37,PASS,0,0.0,5.0,2,5,0.002,"[['2025-11-06', -0.0994], ['2016-12-12', -0.0962], ['2025-04-07', -0.0857]]",-84.56,-16.61,-88.7,-0.413
15608,63.03,3.426,3.268,2.585,1.982,1.22,PASS,0,0.0,10.0,2,10,0.00575,"[['2016-12-12', -0.0892], ['2025-04-07', -0.0846], ['2024-02-05', -0.0777]]",-99.25,-37.83,-99.34,-1.428
15608,65.72,4.204,4.046,3.362,2.759,1.28,PASS,0,0.0,10.0,2,10,0.002,"[['2016-12-12', -0.0883], ['2025-04-07', -0.0839], ['2024-02-05', -0.0774]]",-95.77,-26.44,-96.54,-0.875
15585,65.81,5.77,6.109,4.773,4.783,1.38,PASS,35,0.0022,20.0,2,20,0.00575,"[['2016-12-12', -0.0874], ['2025-04-07', -0.0827], ['2024-02-05', -0.0802]]",-96.76,-28.3,-97.59,-1.027
15585,67.56,6.566,6.907,5.572,5.581,1.44,PASS,35,0.0022,20.0,2,20,0.002,"[['2016-12-12', -0.0867], ['2025-04-07', -0.0822], ['2024-02-05', -0.08]]",-90.93,-20.78,-93.62,-0.68
4805,39.25,-0.953,-0.587,-0.667,-0.578,1.06,fail(1/5),0,0.0,1.0,3,1,0.00575,"[['2025-10-17', -0.1055], ['2025-01-22', -0.1051], ['2018-01-29', -0.0825]]",-99.91,-49.46,-99.92,-2.604
4805,47.85,-0.207,0.161,0.082,0.17,1.21,fail(4/5),0,0.0,1.0,3,1,0.002,"[['2025-10-17', -0.1017], ['2025-01-22', -0.1014], ['2018-01-29', -0.0787]]",-91.71,-21.53,-94.97,-0.865
4805,56.0,0.683,1.09,0.828,-0.001,1.28,PASS,0,0.0,2.0,3,2,0.00575,"[['2025-01-23', -0.1052], ['2025-01-22', -0.0994], ['2017-12-04', -0.0966]]",-99.78,-44.87,-99.82,-1.847
4805,62.06,1.441,1.851,1.589,0.76,1.4,PASS,0,0.0,2.0,3,2,0.002,"[['2025-01-23', -0.1015], ['2025-01-22', -0.0994], ['2017-12-04', -0.0947]]",-92.28,-22.06,-95.64,-0.7
4804,58.58,1.262,1.566,1.291,0.276,1.25,PASS,0,0.0,3.0,3,3,0.00575,"[['2018-03-23', -0.1004], ['2021-07-26', -0.1003], ['2025-01-22', -0.0994]]",-99.06,-36.49,-99.38,-1.281
4804,63.59,2.025,2.331,2.056,1.041,1.34,PASS,0,0.0,3.0,3,3,0.002,"[['2018-03-23', -0.1004], ['2021-07-26', -0.1003], ['2025-01-22', -0.0994]]",-81.92,-15.34,-91.39,-0.378
4801,62.51,2.545,2.974,2.449,0.936,1.4,PASS,0,0.0,5.0,3,5,0.00575,"[['2019-09-12', -0.1041], ['2021-07-26', -0.1003], ['2021-07-27', -0.0892]]",-98.96,-36.06,-99.22,-1.22
4801,66.38,3.317,3.749,3.224,1.712,1.47,PASS,0,0.0,5.0,3,5,0.002,"[['2019-09-12', -0.1004], ['2021-07-26', -0.1003], ['2021-07-27', -0.0892]]",-89.9,-20.1,-93.98,-0.539
4798,68.32,5.418,4.844,4.032,2.552,1.25,PASS,0,0.0,10.0,3,10,0.00575,"[['2019-09-20', -0.1139], ['2019-09-17', -0.1], ['2021-07-26', -0.1]]",-98.66,-34.38,-99.04,-1.061
4798,70.22,6.211,5.634,4.822,3.341,1.33,PASS,0,0.0,10.0,3,10,0.002,"[['2019-09-20', -0.1101], ['2019-09-17', -0.1], ['2021-07-26', -0.1]]",-93.88,-23.89,-96.46,-0.631
4790,71.98,8.825,8.603,6.828,5.844,1.4,PASS,4,0.0008,20.0,3,20,0.00575,"[['2021-07-26', -0.1], ['2024-02-05', -0.084], ['2019-09-24', -0.0752]]",-94.87,-25.11,-97.04,-0.734
4790,73.24,9.645,9.421,7.646,6.661,1.46,PASS,4,0.0008,20.0,3,20,0.002,"[['2021-07-26', -0.1], ['2024-02-05', -0.0836], ['2019-09-24', -0.0752]]",-86.68,-17.82,-94.14,-0.449
