seq,code,name,signal_date,buy_date,sell_date,buy_px,sell_px,ret_s1_pct,res_count
1,sh600004,白云机场,2018-06-29,2018-07-02,2018-07-09,11.77,12.0,0.788,102
2,sh600004,白云机场,2018-07-03,2018-07-04,2018-07-11,12.0,12.75,5.035,54
3,sh600006,东风股份,2022-04-27,2022-04-28,2022-05-10,4.26,4.54,5.354,713
4,sh600009,上海机场,2021-02-05,2021-02-08,2021-02-22,55.68,57.8,2.621,27
5,sh600009,上海机场,2021-02-09,2021-02-10,2021-02-24,55.75,57.8,2.492,43
6,sh600010,包钢股份,2021-11-03,2021-11-04,2021-11-11,2.62,2.56,-3.407,32
7,sh600010,包钢股份,2021-11-08,2021-11-09,2021-11-16,2.63,2.49,-6.406,45
8,sh600019,宝钢股份,2021-10-29,2021-11-01,2021-11-08,5.59,5.05,-10.693,26
9,sh600019,宝钢股份,2021-11-08,2021-11-09,2021-11-16,5.04,5.09,-0.163,45
10,sh600019,宝钢股份,2021-11-17,2021-11-18,2021-11-25,5.04,5.32,4.349,25
11,sh600021,上海电力,2026-07-14,2026-07-15,2026-07-22,13.6,15.11,9.833,163
12,sh600027,华电国际,2022-03-16,2022-03-17,2022-03-24,2.99,2.97,-1.805,187
13,sh600029,南方航空,2018-07-12,2018-07-13,2018-07-20,7.67,6.73,-13.259,89
14,sh600031,三一重工,2022-03-10,2022-03-11,2022-03-18,15.38,16.03,3.035,43
15,sh600031,三一重工,2022-03-16,2022-03-17,2022-03-24,15.9,15.93,-0.957,187
16,sh600032,浙江新能,2024-02-06,2024-02-07,2024-02-22,6.46,7.06,8.038,746
17,sh600032,浙江新能,2026-07-14,2026-07-15,2026-07-22,6.41,7.28,12.274,163
18,sh600036,招商银行,2022-03-16,2022-03-17,2022-03-24,34.39,35.52,2.105,187
19,sh600037,歌华有线,2024-02-06,2024-02-07,2024-02-22,6.2,6.78,8.104,746
20,sh600038,中直股份,2018-02-12,2018-02-13,2018-02-27,32.73,36.04,8.854,250
21,sh600051,宁波联合,2017-05-11,2017-05-12,2017-05-19,7.818,7.959,0.639,30
22,sh600051,宁波联合,2024-02-08,2024-02-19,2024-02-26,5.06,5.51,7.648,678
23,sh600052,东望时代,2022-04-27,2022-04-28,2022-05-10,3.13,3.46,9.279,713
24,sh600053,*ST九鼎,2018-02-07,2018-02-08,2018-02-22,20.91,20.58,-2.704,200
25,sh600053,*ST九鼎,2022-04-29,2022-05-05,2022-05-12,13.41,14.08,3.796,458
26,sh600053,*ST九鼎,2024-04-17,2024-04-18,2024-04-25,14.54,13.92,-5.359,195
27,sh600053,*ST九鼎,2026-07-23,2026-07-24,2026-07-31,6.69,7.17,5.949,146
28,sh600055,万东医疗,2018-10-17,2018-10-18,2018-10-25,6.59,6.11,-8.344,143
29,sh600055,万东医疗,2019-06-11,2019-06-12,2019-06-19,9.3,9.74,3.534,20
30,sh600055,万东医疗,2022-04-27,2022-04-28,2022-05-10,18.6,20.26,7.679,713
31,sh600055,万东医疗,2022-04-29,2022-05-05,2022-05-12,19.59,20.46,3.247,458
32,sh600055,万东医疗,2024-02-06,2024-02-07,2024-02-22,12.94,14.23,8.712,746
33,sh600055,万东医疗,2026-06-29,2026-06-30,2026-07-07,10.23,10.84,4.751,81
34,sh600056,中国医药,2018-07-06,2018-07-09,2018-07-16,10.17,11.69,13.632,93
35,sh600056,中国医药,2022-04-26,2022-04-27,2022-05-09,13.47,18.92,38.854,36
36,sh600058,五矿发展,2018-06-22,2018-06-25,2018-07-02,8.07,8.27,1.307,266
37,sh600058,五矿发展,2022-04-27,2022-04-28,2022-05-10,7.18,7.34,1.06,713
38,sh600061,国投资本,2018-06-20,2018-06-21,2018-06-28,5.34,5.28,-2.254,205
39,sh600061,国投资本,2018-06-22,2018-06-25,2018-07-02,5.26,5.36,0.736,266
40,sh600063,皖维高新,2022-10-31,2022-11-01,2022-11-08,5.49,6.01,8.22,23
41,sh600063,皖维高新,2024-02-06,2024-02-07,2024-02-22,3.32,3.72,10.767,746
42,sh600063,皖维高新,2026-07-21,2026-07-22,2026-07-29,5.5,5.71,2.631,292
43,sh600063,皖维高新,2026-07-23,2026-07-24,2026-07-31,5.5,5.95,6.945,146
44,sh600066,宇通客车,2018-07-06,2018-07-09,2018-07-16,10.36,10.71,2.196,93
45,sh600067,冠城新材,2018-06-22,2018-06-25,2018-07-02,3.57,3.54,-1.974,266
46,sh600067,冠城新材,2022-01-28,2022-02-07,2022-02-14,3.11,3.15,0.128,44
47,sh600067,冠城新材,2024-02-08,2024-02-19,2024-02-26,1.62,1.82,11.061,678
48,sh600069,退市银鸽,2018-06-29,2018-07-02,2018-07-09,4.02,3.93,-3.357,102
49,sh600069,退市银鸽,2018-07-09,2018-07-10,2018-07-17,4.03,3.98,-2.37,29
50,sh600069,退市银鸽,2020-02-05,2020-02-06,2020-02-13,1.82,2.01,9.177,195
51,sh600070,*ST富润,2022-04-27,2022-04-28,2022-05-10,4.88,4.97,0.68,713
52,sh600071,凤凰光学,2018-06-29,2018-07-02,2018-07-09,11.3,11.05,-3.331,102
53,sh600071,凤凰光学,2018-10-12,2018-10-15,2018-10-22,7.75,7.92,1.025,24
54,sh600071,凤凰光学,2019-05-27,2019-05-28,2019-06-04,9.75,9.6,-2.664,26
55,sh600071,凤凰光学,2025-04-09,2025-04-10,2025-04-17,18.36,18.71,0.741,243
56,sh600072,中船科技,2017-05-09,2017-05-10,2017-05-17,16.91,17.93,4.82,66
57,sh600072,中船科技,2017-05-24,2017-05-25,2017-06-05,16.07,15.36,-5.511,93
58,sh600072,中船科技,2017-06-02,2017-06-05,2017-06-12,15.36,15.85,2.01,132
59,sh600072,中船科技,2018-02-12,2018-02-13,2018-02-27,10.01,10.85,7.152,250
60,sh600072,中船科技,2018-06-20,2018-06-21,2018-06-28,8.97,8.82,-2.797,205
61,sh600072,中船科技,2018-06-22,2018-06-25,2018-07-02,8.83,8.94,0.088,266
62,sh600072,中船科技,2019-06-10,2019-06-11,2019-06-18,11.16,11.82,4.703,63
63,sh600072,中船科技,2022-04-27,2022-04-28,2022-05-10,10.26,10.77,3.77,713
64,sh600075,新疆天业,2018-10-17,2018-10-18,2018-10-25,4.23,4.24,-0.91,143
65,sh600075,新疆天业,2018-10-19,2018-10-22,2018-10-29,4.26,4.27,-0.911,237
66,sh600075,新疆天业,2021-11-08,2021-11-09,2021-11-16,7.16,7.14,-1.42,45
67,sh600075,新疆天业,2024-02-06,2024-02-07,2024-02-22,3.41,3.92,13.642,746
68,sh600075,新疆天业,2026-05-28,2026-05-29,2026-06-05,5.16,4.83,-7.466,27
69,sh600075,新疆天业,2026-06-05,2026-06-08,2026-06-15,4.89,4.82,-2.559,20
70,sh600076,康欣新材,2018-06-26,2018-06-27,2018-07-04,4.62,4.73,1.21,42
71,sh600076,康欣新材,2018-06-29,2018-07-02,2018-07-09,4.75,4.53,-5.722,102
72,sh600076,康欣新材,2018-07-03,2018-07-04,2018-07-11,4.73,4.59,-4.069,54
73,sh600076,康欣新材,2024-02-08,2024-02-19,2024-02-26,1.77,2.03,13.378,678
74,sh600076,康欣新材,2025-01-13,2025-01-14,2025-01-21,1.88,2.0,5.167,38
75,sh600076,康欣新材,2026-07-21,2026-07-22,2026-07-29,2.72,2.94,6.852,292
76,sh600076,康欣新材,2026-07-23,2026-07-24,2026-07-31,2.74,2.95,6.433,146
77,sh600077,*ST宋都,2021-02-05,2021-02-08,2021-02-22,2.391,2.591,7.126,27
78,sh600077,*ST宋都,2022-04-27,2022-04-28,2022-05-10,3.8,4.1,6.661,713
