year,trigger_days,candidates,mean_gross_pct,win_pct,trades_med,ret_6w_med,ret_6w_p5,ret_6w_p95,ret_85w_med,ret_35pct_med
2016,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
2017,7,550,3.0,74.2,14.0,21.28,14.11,31.16,30.15,22.76
2018,20,2052,2.88,70.5,23.0,32.14,20.22,44.72,42.46,45.28
2019,6,422,3.4,72.5,8.0,7.41,2.23,14.42,9.03,12.34
2020,2,268,4.66,79.1,4.0,1.23,-1.4,5.18,1.44,1.94
2021,9,384,3.53,64.8,12.0,5.63,-1.4,13.82,6.93,10.0
2022,9,1685,4.64,79.5,12.0,7.93,1.2,16.17,9.42,14.62
2023,1,30,0.48,46.7,2.0,0.18,-1.74,2.94,0.21,0.37
2024,14,2339,8.17,80.8,18.0,2.33,-6.28,9.69,2.71,3.88
2025,3,368,3.06,74.2,4.0,1.96,0.15,5.68,2.32,4.02
2026,17,1735,2.45,61.0,14.0,8.42,1.1,16.18,9.83,18.16
