year,nav_ret_pct,nav_end,year_maxdd_pct,n_events,mean_pct,med_pct,wr_pct
2017,16.2,1.162,-18.57,737,0.82,0.75,57.9
2018,125.02,2.6146,-17.83,2192,1.64,1.39,62.2
2019,6.8,2.7924,-10.08,571,1.82,1.3,58.8
2020,12.38,3.138,-5.07,335,3.38,4.35,75.8
2021,9.4,3.433,-6.83,556,2.29,1.53,58.6
2022,20.63,4.1413,-22.67,1856,2.97,2.32,68.7
2023,-2.82,4.0245,-3.72,30,-0.67,-1.29,33.3
2024,-9.53,3.6408,-19.89,2432,6.96,8.22,77.7
2025,15.08,4.1899,-4.14,440,1.94,1.01,60.7
2026,-9.97,3.772,-24.62,1845,0.96,0.47,52.4
