cfg,n,wr,med,mean,ann,sharpe,pf,hold,ex_b,ex_m,max_dd,gate,yearly
E1_新高20_X1_rsi75_kh,17367,53.21,0.632,-0.586,-4.39,-0.116,0.78,33.0,-2.156,4.849,100.0,0,"{2016: np.float64(-2.27), 2017: np.float64(-7.07), 2018: np.float64(-5.38), 2019: np.float64(-1.38), 2020: np.float64(0.01), 2021: np.float64(-0.79), 2022: np.float64(0.85), 2023: np.float64(-1.58), 2024: np.float64(3.71), 2025: np.float64(2.02), 2026: np.float64(-3.98)}"
E1_新高20_X1_rsi75_pure,97892,48.6,-0.161,-0.061,-0.62,-0.013,1.04,24.4,-1.147,4.089,100.0,0,"{2016: np.float64(1.23), 2017: np.float64(-1.8), 2018: np.float64(-3.16), 2019: np.float64(-0.28), 2020: np.float64(0.17), 2021: np.float64(-0.73), 2022: np.float64(0.83), 2023: np.float64(-1.62), 2024: np.float64(2.28), 2025: np.float64(1.09), 2026: np.float64(-2.79)}"
E1_新高20_X2_tp8_kh,17648,56.06,1.159,-0.532,-4.58,-0.127,0.69,28.7,-1.956,4.162,100.0,0,"{2016: np.float64(-2.06), 2017: np.float64(-6.39), 2018: np.float64(-5.12), 2019: np.float64(-0.99), 2020: np.float64(0.17), 2021: np.float64(-0.8), 2022: np.float64(0.93), 2023: np.float64(-1.5), 2024: np.float64(3.11), 2025: np.float64(1.56), 2026: np.float64(-3.3)}"
E1_新高20_X2_tp8_pure,104731,51.04,0.135,-0.451,-5.25,-0.146,0.84,21.2,-1.38,3.176,100.0,0,"{2016: np.float64(-0.52), 2017: np.float64(-2.88), 2018: np.float64(-3.25), 2019: np.float64(-0.34), 2020: np.float64(-0.17), 2021: np.float64(-0.87), 2022: np.float64(0.67), 2023: np.float64(-1.57), 2024: np.float64(1.71), 2025: np.float64(0.81), 2026: np.float64(-2.54)}"
E1_新高20_X3_tp8sl7_kh,18373,42.3,-1.65,-1.134,-37.23,-0.89,0.98,6.2,-1.517,0.071,100.0,0,"{2016: np.float64(-1.72), 2017: np.float64(-2.26), 2018: np.float64(-4.79), 2019: np.float64(-0.99), 2020: np.float64(-0.63), 2021: np.float64(-1.14), 2022: np.float64(-1.31), 2023: np.float64(-1.47), 2024: np.float64(-0.83), 2025: np.float64(-0.24), 2026: np.float64(-1.65)}"
E1_新高20_X3_tp8sl7_pure,121440,41.74,-1.042,-0.927,-34.53,-0.851,1.02,5.5,-1.139,0.29,100.0,0,"{2016: np.float64(-0.71), 2017: np.float64(-1.1), 2018: np.float64(-3.73), 2019: np.float64(-0.69), 2020: np.float64(-1.07), 2021: np.float64(-1.02), 2022: np.float64(-1.21), 2023: np.float64(-1.17), 2024: np.float64(-0.22), 2025: np.float64(-0.51), 2026: np.float64(-1.36)}"
E1_新高20_X4_ma5_kh,18532,33.4,-2.091,-1.09,-65.6,-1.563,1.3,2.6,-1.493,-0.756,100.0,0,"{2016: np.float64(-1.39), 2017: np.float64(-1.76), 2018: np.float64(-3.1), 2019: np.float64(-1.28), 2020: np.float64(-0.67), 2021: np.float64(-1.39), 2022: np.float64(-1.29), 2023: np.float64(-1.12), 2024: np.float64(-0.37), 2025: np.float64(-0.98), 2026: np.float64(-1.09)}"
E1_新高20_X4_ma5_pure,130962,32.12,-1.713,-0.688,-54.0,-0.7,1.57,2.2,-0.966,-0.323,100.0,0,"{2016: np.float64(0.55), 2017: np.float64(0.04), 2018: np.float64(-2.14), 2019: np.float64(-0.88), 2020: np.float64(-0.81), 2021: np.float64(-1.09), 2022: np.float64(-1.47), 2023: np.float64(-0.97), 2024: np.float64(0.14), 2025: np.float64(-1.03), 2026: np.float64(-1.07)}"
E2_放量突破_X1_rsi75_kh,13817,52.26,0.436,-0.901,-6.39,-0.175,0.75,34.5,-2.376,4.902,100.0,0,"{2016: np.float64(-2.13), 2017: np.float64(-7.43), 2018: np.float64(-5.54), 2019: np.float64(-1.44), 2020: np.float64(-0.07), 2021: np.float64(-0.86), 2022: np.float64(0.57), 2023: np.float64(-1.94), 2024: np.float64(2.69), 2025: np.float64(2.05), 2026: np.float64(-4.18)}"
E2_放量突破_X1_rsi75_pure,57729,49.63,-0.049,-0.386,-3.43,-0.08,0.93,27.9,-1.303,4.575,100.0,0,"{2016: np.float64(0.39), 2017: np.float64(-3.09), 2018: np.float64(-3.78), 2019: np.float64(-0.55), 2020: np.float64(0.24), 2021: np.float64(-0.39), 2022: np.float64(0.89), 2023: np.float64(-1.57), 2024: np.float64(0.9), 2025: np.float64(1.59), 2026: np.float64(-3.36)}"
