code,entry_date,entry_px,exit_date,exit_px,ret,hold,regime,ex_b,ex_m
sh600882,2016-06-29,9.9468675,2016-07-11,11.07,0.10651393516602092,8,bear,0.07585264097729327,0.10133879611917895
sz002306,2016-09-19,6.547432499999999,2016-09-30,7.15,0.08575193405964865,9,bear,0.08588853524965279,0.10309816539775951
sz002222,2016-12-20,11.727044999999999,2017-01-04,11.48,-0.02669513078529151,10,bear,-0.05260508075234138,-0.03360269483851741
sz000555,2016-12-21,21.8750625,2017-01-05,21.69,-0.014161330967625618,10,bear,-0.030578546269114604,-0.011978215669907089
sz002602,2017-01-25,5.3606475,2017-02-09,5.54,0.027514866441040953,6,bear,-0.012891371968678067,0.008084730922397254
sh603667,2017-01-25,20.03454,2017-02-08,21.02,0.04315522093344781,5,bear,0.012368207689094746,0.029018076772637347
sz002805,2017-01-25,19.290284999999997,2017-02-10,21.06,0.08546374509241317,7,bear,0.04656931525767205,0.06985021377973144
sz000971,2017-04-26,9.001462499999999,2017-05-31,8.46,-0.06555684701236031,22,bear,-0.015449778860540109,0.0116242320811758
sh603703,2017-04-27,14.3118225,2017-06-15,12.17,-0.15454356005323577,32,bear,-0.1375646536584304,-0.08942436797448117
sh603777,2017-04-27,23.926792499999998,2017-05-10,23.11,-0.039690861196710725,8,bear,0.0006192571498206956,0.0068639476606768834
sz002823,2017-04-27,19.129364999999996,2017-05-15,21.4,0.11226640298828539,11,bear,0.15368704793771193,0.16557006900650906
sz000980,2017-04-27,14.060385,2017-06-06,13.38,-0.05386196750657968,25,bear,0.0064225765788942235,0.0341819063312333
sh600652,2017-04-27,9.464107499999999,2017-05-10,9.96,0.046345891569807396,8,bear,0.08665600991633882,0.092900700427195
sh603628,2017-05-04,26.099212499999997,2017-05-15,28.16,0.07275573927757395,7,bear,0.11824003290389618,0.1227067713940484
sh600390,2017-05-05,9.2629575,2017-06-14,8.23,-0.11662365934422136,26,bear,-0.0943962971957013,-0.05664084767360844
sz000885,2017-05-05,15.066135,2017-07-24,16.59,0.09481346742213592,3,bear,0.11698482362156448,0.2103357448998492
sz000933,2017-05-10,4.9382325,2017-05-31,4.91,-0.01143425304499135,12,bear,0.00880310958880115,0.02747956479456415
sz002611,2017-05-10,9.132209999999999,2017-06-15,8.1,-0.11812967507317507,24,bear,-0.14244087434468167,-0.09865883039974455
sh600821,2017-05-22,4.06323,2017-06-15,4.49,0.09867826827425463,14,bear,0.06996356148475336,0.10032955617048511
sz002917,2018-02-08,9.3635325,2018-03-05,9.82,0.042719187443414075,12,bear,-0.02493022074153961,0.003165906234339433
sh603559,2018-02-09,18.717007499999998,2018-02-28,21.64,0.14951976163924718,8,bear,0.06393011182510189,0.0821413525132344
sz002238,2018-02-09,5.3807624999999994,2018-03-02,5.29,-0.022520971702430614,10,bear,-0.11936757761555294,-0.0938155969318375
sz002695,2018-02-09,13.7687175,2018-03-01,14.56,0.051389136279395675,9,bear,-0.05102875435088916,-0.027725157747306328
sh603368,2018-02-09,16.856370000000002,2018-03-01,18.21,0.07409201981209468,9,bear,-0.028325870818190158,-0.005022274214607325
sz002528,2018-02-09,4.1939775,2018-03-01,5.1,0.20903724447734873,9,bear,0.10661935384706389,0.12992295045064672
sh603042,2018-02-09,16.906657499999998,2018-03-02,18.83,0.10735829953377829,10,bear,0.01051169362065596,0.03606367430437141
sz002620,2018-02-09,7.854907499999999,2018-03-06,8.48,0.0733722835055668,12,bear,-0.04538085548921167,-0.011546808907044515
sz002826,2018-02-09,15.166709999999998,2018-03-01,15.04,-0.014056443355216719,9,bear,-0.11647433398550155,-0.09317073738191872
sh600728,2018-02-09,6.6178349999999995,2018-03-01,7.44,0.11777038865429557,9,bear,0.01535249802401073,0.03865609462759356
sz000611,2018-02-09,5.531625,2018-03-01,6.73,0.20964499581949236,9,bear,0.10722710518920753,0.13053070179279036
sz002846,2018-02-09,8.408069999999999,2018-03-06,8.79,0.03941302819790993,12,bear,-0.07934011079686853,-0.04550606421470138
sz000721,2018-02-09,4.525874999999999,2018-03-02,4.93,0.0830286961084874,10,bear,-0.013817909804634931,0.011734070879080516
sh600318,2018-02-09,5.672429999999999,2018-03-05,5.97,0.04640735980875932,11,bear,-0.05886651948487831,-0.028784871775325183
sz000025,2018-02-09,21.362129999999997,2018-03-05,26.19,0.21895183205045576,11,bear,0.11367795275681813,0.14375960046637126
sh600175,2018-02-12,4.1537475,2018-03-06,4.54,0.08670423515151082,11,bear,-0.0023706039559387992,0.028423781168673612
sz002824,2018-02-13,9.584797499999999,2018-03-02,10.03,0.04043173577741199,8,bear,-0.026432890458445435,-0.004558780350379932
sz002651,2018-02-14,5.662372499999999,2018-03-06,6.22,0.09216322310127079,9,bear,0.006320373684532754,0.03584527343736288
sz002137,2018-02-14,5.9842125,2018-03-06,6.84,0.13643524523903516,9,bear,0.05059239582229713,0.08011729557512726
sh603007,2018-02-14,5.853465,2018-02-23,7.45,0.26543209876543217,2,bear,0.24165184169880205,0.24743621874904176
sz002546,2018-02-14,3.5100675,2018-03-02,3.68,0.042384512548547804,7,bear,-0.022196226869910518,-0.0006681444858225305
sh600295,2018-02-14,3.9324825,2018-03-07,4.1,0.036603468674049955,10,bear,-0.0433910104495312,-0.010455917287624406
sz002322,2018-02-22,10.681064999999998,2018-03-01,11.47,0.06768824082617253,5,bear,0.01752285419772992,0.03325513186817064
sz000886,2018-02-23,5.4813374999999995,2018-03-02,5.84,0.05930714903068823,5,bear,0.01945437586945231,0.03469331953505583
sz002676,2018-02-23,5.923867499999999,2018-03-01,6.2,0.04059552311053549,4,bear,-0.00453904226483548,0.00850276055289112
sz000615,2018-02-26,7.864965,2018-03-06,7.98,0.008792156099868276,6,bear,-0.025625649814769114,-0.006702416062092986
sh600992,2018-02-26,8.68968,2018-03-06,9.37,0.072090399186161,6,bear,0.03767259327152361,0.05659582702419974
sh600191,2018-02-26,6.859215,2018-03-06,6.91,0.0016113359910718827,6,bear,-0.03280646992356551,-0.01388323617088938
sz002288,2018-03-02,5.0991525,2018-03-19,5.23,0.019763088081794056,11,bear,-0.01893797601619629,0.012045537293099429
sz002112,2018-04-12,7.7241599999999995,2018-05-10,7.64,-0.016583032977048662,18,bear,-0.014772958624072352,0.010274321775199047
sz000820,2018-04-20,16.594875,2018-07-19,8.42,-0.4955319036750804,61,bear,-0.37121078681991515,-0.29267396003491986
sz002509,2018-04-20,4.857772499999999,2018-05-04,4.63,-0.05236865250482603,8,bear,-0.05952941009379542,-0.053672727582073754
sz000995,2018-05-04,6.648007499999999,2018-05-17,7.07,0.057361547802104784,9,bear,0.034215333848063745,0.0558947139083521
sh600614,2018-05-16,7.5732975,2018-05-23,7.74,0.016135309619092597,5,bear,0.002450100427490831,0.014085474364891493
sz002562,2018-05-16,6.7888125,2018-05-23,7.03,0.029572918680549787,5,bear,0.01588770948894802,0.027523083426348682
sz002808,2018-06-05,8.267265,2018-07-10,7.24,-0.1292924564532527,24,bear,-0.011032663795141895,0.020384528217299747
sz002163,2018-06-06,4.6666799999999995,2018-06-19,4.97,0.058873224647929545,8,bear,0.1916611713380798,0.21055316172636918
sz002554,2018-06-08,3.721275,2018-07-10,3.07,-0.1797576099589523,21,bear,-0.07596198457041525,-0.0509644667984227
sz002517,2018-06-12,8.488529999999999,2018-09-21,4.84,-0.4330973678599238,72,bear,-0.2638532505886083,-0.19964744005580892
sz002927,2018-06-12,18.58626,2018-06-21,20.01,0.07041128769316707,6,bear,0.20155932929897546,0.21366769254375595
sz000957,2018-06-13,7.472722499999999,2018-07-12,6.05,-0.19504404184686364,20,bear,-0.10967385186743117,-0.08149663485309111
sh600378,2018-06-14,10.2083625,2018-07-17,8.65,-0.15752771318612557,22,bear,-0.08111372625466529,-0.045332961250765025
