date,value
2021-02-08,1000000.0
2021-02-09,1002653.7664919697
2021-02-10,1008672.7710753285
2021-02-18,1016463.7651472889
2021-02-19,1023546.7629700504
2021-02-22,1030501.769188007
2021-02-23,1027937.7710371815
2021-02-24,1026336.7724209629
2021-02-25,1030663.7678414189
2021-02-26,1032724.775627216
2021-03-01,1038495.7660704457
2021-03-02,1032846.7686205708
2021-03-03,1039964.7606163822
2021-03-04,1043138.773015102
2021-03-05,1049367.7739888034
2021-03-08,1055660.7693701587
2021-03-09,1063361.7714911303
2021-03-10,1066264.7712736926
2021-03-11,1081034.7652703128
2021-03-12,1085018.7692194781
2021-03-15,1085635.7794791064
2021-03-16,1094160.7643633685
2021-03-17,1084163.769796451
2021-03-18,1094260.7660084567
2021-03-19,1102081.7678719363
2021-03-22,1111054.7807007632
2021-03-23,1102338.7683659396
2021-03-24,1093940.7703667483
2021-03-25,1090956.7646532855
2021-03-26,1089866.7731076083
2021-03-29,1095250.7690220675
2021-03-30,1089165.3693034456
2021-03-31,1101441.3803174302
2021-04-01,1103074.3778302476
2021-04-02,1101064.377410631
2021-04-06,1106918.3714940355
2021-04-07,1112807.3795153901
2021-04-08,1103598.3762337968
2021-04-09,1108470.3857495592
2021-04-12,1109232.3822572038
2021-04-13,1102201.3777568147
2021-04-14,1104529.3749882982
2021-04-15,1111143.3798625276
2021-04-16,1129722.3856284425
2021-04-19,1133127.3810937211
2021-04-20,1132745.3755690858
2021-04-21,1127427.384145479
2021-04-22,1124227.3812367723
2021-04-23,1116978.3747269914
2021-04-26,1113229.3701007173
2021-04-27,1111820.3679396913
2021-04-28,1112271.373422365
2021-04-29,1116304.3661906526
2021-04-30,1113414.3673016832
2021-05-06,1119205.3751065538
2021-05-07,1118022.3763778016
2021-05-10,1125876.3701989457
2021-05-11,1138929.3796136186
2021-05-12,1152002.3841693208
2021-05-13,1157193.3740451143
2021-05-14,1160927.388818483
2021-05-17,1146308.5183679888
2021-05-18,1148099.5123922655
2021-05-19,1140543.5090124437
2021-05-20,1132381.5043985674
2021-05-21,1134163.5174810716
2021-05-24,1147171.512299759
2021-05-25,1148351.515918953
2021-05-26,1149295.5145418474
2021-05-27,1153845.5234348604
2021-05-28,1151984.5124780962
2021-05-31,1153829.5207321474
2021-06-01,1158552.5106489488
2021-06-02,1154171.5235769579
2021-06-03,1166666.5238201448
2021-06-04,1168984.5153391191
2021-06-07,1168803.5210430452
2021-06-08,1171405.511289818
2021-06-09,1172493.518525345
2021-06-10,1172619.5238172838
2021-06-11,1166023.5215961763
2021-06-15,1161931.5102159807
2021-06-16,1161242.5047695467
2021-06-17,1158552.504426224
2021-06-18,1156276.5192568132
2021-06-21,1155131.5069258043
2021-06-22,1160246.519714577
2021-06-23,1151182.5178205797
2021-06-24,1159321.5212881395
2021-06-25,1160120.5115377733
2021-06-28,1160014.5286142656
2021-06-29,1148199.7852700462
2021-06-30,1147190.8055203666
2021-07-01,1139406.8034308662
2021-07-02,1140048.799862217
2021-07-05,1143946.8040126076
2021-07-06,1145662.7959626426
2021-07-07,1143225.797929119
2021-07-08,1137044.8019402733
2021-07-09,1140765.7957690468
2021-07-12,1142483.789648365
2021-07-13,1144504.8007386436
2021-07-14,1139734.799923252
2021-07-15,1130868.7918084373
2021-07-16,1130486.797513317
2021-07-19,1122186.8101733436
2021-07-20,1130544.807185482
2021-07-21,1139154.793609928
2021-07-22,1138039.8053544273
2021-07-23,1133813.788236927
2021-07-26,1120948.7986462822
2021-07-27,1107141.805686306
2021-07-28,1083965.8055203666
2021-07-29,1087312.815036129
2021-07-30,1087249.8085873832
2021-08-02,1097567.8031104316
2021-08-03,1106357.8058140983
2021-08-04,1107653.798260044
2021-08-05,1102534.79656155
2021-08-06,1098981.8108218422
2021-08-09,1118165.8021825065
2021-08-10,1121860.7845067612
2021-08-11,1124150.7827996842
2021-08-12,1121918.778085672
2021-08-13,1122393.7826871506
2021-08-16,1126262.7869128815
2021-08-17,1116495.7760572068
2021-08-18,1124697.7825879685
2021-08-19,1121613.7867688767
2021-08-20,1116736.7934465043
2021-08-23,1129878.7795781724
2021-08-24,1133859.7682475678
2021-08-25,1142912.7912282578
2021-08-26,1142816.7836665742
2021-08-27,1147460.78269478
2021-08-30,1143036.7813825242
2021-08-31,1159308.7890147797
2021-09-01,1175364.794492685
2021-09-02,1187309.790706598
2021-09-03,1198630.7907580964
2021-09-06,1203326.7817973725
2021-09-07,1213285.7945203416
2021-09-08,1233705.7922601334
2021-09-09,1243286.7748975388
2021-09-10,1228698.7843036286
2021-09-13,1242591.784048044
2021-09-14,1219457.7836274735
