,0
2021-08-16,170000.0
2021-08-17,165577.15219769478
2021-08-18,166032.15042862893
2021-08-19,166450.15224728585
2021-08-20,164480.1507643223
2021-08-23,167119.15110859871
2021-08-24,167164.15139946938
2021-08-25,169374.15053162575
2021-08-26,168238.15218720437
2021-08-27,166727.15248379708
2021-08-30,166515.15192303658
2021-08-31,166551.1527470112
2021-09-01,168867.15323243142
2021-09-02,168586.15359578133
2021-09-03,170705.15264782906
2021-09-06,172332.15150151253
2021-09-07,172762.15183053017
2021-09-08,176728.15255436898
2021-09-09,175881.1530283451
2021-09-10,174755.1510981083
2021-09-13,175243.15270695687
2021-09-14,173691.02882229976
2021-09-15,171095.02910458736
2021-09-16,170219.0291770666
2021-09-17,171716.02968060665
2021-09-22,171145.02910458736
2021-09-23,172961.0277065008
2021-09-24,173903.02962147884
2021-09-27,176400.03074490718
2021-09-28,173912.02930295162
2021-09-29,170246.02874600582
2021-09-30,172210.03097378902
2021-10-08,177872.02833974056
2021-10-11,178492.03037106685
2021-10-12,180396.03012883358
2021-10-13,182400.02850377254
2021-10-14,182540.0291808813
2021-10-15,179032.03018986873
2021-10-18,176458.02935445003
2021-10-19,177092.02894055538
2021-10-20,177690.02999150447
2021-10-21,175930.14841768317
2021-10-22,176068.1495496946
2021-10-25,175858.14932081275
2021-10-26,174788.14976903968
2021-10-27,172346.1492368894
2021-10-28,171161.14874574714
2021-10-29,172864.1481229978
2021-11-01,173067.1503851133
2021-11-02,171455.15025350623
2021-11-03,172880.14877531104
2021-11-04,173597.15018961005
2021-11-05,173235.1485798078
2021-11-08,173534.14889070563
2021-11-09,175202.14896890693
2021-11-10,175565.14976713233
2021-11-11,176508.14829561286
2021-11-12,175689.14941045814
2021-11-15,176785.1488182264
2021-11-16,176518.14952585273
2021-11-17,176975.1494714933
2021-11-18,177681.8282043405
2021-11-19,181531.8270122476
2021-11-22,181179.82775325255
2021-11-23,183347.82878512816
2021-11-24,185647.82868976073
2021-11-25,186089.82898349242
2021-11-26,185219.82738131957
2021-11-29,182243.8275730081
2021-11-30,182154.8301612802
2021-12-01,184918.8295041986
2021-12-02,184731.8287765451
2021-12-03,185359.826270289
2021-12-06,185344.8290025659
2021-12-07,186906.82682151275
2021-12-08,186296.82828540282
2021-12-09,187297.8291665979
2021-12-10,188115.82745665984
2021-12-13,189832.8275358148
2021-12-14,186902.8292810388
2021-12-15,185713.8297235437
2021-12-16,188368.95103400442
2021-12-17,186091.9505113909
2021-12-20,182551.95016806814
2021-12-21,184767.95172637198
2021-12-22,184650.94993060324
2021-12-23,184924.94904940817
2021-12-24,180600.94807093832
2021-12-27,181118.9502472231
2021-12-28,181159.95113795492
2021-12-29,181624.9489778826
2021-12-30,181471.95019667837
2021-12-31,181651.94897597525
2022-01-04,183989.9518484423
2022-01-05,182184.9505895922
2022-01-06,184704.94992678854
2022-01-07,186615.9501547167
2022-01-10,187618.95208304617
2022-01-11,188499.9490255663
2022-01-12,187386.95104068014
2022-01-13,186353.9512390444
2022-01-14,183991.61521622236
2022-01-17,184458.61450859602
2022-01-18,184007.61510559614
2022-01-19,182920.61499783094
2022-01-20,181296.61499687727
2022-01-21,180649.61537548597
2022-01-24,180777.6146573692
2022-01-25,178247.61463829572
2022-01-26,178945.61583229597
2022-01-27,175522.61432835157
2022-01-28,177111.61538788374
2022-02-07,178575.61485001142
2022-02-08,179292.6155490547
2022-02-09,180356.6147250801
2022-02-10,180267.61607357557
2022-02-11,178522.61494823988
2022-02-14,178318.61514278944
2022-02-15,178936.61441036756
2022-02-16,180461.61400505598
2022-02-17,181361.61429115827
2022-02-18,180943.864584345
2022-02-21,181606.86376132406
2022-02-22,180544.86429728902
2022-02-23,181656.8645242635
2022-02-24,181133.8655237142
2022-02-25,182135.8641389791
2022-02-28,182062.86509074605
2022-03-01,182218.86510886587
2022-03-02,182578.8647655431
2022-03-03,182873.86462726034
2022-03-04,182109.86447371877
2022-03-07,180559.86430682577
2022-03-08,177348.8645318929
2022-03-09,175115.86458720602
2022-03-10,176804.86407317556
2022-03-11,178308.8644508306
2022-03-14,178166.8641570989
2022-03-15,173930.86426295675
2022-03-16,175359.86492671407
2022-03-17,177495.8640340749
2022-03-18,177977.34852398478
2022-03-21,178252.3470457896
2022-03-22,177611.3480147227
2022-03-23,178339.34755886637
2022-03-24,177963.34653462016
2022-03-25,178750.34823978983
2022-03-28,177054.34861744486
2022-03-29,177220.34793461405
2022-03-30,178863.3484896525
2022-03-31,178172.347885023
2022-04-01,178751.34769047343
2022-04-06,178794.34805477702
2022-04-07,177228.34883297526
2022-04-08,175460.34722889506
2022-04-11,173174.34845532023
2022-04-12,174524.34883678996
2022-04-13,172295.34707630717
2022-04-14,172396.34738529765
2022-04-15,171264.34817875468
2022-04-18,172416.3484152659
2022-04-19,173063.13658367045
2022-04-20,171809.13789878733
2022-04-21,168098.1361211384
2022-04-22,168402.1353305424
2022-04-25,163041.13691459544
2022-04-26,160770.13717304118
2022-04-27,162920.1363147343
2022-04-28,161797.13597904093
2022-04-29,164608.1364930714
2022-05-05,166501.1367858494
2022-05-06,165719.13605342753
2022-05-09,168122.13688503153
2022-05-10,169814.13705955393
2022-05-11,169831.1363519276
2022-05-12,170561.13653789408
2022-05-13,170600.13681064494
2022-05-16,170119.13633952982
2022-05-17,170578.135448798
2022-05-18,171782.13668475993
2022-05-19,173500.13595233805
2022-05-20,177544.14378681168
2022-05-23,179511.14322223648
2022-05-24,172616.14131011948
2022-05-25,174232.14189090714
2022-05-26,174156.14406146988
2022-05-27,171935.14330663666
2022-05-30,173246.14283123
2022-05-31,174568.14362087235
2022-06-01,174359.1430453299
