,0
2021-08-16,170000.0
2021-08-17,167413.37552905083
2021-08-18,168063.3748614788
2021-08-19,167158.3754146099
2021-08-20,166525.37399172783
2021-08-23,168028.37437033653
2021-08-24,168317.3749768734
2021-08-25,169627.37651705742
2021-08-26,171124.37516093254
2021-08-27,171065.3739774227
2021-08-30,170455.37596583366
2021-08-31,173512.3740518093
2021-09-01,174888.37669730186
2021-09-02,175367.37676501274
2021-09-03,178138.37567210197
2021-09-06,180821.37590289116
2021-09-07,183418.37564349174
2021-09-08,186563.37417006493
2021-09-09,189783.3734357357
2021-09-10,189474.37582850456
2021-09-13,192085.376175642
2021-09-14,187848.882426024
2021-09-15,188163.8833177095
2021-09-16,187540.8825528627
2021-09-17,185433.88277411513
2021-09-22,184635.88358283095
2021-09-23,186385.88353514724
2021-09-24,183502.8813493257
2021-09-27,180993.8844573503
2021-09-28,180214.8826968675
2021-09-29,178400.88280558639
2021-09-30,181154.88354086928
2021-10-08,184394.88121390395
2021-10-11,187395.88137984328
2021-10-12,187168.88426661544
2021-10-13,187838.88226866774
2021-10-14,188162.88393855147
2021-10-15,185868.8846242433
2021-10-18,187136.8830573564
2021-10-19,187212.88288950972
2021-10-20,187517.88295626693
2021-10-21,187208.97946422437
2021-10-22,187253.97927825787
2021-10-25,186706.9785601411
2021-10-26,185578.97880142072
2021-10-27,182819.97954910138
2021-10-28,181562.97895973065
2021-10-29,183571.97942798474
2021-11-01,183783.97834365704
2021-11-02,182136.9786984239
2021-11-03,182763.97874420026
2021-11-04,183538.97779052594
2021-11-05,183727.97894542554
2021-11-08,184371.97930877545
2021-11-09,184931.97853629926
2021-11-10,185705.97882335522
2021-11-11,187253.97989814618
2021-11-12,187452.97911231854
2021-11-15,190209.9801308427
2021-11-16,189365.97876613477
2021-11-17,190191.97928970197
2021-11-18,187830.1725743355
2021-11-19,190291.17327910083
2021-11-22,189565.1723740639
2021-11-23,190964.17466383593
2021-11-24,192830.17398100512
2021-11-25,193686.17330771105
2021-11-26,192709.17316656726
2021-11-29,189479.1740296425
2021-11-30,190227.17443686145
2021-12-01,192979.17371969836
2021-12-02,192533.17388277667
2021-12-03,193055.174672419
2021-12-06,191329.1741011681
2021-12-07,193289.17244654315
2021-12-08,192965.17368536608
2021-12-09,194792.17406492846
2021-12-10,194778.17336302417
2021-12-13,195157.1733353676
2021-12-14,196330.17355185168
2021-12-15,201094.1722033562
2021-12-16,203445.04336198428
2021-12-17,204983.04365953067
2021-12-20,206540.0448687897
2021-12-21,214318.04484208682
2021-12-22,211064.04465516665
2021-12-23,207780.04504521945
2021-12-24,206302.04399903872
2021-12-27,208695.04240830996
2021-12-28,207578.04535707095
2021-12-29,208416.04508241275
2021-12-30,208889.04293855288
2021-12-31,211018.04493745425
2022-01-04,215780.0433762894
2022-01-05,214127.044118248
2022-01-06,216804.04509385684
2022-01-07,217116.04532083133
2022-01-10,218865.04510720828
2022-01-11,220341.04443868258
2022-01-12,220412.0467551575
2022-01-13,221169.04496034243
2022-01-14,219045.26576377178
2022-01-17,219781.2660155418
2022-01-18,218777.2663531425
2022-01-19,218783.26699115062
2022-01-20,215745.26633597637
2022-01-21,214942.26676799083
2022-01-24,213719.26621772075
2022-01-25,210473.26654769207
2022-01-26,210272.26790763164
2022-01-27,206115.2668175819
2022-01-28,208615.26626921917
2022-02-07,210851.26814223552
2022-02-08,213097.26592875744
2022-02-09,214455.26692248607
2022-02-10,213922.26688243175
2022-02-11,213024.26559306408
2022-02-14,213378.267162812
2022-02-15,212618.26655246044
2022-02-16,213856.26620627666
2022-02-17,213273.2660231712
2022-02-18,214035.92716864398
2022-02-21,215569.92866209795
2022-02-22,214002.9272716408
2022-02-23,215416.92759207537
2022-02-24,212513.92695120623
2022-02-25,213318.92577818682
2022-02-28,213465.92685393145
2022-03-01,214603.92719916155
2022-03-02,216277.92779616168
2022-03-03,217377.92660406878
2022-03-04,217073.92794302752
2022-03-07,216918.92644575884
2022-03-08,213917.9268043404
2022-03-09,213595.92668227007
2022-03-10,215390.9275691872
2022-03-11,215586.92742995074
2022-03-14,212953.92696074297
2022-03-15,206683.9282672768
2022-03-16,208634.92733649065
2022-03-17,210447.92701414874
2022-03-18,212427.36181844765
2022-03-21,213219.3623029142
2022-03-22,216365.36092390114
2022-03-23,219381.36205305153
2022-03-24,218594.35996641213
2022-03-25,217048.36296667153
2022-03-28,218105.36193479592
2022-03-29,214900.36129583413
2022-03-30,217015.3616868406
2022-03-31,220471.3618241697
2022-04-01,221661.36159528786
2022-04-06,222560.36157239968
2022-04-07,218908.3599530607
2022-04-08,222082.36307729775
2022-04-11,217579.3603383451
2022-04-12,217573.36148847634
2022-04-13,214370.36280263955
2022-04-14,215124.362941876
2022-04-15,211561.3623105436
2022-04-18,212138.3627377897
2022-04-19,212188.611043597
2022-04-20,212659.6105228908
2022-04-21,210170.61110844684
2022-04-22,210590.6103264339
2022-04-25,204261.61147465778
2022-04-26,198131.61193242145
2022-04-27,198367.61008610798
2022-04-28,195390.61156621051
2022-04-29,198937.61054387165
2022-05-05,201250.61122288776
2022-05-06,201543.61101498676
2022-05-09,203928.61048092914
2022-05-10,205460.6111179836
2022-05-11,205995.61072697712
2022-05-12,208434.6105228908
2022-05-13,208414.61130490375
2022-05-16,206560.61130871845
2022-05-17,206340.61099400593
2022-05-18,207791.61144604755
2022-05-19,207297.61120190693
2022-05-20,210505.18651399447
2022-05-23,213474.11990556552
2022-05-24,206944.03286371066
2022-05-25,211396.1280861838
2022-05-26,211191.3040677054
2022-05-27,209436.74035463168
2022-05-30,212611.5029374106
2022-05-31,213078.55301294161
2022-06-01,215042.54832658602
2022-06-02,215520.5466786368
2022-06-06,218246.54779825045
2022-06-07,216936.54790315463
2022-06-08,217137.5472584708
2022-06-09,214319.5484200461
2022-06-10,218255.5456200583
2022-06-13,219353.5484353049
2022-06-14,218909.54776201083
2022-06-15,219431.5450707419
2022-06-16,220931.54735956027
2022-06-17,218162.54740152194
2022-06-20,219648.41677698225
2022-06-21,221242.4157575044
2022-06-22,218906.41636404127
2022-06-23,220619.41616090864
2022-06-24,221409.41447767348
2022-06-27,222649.41498788923
2022-06-28,225858.4161475572
2022-06-29,224169.41594633192
2022-06-30,225552.41717847914
2022-07-01,226902.41667780012
2022-07-04,227015.41497263045
2022-07-05,224414.41762003035
2022-07-06,222809.41710027785
2022-07-07,222044.41718610853
2022-07-08,225034.41800626845
2022-07-11,223977.4146512422
2022-07-12,223029.41667589277
2022-07-13,224913.41890844435
2022-07-14,224240.4170945558
2022-07-15,215591.41745123
2022-07-18,217068.38135246807
2022-07-19,218537.3831224876
2022-07-20,219259.38193325573
2022-07-21,218667.38125805432
2022-07-22,219387.38123898083
2022-07-25,220104.38198570782
2022-07-26,222291.3814735847
2022-07-27,221632.3809099632
2022-07-28,222990.38114075238
2022-07-29,223280.38091187054
2022-08-01,224106.3820314842
2022-08-02,219059.3803596931
2022-08-03,218655.38131718212
2022-08-04,221150.38203720623
2022-08-05,222755.38169865185
2022-08-08,223960.3812885719
2022-08-09,223985.38183693463
2022-08-10,224433.38126663739
2022-08-11,226320.38015846783
2022-08-12,226128.38057999188
2022-08-15,225623.20347981388
2022-08-16,228179.2021866315
2022-08-17,229568.2028885358
2022-08-18,227014.2037983411
2022-08-19,227314.20360760624
2022-08-22,229771.20262341434
2022-08-23,230088.20322709018
2022-08-24,228254.2032118314
2022-08-25,231099.2020721906
2022-08-26,228377.2010918134
2022-08-29,230854.20254425937
2022-08-30,233066.20143608982
2022-08-31,230120.20391182834
2022-09-01,233458.203327226
2022-09-02,233436.2029667371
2022-09-05,236225.2012844556
2022-09-06,239485.20399289066
2022-09-07,238367.2027702802
2022-09-08,240443.20319847995
2022-09-09,240994.20293526584
2022-09-13,240481.9408122519
2022-09-14,240126.94065012728
2022-09-15,237490.94073214327
2022-09-16,233943.9386073569
2022-09-19,232495.9403220633
2022-09-20,234822.9398433188
2022-09-21,235763.94063868318
2022-09-22,236719.9395839194
2022-09-23,235155.94031252657
2022-09-26,233616.94008745943
2022-09-27,235388.93882670198
2022-09-28,235544.93996538912
2022-09-29,235479.9409095267
2022-09-30,235426.94031634126
2022-10-10,235060.94085612093
2022-10-11,235346.93986811434
2022-10-12,238955.9395019034
2022-10-13,242331.94062151705
2022-10-14,244769.9414435843
2022-10-17,248912.93899454866
2022-10-18,247005.88499023078
2022-10-19,245161.88379241584
2022-10-20,244030.88434650062
2022-10-21,244503.8826317942
2022-10-24,239721.885308758
2022-10-25,238714.88426639198
2022-10-26,242919.88490535377
2022-10-27,243824.88401843666
2022-10-28,235918.88338042854
2022-10-31,236127.88487388252
2022-11-01,241474.88270713447
2022-11-02,243159.88200618385
2022-11-03,243004.88415671943
2022-11-04,246665.8845515406
2022-11-07,249182.88525058387
2022-11-08,249900.88220550178
2022-11-09,248936.88300563453
2022-11-10,250125.8819670832
2022-11-11,253694.88323642372
2022-11-14,256108.8826985514
2022-11-15,257377.04127292556
2022-11-16,257610.04183750076
2022-11-17,258875.04120330734
2022-11-18,256348.04094295425
2022-11-21,256751.0433958046
2022-11-22,255740.04140357894
2022-11-23,255843.0424259178
2022-11-24,256763.04183463973
2022-11-25,255521.04323367996
2022-11-28,254974.03862934036
2022-11-29,258027.04217891616
2022-11-30,260751.04341964645
2022-12-01,262821.0427568428
2022-12-02,263608.04272155685
2022-12-05,265964.04161910934
2022-12-06,263837.0416687004
2022-12-07,265400.0415609352
2022-12-08,265755.042700576
2022-12-09,264296.0437105171
2022-12-12,262688.0441234581
2022-12-13,261188.93601790836
2022-12-14,261378.93216506412
2022-12-15,262213.9387358802
2022-12-16,259052.93676749637
2022-12-19,251636.93163291385
2022-12-20,253306.9365729468
2022-12-21,250460.9323252814
2022-12-22,245297.93484107425
2022-12-23,244754.93328467777
2022-12-26,247511.93344489505
2022-12-27,247868.9334620612
2022-12-28,245269.93553534916
2022-12-29,243017.93153182438
2022-12-30,245785.9356631415
2023-01-03,249734.9340666907
2023-01-04,251016.93642035892
2023-01-05,251704.93619338443
2023-01-06,251046.93448440006
2023-01-09,251917.93391601017
2023-01-10,251178.93564597538
2023-01-11,249093.32282841197
2023-01-12,248220.31946480265
2023-01-13,249371.320465207
2023-01-16,251674.32081997386
2023-01-17,250705.31876385203
2023-01-18,252671.31691277018
2023-01-19,253677.31995880595
2023-01-20,255513.31720650187
2023-01-30,258247.3203212022
2023-01-31,260826.31914913646
2023-02-01,263914.3181353806
2023-02-02,264433.32262337196
2023-02-03,263659.32116806495
2023-02-06,264700.3184109925
2023-02-07,265825.32105743873
2023-02-08,265828.31979095924
2023-02-09,268218.3203727006
2023-02-10,269259.3209296464
2023-02-13,270330.3186446427
2023-02-14,270579.31917011726
2023-02-15,268486.0205695922
2023-02-16,265204.0217206771
2023-02-17,264711.0204980666
2023-02-20,267401.0217950637
2023-02-21,269431.02109888144
2023-02-22,269629.0210292632
2023-02-23,270639.01977994986
2023-02-24,269608.01930883474
2023-02-27,267216.0212562377
2023-02-28,269607.0194766814
2023-03-01,270721.0210368926
2023-03-02,270699.02060487814
2023-03-03,271454.0214345748
2023-03-06,271721.01986864157
2023-03-07,267643.02244642325
2023-03-08,269770.0223968322
2023-03-09,269197.0227525527
2023-03-10,265725.02117612906
2023-03-13,264868.01932313986
2023-03-14,261359.0236470992
2023-03-15,261219.35828545233
2023-03-16,259364.3608889832
2023-03-17,259939.35988762518
2023-03-20,258811.35981896063
2023-03-21,261892.3592887177
2023-03-22,262345.3594527497
2023-03-23,261395.3579745545
2023-03-24,261658.35817673345
2023-03-27,260205.3589663758
2023-03-28,258530.36044457098
2023-03-29,257150.35856583258
2023-03-30,256036.35838844915
2023-03-31,257369.361027266
2023-04-03,258213.360198523
2023-04-04,256917.35981323858
2023-04-06,255844.36052658697
2023-04-07,256972.35973694464
2023-04-10,255011.35862686773
2023-04-11,254979.35937264105
2023-04-12,255270.35897591253
2023-04-13,254003.13826629415
2023-04-14,255103.13473769918
2023-04-17,256477.1377665688
2023-04-18,254858.13542434468
2023-04-19,251993.13574859395
2023-04-20,249249.13617202535
2023-04-21,243658.13752242818
2023-04-24,244508.13714095845
2023-04-25,240290.14025756612
2023-04-26,244728.13683578267
2023-04-27,245908.13494750753
2023-04-28,251533.13838073506
2023-05-04,255781.13671371236
2023-05-05,254952.13728973165
2023-05-08,255686.1356837441
2023-05-09,252511.13463470235
2023-05-10,254365.13482162252
2023-05-11,257038.1367785622
2023-05-12,257219.13786956563
2023-05-15,258196.1358172585
2023-05-16,256035.76718887282
2023-05-17,257087.76885589553
2023-05-18,258882.76921829177
2023-05-19,259494.77035125686
2023-05-22,260645.76951583815
2023-05-23,262043.76684745742
2023-05-24,262221.76519950817
2023-05-25,261818.7662275691
2023-05-26,259979.76700386
2023-05-29,257249.768415298
2023-05-30,258658.7687643428
2023-05-31,259466.7690904994
2023-06-01,260487.76842674208
2023-06-02,262848.76767715404
2023-06-05,264421.77001556347
2023-06-06,262554.7679098506
2023-06-07,263394.7679193873
2023-06-08,263864.7668989558
2023-06-09,263762.7676161189
2023-06-12,264953.7669332881
2023-06-13,264750.68047134497
2023-06-14,265995.6802615366
2023-06-15,265690.68284122564
2023-06-16,267871.68183414557
2023-06-19,267142.68264858343
2023-06-20,264606.6791304789
2023-06-21,264463.68117420294
2023-06-26,264537.6828917704
2023-06-27,268822.6818331919
2023-06-28,268658.6825856409
2023-06-29,270967.6826724253
2023-06-30,273911.6819152079
2023-07-03,275899.68249885656
2023-07-04,276902.6819476328
2023-07-05,276258.68222801306
2023-07-06,275292.6827677927
2023-07-07,274739.68260376074
2023-07-10,275580.68258850195
2023-07-11,277996.6838607035
2023-07-12,277097.6830252848
2023-07-13,276846.19757193344
2023-07-14,278051.1955167653
2023-07-17,279911.1975337865
2023-07-18,281578.19777983445
2023-07-19,283178.1981613042
2023-07-20,284846.19497317093
2023-07-21,289401.1943723561
2023-07-24,290380.1947023274
2023-07-25,293370.1960470082
2023-07-26,294988.1948854329
2023-07-27,291990.19583719986
2023-07-28,297021.1993123891
2023-07-31,302522.1949960591
2023-08-01,299919.19545191544
2023-08-02,299183.1966783406
2023-08-03,300879.19496554154
2023-08-04,299339.1964342
2023-08-07,294645.1962854268
2023-08-08,293020.19580858963
2023-08-09,293776.1966611745
2023-08-10,296300.33716315724
2023-08-11,294424.33809394337
2023-08-14,294325.3362094829
2023-08-15,294167.33516807057
2023-08-16,293117.33721847035
2023-08-17,294239.3361961315
2023-08-18,293762.33562583424
2023-08-21,294019.3351184795
2023-08-22,292101.3362323711
2023-08-23,288784.33670157887
2023-08-24,290519.3350231121
2023-08-25,288586.33498305775
2023-08-28,290146.33688086964
2023-08-29,293860.3355800579
2023-08-30,295139.3368160198
2023-08-31,295149.3351852367
2023-09-01,296143.3365261028
2023-09-04,297701.33666152455
2023-09-05,297458.3361541698
2023-09-06,297657.33403319813
2023-09-07,292599.6942853022
2023-09-08,293184.6925353098
2023-09-11,296466.6917895365
2023-09-12,296291.69209948066
2023-09-13,293560.6950377512
2023-09-14,291798.69044771674
2023-09-15,293610.6914137888
2023-09-18,296383.69132032874
2023-09-19,294690.690646081
2023-09-20,296426.68975344184
2023-09-21,294472.6880168009
2023-09-22,296627.6904200602
2023-09-25,295339.69043245795
2023-09-26,293523.689398675
2023-09-27,294622.69042482856
2023-09-28,296227.6911591578
2023-10-09,294521.68763628486
2023-10-10,292331.6892241526
2023-10-11,293237.6903628397
2023-10-12,295157.69096365455
2023-10-13,290904.72110888746
2023-10-16,291340.72047850874
2023-10-17,291825.721136544
2023-10-18,286362.72129199293
2023-10-19,285836.7207445839
2023-10-20,285314.7224106529
2023-10-23,279419.7218575218
2023-10-24,288012.7215304115
2023-10-25,293336.72103068617
2023-10-26,291679.72032210615
2023-10-27,294628.7193693855
2023-10-30,294885.72301051405
2023-10-31,295895.72190425184
2023-11-01,298239.7205271461
2023-11-02,297431.72194144514
2023-11-03,297477.72158763197
2023-11-06,301129.724375222
2023-11-07,301763.7220539787
2023-11-08,301292.7210964897
2023-11-09,300665.72262427595
2023-11-10,299046.5928118064
2023-11-13,301346.59245417855
2023-11-14,301841.5940563514
2023-11-15,303028.5910408332
2023-11-16,301795.5930511787
2023-11-17,302289.59327147744
2023-11-20,304333.5915844276
2023-11-21,304998.5928575828
2023-11-22,304616.59386561654
2023-11-23,307174.5910446479
2023-11-24,306198.5915939643
2023-11-27,305232.5920622184
2023-11-28,307139.5938198402
2023-11-29,304839.5909111335
2023-11-30,305447.5923340156
2023-12-01,306879.5892517402
2023-12-04,307923.59264300606
2023-12-05,304851.5925447776
2023-12-06,306540.5933182075
2023-12-07,306017.5931494071
2023-12-08,300854.6590292265
2023-12-11,300572.65710471175
2023-12-12,302517.65794394515
2023-12-13,300019.6574175169
2023-12-14,300654.65707419417
2023-12-15,303823.6577713301
2023-12-18,299358.6579048445
2023-12-19,298995.6590854933
2023-12-20,296637.659379225
2023-12-21,299265.65689681075
2023-12-22,297512.658878546
2023-12-25,295464.6586143782
2023-12-26,293809.65878603957
2023-12-27,295044.65722678206
2023-12-28,299539.6572553923
2023-12-29,300074.658008795
2024-01-02,299343.65863440535
2024-01-03,300727.6563608458
2024-01-04,300814.65682623885
2024-01-05,298599.65719817183
2024-01-08,295287.3341202913
2024-01-09,296650.3349185167
2024-01-10,296495.3336119829
2024-01-11,298664.3344283281
2024-01-12,298567.3361659227
2024-01-15,299921.3353038011
2024-01-16,297857.33605625015
2024-01-17,294090.3317809282
2024-01-18,291957.3309779344
2024-01-19,291353.3338666139
2024-01-22,282281.33425714355
2024-01-23,284173.3349442659
2024-01-24,290155.33393623214
2024-01-25,297158.33135845046
2024-01-26,301744.3351626573
2024-01-29,296250.33301116806
2024-01-30,290301.3333916841
2024-01-31,282760.3346824823
2024-02-01,277700.3347993074
2024-02-02,274006.33388759475
2024-02-05,262243.4937629127
2024-02-06,262740.494385662
2024-02-07,258634.49646562568
2024-02-08,268594.49431032175
2024-02-19,275687.49348253245
2024-02-20,276783.493677082
2024-02-21,279448.49464029307
2024-02-22,282759.49451059336
2024-02-23,285880.4923924827
2024-02-26,287208.49353403086
2024-02-27,291067.4948129081
2024-02-28,281177.49244302744
2024-02-29,285945.49347490305
2024-03-01,288516.49693578715
2024-03-04,286883.4905776405
2024-03-05,283002.4956855201
2024-03-06,285990.49398035044
2024-03-07,286273.49418729777
2024-03-08,287131.49527639383
2024-03-11,290795.4914006614
2024-03-12,295266.10951684776
2024-03-13,291837.1101882345
2024-03-14,292276.1098172552
2024-03-15,296359.1120746023
2024-03-18,300321.1146619207
2024-03-19,300408.1141021139
2024-03-20,305204.1141536123
2024-03-21,305454.10993360344
2024-03-22,300822.1107747442
2024-03-25,298266.1101844198
2024-03-26,302281.1120774633
2024-03-27,295598.112538088
2024-03-28,299016.1134745962
2024-03-29,303885.11200212303
2024-04-01,309337.1120955831
2024-04-02,314657.1141745931
2024-04-03,314410.1119544393
2024-04-08,305862.1116664297
2024-04-09,309904.1127469427
2024-04-10,302809.1090705282
2024-04-11,301268.5925261616
2024-04-12,298032.79751909326
2024-04-15,287023.80017412256
2024-04-16,276671.8004263694
2024-04-17,283283.79935396265
2024-04-18,282781.79937971185
2024-04-19,280288.80044591974
2024-04-22,278637.79976738046
2024-04-23,280270.7998908813
2024-04-24,282646.79810178827
2024-04-25,283902.7990258987
2024-04-26,287417.7990711982
2024-04-29,294207.8006304557
2024-04-30,293805.79828394006
2024-05-06,298053.7983216102
2024-05-07,297982.8007973487
2024-05-08,295445.7995570953
2024-05-09,298223.7989581878
2024-05-10,300283.8004864509
2024-05-13,296923.800770169
2024-05-14,300132.0202765876
2024-05-15,301672.0223365241
2024-05-16,302987.0220122748
2024-05-17,305908.0215154105
2024-05-20,304450.0217376166
2024-05-21,300846.02035860356
2024-05-22,302140.01988748845
2024-05-23,297941.02358202275
2024-05-24,297943.02536825475
2024-05-27,297315.018290084
2024-05-28,293014.0185294562
2024-05-29,292823.0175910407
2024-05-30,288525.0206051284
2024-05-31,291012.0184956008
2024-06-03,284237.02046255406
2024-06-04,283653.02072147664
2024-06-05,279882.02154020604
2024-06-06,267513.0216179305
2024-06-07,275165.01815895375
2024-06-11,273960.0240884238
2024-06-12,274919.2542398782
2024-06-13,273406.25630267576
2024-06-14,273781.2562073083
2024-06-17,271062.25632079557
2024-06-18,272125.2546633096
2024-06-19,274103.2546604486
2024-06-20,270620.2546442361
2024-06-21,271390.2561033578
2024-06-24,265489.25431617216
2024-06-25,267366.2563169809
2024-06-26,269607.25563415006
2024-06-27,269462.25310214475
2024-06-28,270781.2528217645
2024-07-01,272441.2544811578
2024-07-02,273403.2560671182
2024-07-03,274362.25314982847
2024-07-04,269169.25297625974
2024-07-05,270785.25663264707
2024-07-08,266631.2541330667
2024-07-09,266924.25292380765
2024-07-10,266148.1178042821
2024-07-11,269480.11662935535
2024-07-12,270547.11794828693
2024-07-15,266815.11845564167
2024-07-16,266545.1174733571
2024-07-17,266197.1163747243
2024-07-18,264346.11623262684
2024-07-19,265901.11832594196
2024-07-22,267026.11687158863
2024-07-23,265905.11708235065
2024-07-24,263692.117666953
2024-07-25,264476.1182544164
2024-07-26,265667.116832488
2024-07-29,266173.11654066364
2024-07-30,267589.1154763631
2024-07-31,272054.1171548299
2024-08-01,272698.11642145435
2024-08-02,273434.118747466
2024-08-05,270226.1173007421
2024-08-06,272355.115175002
2024-08-07,272944.9701278509
2024-08-08,273738.9701097311
2024-08-09,272939.97137239587
2024-08-12,272941.9700353445
2024-08-13,273185.971137792
2024-08-14,272247.97110250604
2024-08-15,271857.970473081
2024-08-16,269905.9707849325
2024-08-19,268568.97246530664
2024-08-20,267267.9714649023
2024-08-21,268192.9714410604
2024-08-22,267985.97047021997
2024-08-23,267342.9708926977
2024-08-26,270218.9712970556
2024-08-27,268994.9704616369
2024-08-28,269821.97284391534
2024-08-29,271394.9717729391
2024-08-30,273710.97211530816
2024-09-02,273428.9714782537
2024-09-03,276004.9729793371
2024-09-04,275760.2743233794
2024-09-05,278100.2748097533
2024-09-06,275246.2746228331
2024-09-09,274884.27382365405
2024-09-10,275349.27345172106
2024-09-11,274289.2746533507
2024-09-12,273313.2737244719
2024-09-13,270025.27376071154
2024-09-18,268299.2745484465
2024-09-19,272314.27355662524
2024-09-20,271072.27292910754
2024-09-23,271220.2735032195
2024-09-24,276216.2741746062
2024-09-25,278013.27415362536
2024-09-26,282899.2736424559
2024-09-27,289676.27473727404
2024-09-30,302517.2718609923
2024-10-08,309920.27521983325
2024-10-09,294274.27459613024
2024-10-10,294998.2743825072
2024-10-11,289609.4295805397
2024-10-14,294051.4308279457
2024-10-15,293978.4317797127
2024-10-16,296996.42983135604
2024-10-17,293375.43283161544
2024-10-18,296662.43186649703
2024-10-21,298650.4307573738
2024-10-22,306647.4292581978
2024-10-23,311827.4309462013
2024-10-24,316138.43210396194
2024-10-25,321683.4301298561
2024-10-28,332470.43111977004
2024-10-29,328431.4320391121
2024-10-30,333874.4299000206
2024-10-31,334549.42987617874
2024-11-01,324918.4321230354
2024-11-04,332740.4326027336
2024-11-05,338860.43091473007
2024-11-06,345158.4326332512
2024-11-07,355124.42997154617
2024-11-08,352404.75553252595
2024-11-11,358598.7490055789
2024-11-12,356033.7529537906
2024-11-13,357894.755828165
2024-11-14,353147.75480010407
2024-11-15,349964.7518513431
2024-11-18,349574.7526524295
2024-11-19,357261.74944617646
2024-11-20,365944.7525379886
2024-11-21,369599.7541306247
2024-11-22,356771.7526791324
2024-11-25,367089.75747802155
2024-11-26,368057.7510235538
2024-11-27,370768.75566222565
2024-11-28,371364.7554753055
2024-11-29,377879.7496197452
2024-12-02,382864.7546646823
2024-12-03,387437.7569077243
2024-12-04,387076.752507471
2024-12-05,394326.75255515473
2024-12-06,396296.60305533936
2024-12-09,398910.60382876924
2024-12-10,398048.60410247376
2024-12-11,402816.6022256427
2024-12-12,411478.6007598453
2024-12-13,407972.6028636508
2024-12-16,413662.59870086244
2024-12-17,401892.6046088748
