code,date,p1445,sealed45
000002,2024-09-26,8.04,True
000002,2024-09-27,8.84,False
000002,2024-09-30,9.72,False
000002,2025-08-25,7.18,False
000006,2024-10-18,6.31,False
000006,2024-10-22,7.63,False
000006,2024-10-25,8.82,False
000006,2024-10-29,9.9,False
000006,2024-10-31,9.67,False
000006,2024-11-07,9.39,False
000006,2024-11-28,8.84,False
000006,2025-09-24,9.27,False
000006,2025-10-10,11.91,False
000006,2025-10-13,13.13,False
000006,2025-10-21,13.22,False
000006,2026-05-18,10.69,False
000007,2024-11-05,7.83,False
000007,2026-08-18,11.69,False
000008,2024-11-05,2.76,True
000008,2024-12-02,2.78,False
000008,2025-04-08,2.76,False
000009,2024-09-30,9.61,False
000009,2024-10-31,10.92,False
000010,2024-10-31,2.56,False
000010,2024-11-04,3.1,False
000010,2025-07-11,3.98,False
000010,2025-08-08,4.64,False
000010,2025-09-01,4.87,False
000010,2026-03-04,4.42,False
000010,2026-03-13,4.53,False
000011,2026-07-23,7.51,False
000011,2026-07-24,8.26,False
000011,2026-08-28,9.15,False
000011,2026-09-08,9.49,False
000012,2026-05-21,4.0,False
000012,2026-06-16,4.52,False
000014,2025-04-10,10.49,False
000014,2025-06-11,12.33,False
000014,2026-02-09,14.53,False
000014,2026-03-10,14.31,False
000016,2024-08-01,2.78,False
000016,2024-08-19,2.66,False
000016,2024-09-23,2.88,False
000016,2024-10-18,3.44,False
000016,2024-10-21,3.78,False
000016,2024-10-30,6.4,False
000016,2024-11-01,7.74,False
000016,2025-01-14,6.07,False
000016,2025-03-03,5.76,False
000016,2025-04-09,4.22,False
000016,2025-04-10,4.64,False
000016,2025-04-11,5.1,False
000016,2025-08-11,5.42,False
000017,2025-04-22,6.75,False
000017,2025-04-25,6.73,False
000017,2025-09-09,7.5,False
000017,2025-11-19,7.63,False
000017,2025-11-20,8.39,False
000017,2026-08-25,8.6,False
000017,2026-08-28,11.45,True
000019,2025-10-23,7.63,False
000019,2026-04-07,7.84,False
000019,2026-08-18,6.96,False
000020,2024-09-04,13.1,True
000020,2024-09-09,12.45,False
000020,2025-06-17,13.78,False
000020,2025-12-08,17.19,False
000020,2026-03-17,17.53,False
000020,2026-03-18,19.28,False
000021,2024-10-08,18.18,False
000021,2024-10-31,23.93,False
000021,2025-09-24,25.0,False
000021,2025-09-30,27.87,False
000021,2026-07-09,56.24,False
000021,2026-07-21,38.65,False
000025,2024-10-28,19.81,False
000025,2024-11-28,19.1,False
000025,2025-04-16,17.51,False
000025,2026-05-29,15.66,False
000025,2026-06-10,15.64,False
000025,2026-07-30,15.64,False
000026,2025-07-02,18.16,False
000026,2025-08-11,19.49,False
000026,2026-04-13,16.41,False
000026,2026-05-22,25.55,False
000026,2026-08-10,19.07,False
000026,2026-08-17,23.01,False
000027,2025-10-23,7.51,False
