date,code,g,F1,F2,limit,p1430,p1445,p1500,pc,pass
2025-10-23,000006,0.07768468215299129,False,True,False,14.15,14.28,14.15,13.130000114440918,False
2025-04-10,000007,0.06363636363636349,False,False,False,5.85,5.82,5.82,5.5,False
2026-07-06,000007,0.060330545083966625,False,True,False,12.83,12.81,12.88,12.100000381469727,False
2025-04-10,000008,0.05536328349065234,False,False,False,3.05,3.04,3.06,2.890000104904175,False
2026-07-23,000010,0.0629371019253635,False,True,False,1.52,1.53,1.53,1.4299999475479126,False
2026-08-28,000016,0.05150218035332621,False,False,False,2.45,2.44,2.45,2.3299999237060547,False
2024-12-11,000017,0.05329591577276971,False,False,False,7.51,7.48,7.49,7.130000114440918,False
2025-11-28,000017,0.054869690019216044,False,True,False,7.69,7.73,7.71,7.289999961853027,False
2025-04-10,000020,0.06042882624630641,False,False,False,10.88,10.83,10.81,10.260000228881836,False
2026-05-11,000021,0.06318502621897215,False,False,False,32.98,32.87,32.97,31.020000457763672,False
2026-09-16,000021,0.06104394461523022,False,True,False,35.98,36.18,36.2,33.90999984741211,False
2025-08-04,000026,0.07112457038278452,False,True,False,17.62,17.75,17.67,16.450000762939453,False
2026-08-11,000026,0.05086525016773069,False,False,False,20.04,19.96,20.03,19.06999969482422,False
2024-11-05,000029,0.053293365053948216,False,True,False,17.59,17.59,17.62,16.700000762939453,False
2026-04-17,000030,0.059615423481846674,False,True,False,5.51,5.5,5.5,5.199999809265137,False
2025-11-11,000031,0.05844158465996241,False,True,False,3.26,3.27,3.26,3.0799999237060547,False
2025-02-13,000032,0.05144234625898325,False,False,False,21.87,21.74,21.79,20.799999237060547,False
2025-02-13,000034,0.07791633957532884,False,False,False,48.42,47.7,48.13,44.91999816894531,False
2025-05-21,000034,0.05359439714270242,False,True,False,40.89,40.96,40.93,38.810001373291016,False
2026-05-11,000034,0.066716629477658,False,False,False,42.69,42.5,42.62,40.02000045776367,False
2025-11-11,000036,0.08495148644729222,False,True,False,4.47,4.49,4.45,4.119999885559082,False
2024-11-05,000037,0.05128201998633375,False,False,False,9.43,9.41,9.43,8.970000267028809,False
2026-05-28,000039,0.07736942317277307,False,True,False,11.14,11.13,11.15,10.34000015258789,False
2026-07-23,000039,0.05321783172699801,False,True,False,8.51,8.54,8.54,8.079999923706055,False
2026-07-23,000056,0.06250000575726689,False,True,False,1.87,1.87,1.89,1.7599999904632568,False
2025-06-27,000059,0.06273759634195208,False,True,False,5.59,5.58,5.57,5.260000228881836,False
2026-07-06,000059,0.056511011950335366,False,False,False,4.3,4.29,4.27,4.070000171661377,False
2026-01-26,000060,0.05648267526336537,False,True,False,8.23,8.24,8.28,7.789999961853027,False
2026-05-11,000060,0.0779874472465143,False,False,False,8.57,8.52,8.5,7.949999809265137,False
2024-09-23,000062,0.06241871771234253,False,False,False,32.68,32.3,31.8,30.760000228881836,False
2025-04-29,000062,0.05096588903338817,False,False,False,25.57,25.49,25.42,24.329999923706055,False
2025-08-21,000062,0.07793967310332728,False,False,False,31.81,31.69,31.15,29.510000228881836,False
2025-08-21,000063,0.06835256552726543,False,False,False,42.67,42.45,42.56,39.939998626708984,False
2025-11-28,000065,0.05074871206367826,False,True,False,12.63,12.65,12.65,12.020000457763672,False
2024-11-05,000066,0.07702019164518692,False,False,False,17.06,16.86,16.8,15.84000015258789,False
2026-07-23,000068,0.06349207154146885,False,True,False,2.68,2.68,2.67,2.5199999809265137,False
