date,code,g,F1,F2,limit,p1430,p1445,p1500,pc,pass
2024-06-20,688216,0.19980738809685916,False,True,False,24.92,24.92,24.92,20.770000457763672,False
2024-06-20,688076,0.19752280425505364,False,False,False,73.48,72.93,72.8,61.36000061035156,False
2024-06-20,300462,0.20000003481092654,False,True,True,15.78,15.78,15.78,13.149999618530273,False
2024-06-20,688130,0.1999999730330686,False,True,True,40.74,40.74,40.74,33.95000076293945,False
2024-06-20,002199,0.10023864845915043,False,True,True,9.22,9.22,9.22,8.380000114440918,False
2024-06-21,300689,0.20014350814922932,False,True,True,16.73,16.73,16.73,13.9399995803833,False
2024-06-21,002766,0.10050255123863061,False,True,True,6.57,6.57,6.57,5.96999979019165,False
2024-06-21,688693,-0.06432747146468831,False,False,False,48.0,47.3,48.77,51.29999923706055,False
2024-06-21,688130,0.1001472300795141,False,False,False,44.82,44.71,43.05,40.7400016784668,False
2024-06-21,688216,-0.05096308476748679,False,False,False,23.65,23.0,22.77,24.920000076293945,False
2024-06-24,603586,0.1001461742881602,False,True,True,15.05,15.05,15.05,13.680000305175781,False
2024-06-24,301027,0.06885924864182269,False,True,False,10.4,10.38,10.52,9.729999542236328,False
2024-06-24,300930,0.1672648703358961,False,False,False,32.52,32.08,32.52,27.860000610351562,False
2024-06-24,300469,0.026402666108352735,True,True,False,15.55,15.81,15.92,15.149999618530273,True
2024-06-24,301176,0.0297327931595599,True,True,False,27.36,27.56,27.41,26.56999969482422,True
2024-06-25,300386,0.20042199889341594,False,True,True,11.38,11.38,11.38,9.479999542236328,False
2024-06-25,603586,0.10033221196865671,False,True,True,16.56,16.56,16.56,15.050000190734863,False
2024-06-25,300930,0.14391142301226667,False,False,False,37.2,36.75,37.8,32.52000045776367,False
2024-06-25,300401,0.14161389304256122,False,True,False,14.43,14.56,14.49,12.640000343322754,False
2024-06-25,600378,0.04915308401354279,False,True,False,31.59,31.62,31.6,30.110000610351562,False
2024-06-26,603586,0.10024158137635242,False,True,True,18.22,18.22,18.22,16.559999465942383,False
2024-06-26,301279,0.1999999516872133,False,True,True,22.74,22.74,22.74,18.950000762939453,False
2024-06-26,300469,0.08653122960480641,False,True,False,14.44,14.6,14.42,13.289999961853027,False
2024-06-26,300946,0.040983572457916395,False,False,False,26.67,26.58,26.47,25.6200008392334,False
2024-06-26,300386,0.20035148177773943,False,True,True,13.66,13.66,13.66,11.380000114440918,False
2024-06-27,301279,0.1750219995136848,False,False,False,26.72,26.61,27.29,22.739999771118164,False
2024-06-27,688018,0.20004848497398453,False,True,True,99.04,99.04,99.04,82.52999877929688,False
2024-06-27,300959,0.20007238540036387,False,True,True,33.17,33.17,33.17,27.639999389648438,False
