date,code,g,F1,F2,limit,p1430,p1445,p1500,pc,pass
2024-09-23,000001,0.014141453218612376,True,True,False,10.04,10.03,10.04,9.899999618530273,True
2024-11-05,000001,0.013961602209461965,True,True,False,11.62,11.62,11.65,11.460000038146973,True
2024-12-30,000001,0.010989017509073662,True,True,False,11.96,11.94,11.95,11.829999923706055,True
2025-04-10,000001,0.010185167344673118,True,True,False,10.91,10.91,10.9,10.800000190734863,True
2026-07-06,000001,0.020408167048151737,True,True,False,10.5,10.51,10.5,10.289999961853027,True
2026-07-23,000001,0.010018257044596135,True,True,False,11.09,11.07,11.08,10.979999542236328,True
2024-11-05,000002,0.02535835864548397,True,True,False,9.3,9.29,9.34,9.069999694824219,True
2025-04-10,000002,0.019830036594212785,True,True,False,7.2,7.21,7.2,7.059999942779541,True
2025-09-09,000002,0.013313575158421243,True,True,False,6.85,6.85,6.86,6.760000228881836,True
2026-02-12,000002,0.01022497645799314,True,True,False,4.94,4.94,4.92,4.889999866485596,True
2026-05-11,000002,0.022499999999999964,True,False,False,4.09,4.08,4.09,4.0,False
2026-08-28,000002,0.012861770499494662,True,True,False,3.15,3.15,3.16,3.109999895095825,True
2024-11-05,000006,0.011627862104022668,True,True,False,8.7,8.71,8.69,8.600000381469727,True
2024-11-22,000006,0.028500658472551788,True,False,False,8.3,8.15,8.14,8.069999694824219,False
2024-12-11,000006,0.01112349626560638,True,True,False,9.09,9.1,9.12,8.989999771118164,True
2025-03-04,000006,0.012422351252908026,True,True,False,6.52,6.52,6.54,6.440000057220459,True
2025-04-29,000006,0.01618125799985015,True,True,False,6.28,6.29,6.26,6.179999828338623,True
2025-11-28,000006,0.023342666756543062,True,True,False,10.96,10.96,11.01,10.710000038146973,True
2025-12-17,000006,0.01923080661593235,True,True,False,9.54,9.54,9.53,9.359999656677246,True
2026-04-17,000006,0.017021317868387786,True,True,False,9.56,9.6,9.57,9.399999618530273,True
2026-08-28,000006,0.02043594608907795,True,False,False,7.49,7.46,7.48,7.340000152587891,False
2026-09-16,000006,0.015082938738005591,True,True,False,6.73,6.73,6.74,6.630000114440918,True
2024-12-11,000007,0.020862300637801257,True,True,False,7.34,7.33,7.38,7.190000057220459,True
2025-03-04,000007,0.014218021702795403,True,True,False,6.42,6.47,6.46,6.329999923706055,True
2025-04-29,000007,0.016442442726262607,True,True,False,6.8,6.82,6.82,6.690000057220459,True
2025-05-21,000007,0.015936226673054055,True,True,False,7.65,7.66,7.66,7.53000020980835,True
2025-07-16,000007,0.015759309545261946,True,True,False,7.09,7.1,7.11,6.980000019073486,True
2025-08-04,000007,0.014064678566491962,True,True,False,7.21,7.2,7.19,7.110000133514404,True
2025-08-21,000007,0.01832462512578603,True,False,False,7.78,7.76,7.8,7.639999866485596,False
2026-01-26,000007,0.014731372505106588,True,True,False,11.71,11.75,11.72,11.539999961853027,True
2026-06-16,000007,0.01916251557758275,True,False,False,14.36,14.32,14.34,14.09000015258789,False
2026-07-23,000007,0.02544248220326617,True,True,False,9.27,9.27,9.27,9.039999961853027,True
2026-08-11,000007,0.017341029246104034,True,True,False,10.56,10.57,10.61,10.380000114440918,True
2026-09-16,000007,0.019248410222269863,True,True,False,11.12,11.16,11.19,10.90999984741211,True
2024-12-11,000008,0.024844711390980656,True,False,False,3.3,3.29,3.29,3.2200000286102295,False
2025-03-04,000008,0.0108695687102911,True,True,False,2.79,2.79,2.79,2.759999990463257,True
2025-08-21,000008,0.023890761654579373,True,False,False,3.0,2.99,3.0,2.930000066757202,False
2025-09-26,000008,0.024822719295850115,True,True,False,2.89,2.9,2.9,2.819999933242798,True
2025-11-28,000008,0.01639345851325147,True,True,False,3.1,3.12,3.13,3.049999952316284,True
2026-07-23,000008,0.021929837384933037,True,True,False,2.33,2.33,2.34,2.2799999713897705,True
2026-08-28,000008,0.016064253136568674,True,False,False,2.53,2.52,2.52,2.490000009536743,False
2024-11-05,000009,0.018737638091142816,True,True,False,10.33,10.32,10.33,10.140000343322754,True
2025-02-13,000009,0.010297509295051466,True,False,False,8.83,8.81,8.83,8.739999771118164,False
2025-04-10,000009,0.019710888811288907,True,False,False,7.76,7.74,7.73,7.610000133514404,False
2025-08-04,000009,0.012048180085463045,True,True,False,9.24,9.23,9.26,9.130000114440918,True
2025-10-23,000009,0.02889100382003007,True,True,False,11.04,11.06,11.01,10.729999542236328,True
2025-12-17,000009,0.014285694544934335,True,True,False,9.94,9.94,9.94,9.800000190734863,True
2026-03-11,000009,0.014161186329255893,True,False,False,9.31,9.29,9.29,9.180000305175781,False
2026-06-16,000009,0.014347232829055923,True,True,False,7.07,7.07,7.08,6.96999979019165,True
2026-07-23,000009,0.02131149137702537,True,True,False,6.23,6.25,6.24,6.099999904632568,True
2024-09-23,000010,0.011428571428571344,True,True,False,1.77,1.77,1.77,1.75,True
2024-12-11,000010,0.023880626162646523,True,False,False,3.43,3.41,3.42,3.3499999046325684,False
2025-02-13,000010,0.017064823243548854,True,False,False,2.98,2.96,2.97,2.930000066757202,False
2025-03-21,000010,0.013029337989252099,True,True,False,3.11,3.11,3.1,3.069999933242798,True
2025-04-29,000010,0.012048188894922207,True,False,False,2.52,2.51,2.52,2.490000009536743,False
2025-06-27,000010,0.01351350045186761,True,False,False,3.0,2.99,2.99,2.9600000381469727,False
2024-11-05,000011,0.01871103082975334,True,True,False,9.8,9.82,9.81,9.619999885559082,True
