date,value
2021-02-08,1000000.0
2021-02-09,1002364.7368102468
2021-02-10,1013414.7370963491
2021-02-18,1028743.7271266378
2021-02-19,1048021.7291264929
2021-02-22,1061710.7331662574
2021-02-23,1056927.7420907416
2021-02-24,1055111.7372184196
2021-02-25,1058596.736851255
2021-02-26,1062242.746701757
2021-03-01,1073492.726388494
2021-03-02,1068451.7305283942
2021-03-03,1077155.7160764136
2021-03-04,1082855.7350068488
2021-03-05,1092412.7416997352
2021-03-08,1097277.7277379432
2021-03-09,1099829.735413114
2021-03-10,1094909.741249601
2021-03-11,1114663.7336879172
2021-03-12,1124759.7322850623
2021-03-15,1130455.7394652762
2021-03-16,1148280.7303100028
2021-03-17,1137405.732956449
2021-03-18,1147910.7301621833
2021-03-19,1157625.7291465201
2021-03-22,1179813.7428431907
2021-03-23,1169780.7320266166
2021-03-24,1166395.737615148
2021-03-25,1156611.7310672202
2021-03-26,1154545.7345395484
2021-03-29,1167158.7332158484
2021-03-30,1158467.7880002363
2021-03-31,1171454.7990514142
2021-04-01,1173102.7970506055
2021-04-02,1170971.7961980207
2021-04-06,1177128.7901116712
2021-04-07,1183305.7988835676
2021-04-08,1173856.7950440748
2021-04-09,1179039.8052884443
2021-04-12,1179818.8015891416
2021-04-13,1172078.7965728147
2021-04-14,1174743.793959747
2021-04-15,1181806.7991210325
2021-04-16,1201273.8051844938
2021-04-19,1204846.8002988202
2021-04-20,1204673.7940503461
2021-04-21,1199141.8036414487
2021-04-22,1195855.800814758
2021-04-23,1188195.794077049
2021-04-26,1184301.7888022764
2021-04-27,1182991.786809097
2021-04-28,1183382.7928019864
2021-04-29,1186919.784636627
2021-04-30,1184186.785884033
2021-05-06,1189856.7939235074
2021-05-07,1188437.7954675062
2021-05-10,1196941.7886210782
2021-05-11,1210593.7987281187
2021-05-12,1224630.8034373624
2021-05-13,1229840.7924367292
2021-05-14,1233669.8084069593
2021-05-17,1218306.2954693793
2021-05-18,1220205.2891760825
2021-05-19,1212218.2854920386
2021-05-20,1203610.2808981894
2021-05-21,1205509.2948704718
2021-05-24,1219115.2891903876
2021-05-25,1220379.2931109427
2021-05-26,1221329.2915850638
2021-05-27,1226244.3010359763
2021-05-28,1224350.2893954276
2021-05-31,1226294.2981749533
2021-06-01,1231277.2873192786
2021-06-02,1226643.301013088
2021-06-03,1239870.3013926505
2021-06-04,1242314.2923384665
2021-06-07,1242118.2984381674
2021-06-08,1244928.2880574225
2021-06-09,1246187.295511341
2021-06-10,1246332.301285839
2021-06-11,1239278.2989054678
2021-06-15,1234938.2866888999
2021-06-16,1234179.281309223
2021-06-17,1231348.28048048
2021-06-18,1228956.2967568396
2021-06-21,1227768.2835131644
2021-06-22,1233158.2968502997
2021-06-23,1223620.2950745581
2021-06-24,1232082.2985678671
2021-06-25,1232954.2882233618
2021-06-28,1232838.3063822745
2021-06-29,1220331.2206216748
2021-06-30,1219256.2421270306
2021-07-01,1210967.2399230893
2021-07-02,1211638.2361122067
2021-07-05,1215787.2405715878
2021-07-06,1217609.23199138
2021-07-07,1215024.2340513165
2021-07-08,1208443.2383247311
2021-07-09,1212392.2317214902
2021-07-12,1214222.225303262
2021-07-13,1216379.237074464
2021-07-14,1211314.2362066205
2021-07-15,1201875.2275415356
2021-07-16,1201478.2336183484
2021-07-19,1192649.2470928128
2021-07-20,1201553.2439418728
2021-07-21,1210699.229449838
2021-07-22,1209504.2419858868
2021-07-23,1204994.2236848767
2021-07-26,1191288.2347532208
2021-07-27,1176577.2422738965
2021-07-28,1151898.2421108182
2021-07-29,1155458.252234071
2021-07-30,1155367.2453828747
2021-08-02,1166335.2396198208
2021-08-03,1175725.2424665387
2021-08-04,1177105.2343793805
2021-08-05,1171654.2326160367
2021-08-06,1167843.2477899487
2021-08-09,1188272.2385831769
2021-08-10,1192214.8165919485
2021-08-11,1194636.814854354
2021-08-12,1192261.8098237219
2021-08-13,1192773.8147237005
2021-08-16,1196889.8191668692
2021-08-17,1186512.807677001
2021-08-18,1195230.8146216574
2021-08-19,1191943.8191153707
2021-08-20,1186750.8261897268
2021-08-23,1200743.811366767
2021-08-24,1204992.7993037405
2021-08-25,1214640.823767394
2021-08-26,1214533.8157155218
2021-08-27,1219478.8146474066
2021-08-30,1214766.813276023
2021-08-31,1232064.8214318457
2021-09-01,1249137.8272034826
2021-09-02,1261875.8232333364
2021-09-03,1273937.8232218924
2021-09-06,1278916.8138005438
2021-09-07,1289516.8273188772
2021-09-08,1311226.824853629
2021-09-09,1321403.8064219656
2021-09-10,1305904.816458434
2021-09-13,1320640.8161379995
2021-09-14,1296032.8156926336
2021-09-15,1300969.8108174505
2021-09-16,1293798.819682807
2021-09-17,1286148.814485282
2021-09-22,1306950.8366324606
2021-09-23,1316813.3163021822
2021-09-24,1304212.3222636003
2021-09-27,1282446.3193463106
2021-09-28,1284102.3026751298
2021-09-29,1264736.3144921083
2021-09-30,1282287.3129652757
2021-10-08,1306540.3049277086
2021-10-11,1303508.309869649
2021-10-12,1303434.3160198946
2021-10-13,1295825.3059910554
2021-10-14,1291881.308417203
2021-10-15,1275499.3288563509
2021-10-18,1277390.3215931673
2021-10-19,1279738.3195923585
2021-10-20,1271802.329831006
2021-10-21,1269277.318911435
2021-10-22,1263298.314337613
2021-10-25,1254357.3258684892
2021-10-26,1244106.3170241136
2021-10-27,1220739.306979062
2021-10-28,1206087.3079108018
2021-10-29,1221549.3099735994
2021-11-01,1224880.3205059785
2021-11-02,1211728.325347783
2021-11-03,1219110.3144453783
2021-11-04,1223578.3170508165
2021-11-05,1221276.3045595903
2021-11-08,1223192.3147248048
2021-11-09,1227994.3119334
2021-11-10,1239036.3163517732
2021-11-11,1242347.2984671262
2021-11-12,1241535.2811455396
2021-11-15,1258340.289580789
2021-11-16,1254553.2988905576
2021-11-17,1256756.297123399
2021-11-18,1250155.2961945203
2021-11-19,1255674.2936491636
2021-11-22,1251867.2883867887
2021-11-23,1256918.2936548856
2021-11-24,1268590.28805491
2021-11-25,1281822.2869991926
2021-11-26,1281883.2821964887
2021-11-29,1270883.2856297162
2021-11-30,1292068.2797312406
2021-12-01,1311178.29917666
2021-12-02,1303612.2793078092
2021-12-03,1304859.294283357
2021-12-06,1309757.2820305494
2021-12-07,1310705.2896141675
2021-12-08,1314263.2801890043
2021-12-09,1319984.2855095533
2021-12-10,1310904.2981028226
2021-12-13,1308440.2864813474
2021-12-14,1315569.2893623975
2021-12-15,1327208.2904934552
2021-12-16,1333078.2814144758
2021-12-17,1326526.2824892667
2021-12-20,1341600.2925276426
2021-12-21,1369736.2933516172
2021-12-22,1357610.2813601163
2021-12-23,1338381.8542861259
2021-12-24,1339964.8512028968
2021-12-27,1349995.8528899467
2021-12-28,1349564.8573540961
2021-12-29,1350769.872584275
2021-12-30,1359096.854224137
2021-12-31,1372475.8687638557
2022-01-04,1399958.860745362
2022-01-05,1394891.8559216773
2022-01-06,1397492.8564214027
2022-01-07,1391354.8539065635
2022-01-10,1402357.8702830588
2022-01-11,1406349.861087731
2022-01-12,1414215.872540406
2022-01-13,1414342.8719901359
2022-01-14,1404750.874247483
2022-01-17,1406803.8667821204
2022-01-18,1381768.8689374244
2022-01-19,1400982.8588866508
2022-01-20,1393574.8563193595
2022-01-21,1376375.8570336616
2022-01-24,1367302.8612040794
2022-01-25,1340192.8646706855
2022-01-26,1352431.856098107
2022-01-27,1320119.8583745277
2022-01-28,1350975.8585118568
2022-02-07,1379159.8679923331
2022-02-08,1400729.8590802466
2022-02-09,1419381.8657540595
2022-02-10,1426518.8640260017
2022-02-11,1402793.8795626136
2022-02-14,1402757.8823149176
2022-02-15,1401808.8702738257
2022-02-16,1415727.879816291
2022-02-17,1406915.879994628
2022-02-18,1418983.8805496665
2022-02-21,1425384.881526229
2022-02-22,1427085.8819782706
2022-02-23,1442163.8793289633
2022-02-24,1420938.8797581168
2022-02-25,1423734.8789751502
2022-02-28,1416198.877578971
2022-03-01,1417556.880193946
2022-03-02,1429951.8787682028
2022-03-03,1458506.8966686698
2022-03-04,1443761.8812382193
2022-03-07,1424751.8871605368
2022-03-08,1383730.8851301642
2022-03-09,1364822.88573384
2022-03-10,1370883.881288764
2022-03-11,1380164.8738205405
2022-03-14,1357191.8835461112
2022-03-15,1288795.8793461295
2022-03-16,1326668.899804351
2022-03-17,1329947.8853046866
2022-03-18,1355640.8781826468
2022-03-21,1371459.871941802
2022-03-22,1384488.8855516883
2022-03-23,1377733.8704884024
2022-03-24,1362047.8873312445
2022-03-25,1362874.424849443
2022-03-28,1371192.4151047987
2022-03-29,1359259.421335153
2022-03-30,1363981.4098939223
2022-03-31,1372460.4250296874
2022-04-01,1382648.4057292265
2022-04-06,1403816.4252862257
2022-04-07,1387070.4196318907
2022-04-08,1399043.4134110732
2022-04-11,1397824.4176492018
2022-04-12,1437087.4162301344
2022-04-13,1430360.434471063
2022-04-14,1449511.4038571639
2022-04-15,1420250.410471849
2022-04-18,1425592.4131020827
2022-04-19,1408515.411935739
2022-04-20,1414956.4117297453
2022-04-21,1367230.41289895
