date,value
2021-02-08,1000000.0
2021-02-09,1002364.7368102468
2021-02-10,1013414.7370963491
2021-02-18,1028743.7271266378
2021-02-19,1048021.7291264929
2021-02-22,1061710.7331662574
2021-02-23,1056927.7420907416
2021-02-24,1055111.7372184196
2021-02-25,1058596.736851255
2021-02-26,1062242.746701757
2021-03-01,1073492.726388494
2021-03-02,1068451.7305283942
2021-03-03,1077155.7160764136
2021-03-04,1082855.7350068488
2021-03-05,1092412.7416997352
2021-03-08,1097277.7277379432
2021-03-09,1099829.735413114
2021-03-10,1094909.741249601
2021-03-11,1114663.7336879172
2021-03-12,1126774.2364723324
2021-03-15,1133919.2407686352
2021-03-16,1142924.234016621
2021-03-17,1140302.2332985043
2021-03-18,1141924.2314655422
2021-03-19,1141811.2278062939
2021-03-22,1162991.242464268
2021-03-23,1157809.2345316052
2021-03-24,1161984.238918507
2021-03-25,1152102.963474856
2021-03-26,1152504.9655471903
2021-03-29,1159637.9654918772
2021-03-30,1151793.637395642
2021-03-31,1164661.6483695724
2021-04-01,1166307.646370671
2021-04-02,1164199.6455676772
2021-04-06,1170317.6394946792
2021-04-07,1176470.6481702544
2021-04-08,1167055.6443937041
2021-04-09,1172218.6546094634
2021-04-12,1172978.6509044387
2021-04-13,1165324.6459014632
2021-04-14,1167938.6432893493
2021-04-15,1174958.6484678008
2021-04-16,1194364.6544940688
2021-04-19,1197926.6495950439
2021-04-20,1197731.6434152343
2021-04-21,1192205.6529052474
2021-04-22,1188932.6500900008
2021-04-23,1181748.9178740273
2021-04-26,1180892.915400196
2021-04-27,1179816.9149958382
2021-04-28,1180598.9187084923
2021-04-29,1184723.9119850884
2021-04-30,1181978.5691713267
2021-05-06,1190124.5800947123
2021-05-07,1190782.5797771388
2021-05-10,1196338.5739301615
2021-05-11,1210562.5814174586
2021-05-12,1221313.5857080393
2021-05-13,1225639.3950117175
2021-05-14,1231819.408453757
2021-05-17,1218163.139009416
2021-05-18,1220059.1326712966
2021-05-19,1212073.129010141
2021-05-20,1203479.1244267821
2021-05-21,1205388.138341844
2021-05-24,1218993.1327103972
2021-05-25,1220237.136626184
2021-05-26,1221193.135094583
2021-05-27,1226096.1445330977
2021-05-28,1224208.1328629851
2021-05-31,1226142.1416758895
2021-06-01,1231124.1308450103
2021-06-02,1226500.1444815993
2021-06-03,1239711.1449002624
2021-06-04,1244311.7105762644
2021-06-07,1244126.716641633
2021-06-08,1246930.7062666102
2021-06-09,1248194.7137872858
2021-06-10,1248331.7194978877
2021-06-11,1241298.7171928568
2021-06-15,1236972.7049390955
2021-06-16,1236239.699558465
2021-06-17,1233390.698794572
2021-06-18,1230993.7149803324
2021-06-21,1229808.7018291636
2021-06-22,1235427.7131359263
2021-06-23,1231819.7092573328
2021-06-24,1243775.7166664286
2021-06-25,1245854.705218522
2021-06-28,1245524.721745698
2021-06-29,1233272.4996566095
2021-06-30,1232202.5213956155
2021-07-01,1223837.5191926279
2021-07-02,1224538.515376977
2021-07-05,1228713.5197877206
2021-07-06,1230557.5111388483
2021-07-07,1227944.5132493295
2021-07-08,1221312.5175713815
2021-07-09,1225292.511033944
2021-07-12,1227123.5043763437
2021-07-13,1229306.516313485
2021-07-14,1224171.5153931894
2021-07-15,1214663.5067462244
2021-07-16,1214242.5128697671
2021-07-19,1205346.5264081277
2021-07-20,1214363.5231255807
2021-07-21,1223627.5086402216
2021-07-22,1222410.521244935
2021-07-23,1217862.5029324808
2021-07-26,1204083.514070443
2021-07-27,1189264.5215749063
2021-07-28,1164375.5213498392
2021-07-29,1167986.5316151895
2021-07-30,1167935.5246543207
2021-08-02,1179005.5188416757
2021-08-03,1188451.5217065134
2021-08-04,1189839.5137070932
2021-08-05,1184342.5118207254
2021-08-06,1180549.5271443643
2021-08-09,1201142.5178288736
2021-08-10,1205119.3619890842
2021-08-11,1207566.3601561221
2021-08-12,1205189.3550797137
2021-08-13,1205689.3599672946
2021-08-16,1209823.3645601901
2021-08-17,1199348.3528776797
2021-08-18,1208123.359863344
2021-08-19,1204833.3643599185
2021-08-20,1199608.371512476
2021-08-23,1213703.356639925
2021-08-24,1217959.344522539
2021-08-25,1227662.3691721591
2021-08-26,1227563.361041132
2021-08-27,1232521.3600559863
2021-08-30,1227781.358615938
2021-08-31,1245218.3668537769
2021-09-01,1262432.3726816806
2021-09-02,1275235.3686495456
2021-09-03,1287391.3686915073
2021-09-06,1292414.3590851459
2021-09-07,1303065.372721735
2021-09-08,1324970.370285097
2021-09-09,1335203.3517046603
2021-09-10,1319569.3617268237
2021-09-13,1334471.361438814
2021-09-14,1309698.3610315952
2021-09-15,1314654.3560667667
2021-09-16,1307405.3650780353
2021-09-17,1299715.3598471317
2021-09-22,1320662.382118288
2021-09-23,1330631.9532398968
2021-09-24,1317858.9592699795
2021-09-27,1295798.9563469677
2021-09-28,1297474.939418295
2021-09-29,1277851.951408842
2021-09-30,1295645.9498648434
2021-10-08,1320235.9417204647
2021-10-11,1317152.9467348843
2021-10-12,1317076.952934721
2021-10-13,1309386.9427685528
2021-10-14,1305398.9452843457
2021-10-15,1288799.9659542828
2021-10-18,1290717.9585938244
2021-10-19,1293101.9565586834
2021-10-20,1285066.9669632702
2021-10-21,1282510.9558586865
2021-10-22,1276439.9512295513
2021-10-25,1267373.9629511624
2021-10-26,1256972.9539637356
2021-10-27,1233273.9438061505
2021-10-28,1218403.9447073727
2021-10-29,1234074.946785429
2021-11-01,1237468.9574723034
2021-11-02,1224141.9624094754
2021-11-03,1231598.9513640194
2021-11-04,1236123.9539866238
2021-11-05,1233813.9413599758
2021-11-08,1235760.9516148358
2021-11-09,1240636.9488005429
2021-11-10,1251828.9533142834
2021-11-11,1255182.8323593342
2021-11-12,1254353.8147678578
2021-11-15,1271349.8233785832
2021-11-16,1267524.8327722752
2021-11-17,1269741.8309440815
2021-11-18,1263062.8300657475
2021-11-19,1268664.8274412358
2021-11-22,1264818.8221445286
2021-11-23,1269916.8274393284
2021-11-24,1281764.8217668736
2021-11-25,1295171.8206873143
2021-11-26,1295214.8158779347
2021-11-29,1284048.819326421
2021-11-30,1305500.813411733
2021-12-01,1324848.8330593312
2021-12-02,1320548.9983221206
2021-12-03,1321474.0137954864
2021-12-06,1317986.0016962204
2021-12-07,1321078.0034443054
2021-12-08,1324193.9982553634
2021-12-09,1330311.0033174667
2021-12-10,1320787.016405693
2021-12-13,1321723.0052133712
2021-12-14,1330594.0066715393
2021-12-15,1344007.0062061462
2021-12-16,1345996.6347840687
2021-12-17,1340914.633694019
2021-12-20,1351432.6405671497
2021-12-21,1379663.6431601902
2021-12-22,1375377.761476492
2021-12-23,1358836.8120890844
2021-12-24,1360434.8089915502
2021-12-27,1370589.81063187
2021-12-28,1370145.815156101
2021-12-29,1371377.8305751074
2021-12-30,1379808.8119727361
2021-12-31,1393359.8267060507
2022-01-04,1421173.8186103094
2022-01-05,1416060.8136874426
2022-01-06,1418678.8141709554
2022-01-07,1412446.8116503942
2022-01-10,1423602.8282624471
2022-01-11,1427652.8189402807
2022-01-12,1435604.8305732
2022-01-13,1435737.8299456823
2022-01-14,1426056.8323355902
2022-01-17,1428134.8247033346
2022-01-18,1402796.8269091833
2022-01-19,1422283.8167649496
2022-01-20,1414832.814119457
2022-01-21,1400878.2323658473
2022-01-24,1394597.9980474217
2022-01-25,1365016.9990545018
2022-01-26,1377095.990682195
2022-01-27,1347907.9937225087
2022-01-28,1370575.993776868
2022-02-07,1390142.0040851338
2022-02-08,1413483.993197034
2022-02-09,1422686.0009437306
2022-02-10,1435027.9985671742
2022-02-11,1413911.642571335
2022-02-14,1413899.6454676439
2022-02-15,1412931.633253937
2022-02-16,1426939.6429499437
2022-02-17,1418071.6430624772
2022-02-18,1430233.6436470796
2022-02-21,1436689.6446427156
2022-02-22,1438422.6450880815
2022-02-23,1453628.6424120713
2022-02-24,1432291.6428765107
2022-02-25,1436720.924420745
2022-02-28,1437613.923712165
2022-03-01,1438764.922113807
2022-03-02,1448870.9186271736
2022-03-03,1474022.9401306221
2022-03-04,1463580.92045346
2022-03-07,1439838.9263109276
2022-03-08,1399461.181777474
2022-03-09,1384411.1828980413
2022-03-10,1393832.180541512
2022-03-11,1403092.1730933157
2022-03-14,1389391.183560845
2022-03-15,1335639.3394259205
2022-03-16,1360873.3511952152
2022-03-17,1366200.3373173466
2022-03-18,1386674.3352917423
2022-03-21,1395865.3338221302
2022-03-22,1408318.3401135197
2022-03-23,1408317.3254517308
2022-03-24,1397364.3404749623
2022-03-25,1399203.5457923054
2022-03-28,1407743.5358121037
2022-03-29,1395573.542077744
2022-03-30,1400354.5305087208
2022-03-31,1409035.5458094715
2022-04-01,1419377.5262667774
2022-04-06,1441015.5462338566
2022-04-07,1423947.5402905582
2022-04-08,1436214.5339800953
2022-04-11,1435049.5384051441
2022-04-12,1475207.536990845
2022-04-13,1468410.5555846333
2022-04-14,1488011.5242793201
2022-04-15,1459902.7017475201
2022-04-18,1463628.7369608022
2022-04-19,1462186.740100298
2022-04-20,1459225.735676203
2022-04-21,1430554.7378419973
