di,date,code,rank,comp,g1430_ok,budget_eq
150,2021-08-16,002394,1,1.1390989097773259,1,8500.0
150,2021-08-16,600665,2,1.0874847396280978,1,8500.0
150,2021-08-16,600697,3,1.0056631123636075,1,8500.0
150,2021-08-16,000514,4,0.9982040806224846,1,8500.0
150,2021-08-16,600716,5,0.9960900990309871,1,8500.0
150,2021-08-16,000965,6,0.9786008645030917,1,8500.0
150,2021-08-16,600382,7,0.9782807020190053,1,8500.0
150,2021-08-16,600658,8,0.9745733446506285,1,8500.0
150,2021-08-16,600051,9,0.9709923743847458,1,8500.0
150,2021-08-16,600356,10,0.9677038349338282,1,8500.0
150,2021-08-16,002133,11,0.9656719441699455,1,8500.0
150,2021-08-16,002718,12,0.9640425734419075,1,8500.0
150,2021-08-16,600287,13,0.9632422748431729,1,8500.0
150,2021-08-16,600683,14,0.9629923835811334,1,8500.0
150,2021-08-16,600622,15,0.9615066035480017,1,8500.0
150,2021-08-16,000419,16,0.9573740579355944,1,8500.0
150,2021-08-16,601107,17,0.9514554953911616,1,8500.0
150,2021-08-16,000619,18,0.9506351339344478,1,8500.0
150,2021-08-16,603709,19,0.9474733708812415,1,8500.0
150,2021-08-16,000779,20,0.9404021441189792,1,8500.0
170,2021-09-13,600615,1,1.1186763945419338,1,8500.0
170,2021-09-13,600593,2,1.0628578842201197,1,8500.0
170,2021-09-13,600382,3,1.0572167850533363,1,8500.0
170,2021-09-13,603863,4,1.0260505209328226,1,8500.0
170,2021-09-13,002995,5,0.982989514785775,1,8500.0
170,2021-09-13,603385,6,0.980725635313603,1,8500.0
170,2021-09-13,603221,7,0.9531699959447724,1,8500.0
170,2021-09-13,003007,8,0.9513655507421453,1,8500.0
170,2021-09-13,605177,9,0.9495752912914605,1,8500.0
170,2021-09-13,002992,10,0.94925707462557,1,8500.0
170,2021-09-13,603709,11,0.9490386732627883,1,8500.0
170,2021-09-13,603096,12,0.9479556293760645,1,8500.0
170,2021-09-13,603661,13,0.9477357423442144,1,8500.0
