model_index,name,_fam,cfg,scan_sharpe,scan_cagr,rc_sharpe,rc_cagr,rc_mdd,rc_win,rc_turn,rc_nper,_min,rob_median,_max,G2med,ex_gross,ex_net,ir,t_net,ex_win,n_pass,_dmax
5431,L2b::ln_amt20+atr20+amp20::--+,L2b,5/60,1.3058,0.394,1.3058,0.394,-0.0887,0.6364,1.0,22,0.0202,0.5056,1.3058,0.7339,0.072,0.0614,1.2039,2.7553,0.6364,9,0.0
7914,L3_ic::ln_amt20+apvc20+intraday20+pvc20+vr5_20,L3_ic,5/60,1.7002,0.4611,1.7002,0.4611,-0.202,0.7273,0.9818,22,-0.1154,0.4716,1.7002,0.6203,0.0823,0.0719,1.2979,2.9706,0.7727,9,0.0
3630,L2::ln_amt20+intraday20+pvc20+vr20_60+ret20+vr5_20,L2,5/60,1.5401,0.5162,1.5401,0.5162,-0.0934,0.7727,0.9909,22,-0.4102,0.4148,1.5401,0.6661,0.0946,0.0841,1.0629,2.4328,0.7273,9,0.0
9760,L3_ic::ln_amt20+apvc20+pvc20+ret60+ret20+vr5_20,L3_ic,5/60,1.4137,0.4419,1.4137,0.4419,-0.1794,0.7727,0.9909,22,-0.0691,0.4003,1.4137,0.4665,0.0812,0.0707,1.007,2.3048,0.6364,9,0.0
3266,L2::ln_amt20+apvc20+intraday20+vr20_60+ret20+vr5_20,L2,5/60,1.4483,0.4852,1.4483,0.4852,-0.0934,0.7273,0.9909,22,-0.3738,0.3762,1.4483,0.6554,0.0895,0.079,1.025,2.346,0.7727,9,0.0
7121,L3_icir::ln_amt20+pvc20+ret60+vr5_20,L3_icir,5/60,1.3919,0.4187,1.3919,0.4187,-0.1384,0.7727,0.9818,22,-0.13,0.3655,1.3919,0.5868,0.0763,0.0659,1.193,2.7303,0.7727,9,0.0
9539,L3_icir::ln_amt20+apvc20+intraday20+pvc20+ret20+vr5_20,L3_icir,5/60,1.4561,0.4086,1.4561,0.4086,-0.2298,0.7727,0.9818,22,-0.0657,0.3635,1.4561,0.5209,0.0737,0.0633,1.1388,2.6063,0.7273,9,0.0
6506,L3_ic::ln_amt20+intraday20+vr5_20,L3_ic,5/60,1.3774,0.336,1.3774,0.336,-0.0874,0.7273,1.0,22,-0.3933,0.3544,1.3774,0.6634,0.0584,0.0478,1.3543,3.0995,0.7727,9,0.0
8026,L3_ic::ln_amt20+apvc20+pvc20+ret20+vr5_20,L3_ic,5/60,1.4366,0.4057,1.4366,0.4057,-0.2428,0.6818,0.9909,22,-0.2462,0.2679,1.4366,0.6426,0.0733,0.0628,1.0222,2.3395,0.6364,9,0.0
5412,L2b::ln_amt20+vol20+ret20::-+-,L2b,5/60,1.3664,0.4639,1.3664,0.4639,-0.0819,0.7273,0.9818,22,0.0457,0.2095,1.3664,0.6438,0.0862,0.0758,1.3273,3.0377,0.7273,9,0.0
5031,L2b::ln_amt20+atr20::-+,L2b,20/60,1.0674,0.3234,1.0674,0.3234,-0.3343,0.7727,0.8187,22,0.2415,0.7861,1.0674,0.886,0.0582,0.0496,1.038,2.3757,0.6364,8,0.0
8193,L3_icir::ln_amt20+intraday20+pvc20+amp20+vr5_20,L3_icir,10/60,1.1016,0.2698,1.1016,0.2698,-0.1215,0.6818,0.9773,22,0.0228,0.6668,1.1016,0.7411,0.0458,0.0355,0.5937,1.3588,0.6364,8,0.0
5472,L2b::ln_amt20+amp20+vr5_20::-+-,L2b,10/60,1.2796,0.393,1.2796,0.393,-0.3634,0.7727,0.9545,22,0.0927,0.6502,1.2796,0.8697,0.0729,0.0628,1.1827,2.7069,0.7727,8,0.0
