date,open,high,low,close,volume,amount
20230918,1.452600,1.452600,1.452600,1.452600,0,0
20230919,1.448200,1.448200,1.448200,1.448200,0,0
20230920,1.428100,1.428100,1.428100,1.428100,0,0
20230921,1.400000,1.400000,1.400000,1.400000,0,0
20230922,1.403100,1.403100,1.403100,1.403100,0,0
20230925,1.406800,1.406800,1.406800,1.406800,0,0
20230926,1.386800,1.386800,1.386800,1.386800,0,0
20230927,1.392200,1.392200,1.392200,1.392200,0,0
20230928,1.400900,1.400900,1.400900,1.400900,0,0
20231009,1.442000,1.442000,1.442000,1.442000,0,0
20231010,1.448800,1.448800,1.448800,1.448800,0,0
20231011,1.461000,1.461000,1.461000,1.461000,0,0
20231012,1.458300,1.458300,1.458300,1.458300,0,0
20231013,1.437100,1.437100,1.437100,1.437100,0,0
20231016,1.449500,1.449500,1.449500,1.449500,0,0
20231017,1.444200,1.444200,1.444200,1.444200,0,0
20231018,1.422600,1.422600,1.422600,1.422600,0,0
20231019,1.416700,1.416700,1.416700,1.416700,0,0
20231020,1.395400,1.395400,1.395400,1.395400,0,0
20231023,1.402600,1.402600,1.402600,1.402600,0,0
20231024,1.416100,1.416100,1.416100,1.416100,0,0
20231025,1.382400,1.382400,1.382400,1.382400,0,0
20231026,1.359300,1.359300,1.359300,1.359300,0,0
20231027,1.368200,1.368200,1.368200,1.368200,0,0
20231030,1.384200,1.384200,1.384200,1.384200,0,0
20231031,1.391000,1.391000,1.391000,1.391000,0,0
20231101,1.413000,1.413000,1.413000,1.413000,0,0
20231102,1.432300,1.432300,1.432300,1.432300,0,0
20231103,1.448300,1.448300,1.448300,1.448300,0,0
20231106,1.456200,1.456200,1.456200,1.456200,0,0
20231107,1.468000,1.468000,1.468000,1.468000,0,0
20231108,1.473100,1.473100,1.473100,1.473100,0,0
20231109,1.474600,1.474600,1.474600,1.474600,0,0
20231110,1.498800,1.498800,1.498800,1.498800,0,0
20231113,1.502700,1.502700,1.502700,1.502700,0,0
20231114,1.527700,1.527700,1.527700,1.527700,0,0
20231115,1.526700,1.526700,1.526700,1.526700,0,0
20231116,1.530400,1.530400,1.530400,1.530400,0,0
20231117,1.529800,1.529800,1.529800,1.529800,0,0
20231120,1.547800,1.547800,1.547800,1.547800,0,0
20231121,1.538900,1.538900,1.538900,1.538900,0,0
20231122,1.539800,1.539800,1.539800,1.539800,0,0
20231123,1.539200,1.539200,1.539200,1.539200,0,0
20231124,1.535000,1.535000,1.535000,1.535000,0,0
20231127,1.535400,1.535400,1.535400,1.535400,0,0
20231128,1.539800,1.539800,1.539800,1.539800,0,0
20231129,1.539000,1.539000,1.539000,1.539000,0,0
20231130,1.538600,1.538600,1.538600,1.538600,0,0
20231201,1.538800,1.538800,1.538800,1.538800,0,0
20231204,1.516200,1.516200,1.516200,1.516200,0,0
20231205,1.524000,1.524000,1.524000,1.524000,0,0
20231206,1.514400,1.514400,1.514400,1.514400,0,0
20231207,1.534500,1.534500,1.534500,1.534500,0,0
20231208,1.545100,1.545100,1.545100,1.545100,0,0
20231211,1.547500,1.547500,1.547500,1.547500,0,0
20231212,1.564200,1.564200,1.564200,1.564200,0,0
20231213,1.575500,1.575500,1.575500,1.575500,0,0
20231214,1.569000,1.569000,1.569000,1.569000,0,0
20231215,1.578100,1.578100,1.578100,1.578100,0,0
20231218,1.590800,1.590800,1.590800,1.590800,0,0
20231219,1.596800,1.596800,1.596800,1.596800,0,0
20231220,1.576400,1.576400,1.576400,1.576400,0,0
20231221,1.596900,1.596900,1.596900,1.596900,0,0
20231222,1.592100,1.592100,1.592100,1.592100,0,0
20231225,1.592700,1.592700,1.592700,1.592700,0,0
20231226,1.598400,1.598400,1.598400,1.598400,0,0
20231227,1.600500,1.600500,1.600500,1.600500,0,0
20231228,1.600800,1.600800,1.600800,1.600800,0,0
20231229,1.593200,1.593200,1.593200,1.593200,0,0
20231231,1.592900,1.592900,1.592900,1.592900,0,0
20240102,1.559800,1.559800,1.559800,1.559800,0,0
20240103,1.552500,1.552500,1.552500,1.552500,0,0
20240104,1.548600,1.548600,1.548600,1.548600,0,0
20240105,1.552900,1.552900,1.552900,1.552900,0,0
20240108,1.586300,1.586300,1.586300,1.586300,0,0
20240109,1.591500,1.591500,1.591500,1.591500,0,0
20240110,1.607100,1.607100,1.607100,1.607100,0,0
20240111,1.618800,1.618800,1.618800,1.618800,0,0
20240112,1.616400,1.616400,1.616400,1.616400,0,0
20240115,1.616600,1.616600,1.616600,1.616600,0,0
20240116,1.619100,1.619100,1.619100,1.619100,0,0
20240117,1.608600,1.608600,1.608600,1.608600,0,0
20240118,1.630400,1.630400,1.630400,1.630400,0,0
20240119,1.653000,1.653000,1.653000,1.653000,0,0
20240122,1.649000,1.649000,1.649000,1.649000,0,0
20240123,1.653700,1.653700,1.653700,1.653700,0,0
20240124,1.671000,1.671000,1.671000,1.671000,0,0
20240125,1.677000,1.677000,1.677000,1.677000,0,0
20240126,1.669800,1.669800,1.669800,1.669800,0,0
20240129,1.687700,1.687700,1.687700,1.687700,0,0
20240130,1.673300,1.673300,1.673300,1.673300,0,0
20240131,1.638900,1.638900,1.638900,1.638900,0,0
20240201,1.657100,1.657100,1.657100,1.657100,0,0
20240202,1.704200,1.704200,1.704200,1.704200,0,0
20240205,1.707400,1.707400,1.707400,1.707400,0,0
20240206,1.697400,1.697400,1.697400,1.697400,0,0
20240207,1.718700,1.718700,1.718700,1.718700,0,0
20240208,1.729900,1.729900,1.729900,1.729900,0,0
20240219,1.723600,1.723600,1.723600,1.723600,0,0
20240220,1.708100,1.708100,1.708100,1.708100,0,0
20240221,1.691400,1.691400,1.691400,1.691400,0,0
20240222,1.749800,1.749800,1.749800,1.749800,0,0
20240223,1.746200,1.746200,1.746200,1.746200,0,0
20240226,1.747300,1.747300,1.747300,1.747300,0,0
20240227,1.748100,1.748100,1.748100,1.748100,0,0
20240228,1.735600,1.735600,1.735600,1.735600,0,0
20240229,1.751100,1.751100,1.751100,1.751100,0,0
20240301,1.785400,1.785400,1.785400,1.785400,0,0
20240304,1.788700,1.788700,1.788700,1.788700,0,0
20240305,1.757000,1.757000,1.757000,1.757000,0,0
20240306,1.771100,1.771100,1.771100,1.771100,0,0
20240307,1.801700,1.801700,1.801700,1.801700,0,0
20240308,1.770700,1.770700,1.770700,1.770700,0,0
20240311,1.748800,1.748800,1.748800,1.748800,0,0
20240312,1.784700,1.784700,1.784700,1.784700,0,0
20240313,1.770100,1.770100,1.770100,1.770100,0,0
20240314,1.762100,1.762100,1.762100,1.762100,0,0
20240315,1.739500,1.739500,1.739500,1.739500,0,0
20240318,1.754400,1.754400,1.754400,1.754400,0,0
20240319,1.757000,1.757000,1.757000,1.757000,0,0
20240320,1.777600,1.777600,1.777600,1.777600,0,0
20240321,1.801000,1.801000,1.801000,1.801000,0,0
20240322,1.810800,1.810800,1.810800,1.810800,0,0
20240325,1.811500,1.811500,1.811500,1.811500,0,0
20240326,1.802400,1.802400,1.802400,1.802400,0,0
20240327,1.794900,1.794900,1.794900,1.794900,0,0
20240328,1.791300,1.791300,1.791300,1.791300,0,0
20240329,1.790800,1.790800,1.790800,1.790800,0,0
20240331,1.790600,1.790600,1.790600,1.790600,0,0
20240401,1.810800,1.810800,1.810800,1.810800,0,0
20240402,1.796200,1.796200,1.796200,1.796200,0,0
20240403,1.806700,1.806700,1.806700,1.806700,0,0
20240408,1.796600,1.796600,1.796600,1.796600,0,0
20240409,1.799100,1.799100,1.799100,1.799100,0,0
20240410,1.794200,1.794200,1.794200,1.794200,0,0
