sym,name,source
sz159098,价值ETF招商,etf
sh600001,邯郸钢铁,tx
sh600002,齐鲁退市,tx
sh600003,ST东北高,tx
sh600065,*ST联 谊,tx
sh600087,退市长油,tx
sh600092,*ST精 密,tx
sh600102,莱钢股份,tx
sh600181,*ST云 大,tx
sh600205,S山东铝,tx
sh600253,天方药业,tx
sh600263,路桥建设,tx
sh600286,*ST国 瓷,tx
sh600296,S兰铝,tx
sh600357,承德钒钛,tx
sh600472,包头铝业,tx
sh600553,太行水泥,tx
sh600591,*ST上航,tx
sh600607,上实医药,tx
sh600625,PT水  仙,tx
sh600627,上电股份,tx
sh600631,百联股份,tx
sh600632,华联商厦,tx
sh600646,ST国  嘉,tx
sh600659,*ST花 雕,tx
sh600669,*ST鞍 成,tx
sh600670,*ST斯 达,tx
sh600672,*ST华 圣,tx
sh600700,*ST数 码,tx
sh600709,ST生  态,tx
sh600752,*ST哈 慈,tx
sh600762,*ST金 荔,tx
sh600772,*ST龙 昌,tx
sh600786,东锅退市,tx
sh600788,*ST达 曼,tx
sh600799,*ST龙 科,tx
sh600813,ST鞍一工,tx
sh600832,东方明珠,tx
sh600840,新湖创业,tx
sh600842,中西药业,tx
sh600852,*ST中 川,tx
sh600878,*ST北 科,tx
sh600899,*ST信 联,tx
sh600991,广汽长丰,tx
sh601268,*ST二重,tx
sh601299,中国北车,tx
sh900949,东电Ｂ股,tx
sh900950,新城Ｂ股,tx
sz000003,PT金田Ａ,tx
sz000013,*ST石化A,tx
sz000015,PT中浩Ａ,tx
sz000024,招商地产,tx
sz000047,ST 中 侨,tx
sz000405,ST 鑫 光,tx
sz000406,大明退市,tx
sz000412,ST 五 环,tx
sz000508,琼民源Ａ,tx
sz000515,攀渝钛业,tx
sz000522,白云山Ａ,tx
sz000527,美的电器,tx
sz000535,*ST 猴王,tx
sz000542,TCL 通讯,tx
sz000549,S 湘火炬,tx
sz000556,PT 南 洋,tx
sz000562,宏源证券,tx
sz000569,长城股份,tx
sz000578,盐湖集团,tx
sz000583,*ST 托普,tx
sz000588,PT粤金曼,tx
sz000594,国恒退,tx
sz000602,金马退市,tx
sz000618,吉化退市,tx
sz000621,*ST 比特,tx
sz000653,ST 九 州,tx
sz000658,ST 海 洋,tx
sz000660,*ST 南华,tx
sz000675,ST 银 山,tx
sz000689,ST 宏 业,tx
sz000699,*ST 佳纸,tx
sz000730,*ST 环保,tx
sz000763,锦化退市,tx
sz000765,*ST 华信,tx
sz000769,*ST 大菲,tx
sz000787,*ST 创智,tx
sz000805,*ST炎黄,tx
sz000817,辽油退市,tx
sz000827,*ST 长兴,tx
sz000832,*ST 龙涤,tx
sz000866,扬子退市,tx
sz000956,中原退市,tx
sz300186,大华农,tx
