date,ukey,value,factor
2021-01-29,4,,risk_fac_growth_np_yoy
2021-01-29,1,-5.2,risk_fac_growth_np_yoy
2021-01-29,2,14.94,risk_fac_growth_np_yoy
2021-01-29,6,12.97,risk_fac_growth_np_yoy
2021-01-29,9,159.89,risk_fac_growth_np_yoy
2021-01-29,8,-262.86,risk_fac_growth_np_yoy
2021-01-29,7,-388.9015590081,risk_fac_growth_np_yoy
2021-01-29,10,-40.4,risk_fac_growth_np_yoy
2021-01-29,11,7.75,risk_fac_growth_np_yoy
2021-01-29,12,33.53,risk_fac_growth_np_yoy
2021-01-29,16,36.6,risk_fac_growth_np_yoy
2021-01-29,14,223.2,risk_fac_growth_np_yoy
2021-01-29,17,2082.06,risk_fac_growth_np_yoy
2021-01-29,20,43.66,risk_fac_growth_np_yoy
2021-01-29,19,-5.75,risk_fac_growth_np_yoy
2021-01-29,21,62.25,risk_fac_growth_np_yoy
2021-01-29,25,-38.11,risk_fac_growth_np_yoy
2021-01-29,26,20.17,risk_fac_growth_np_yoy
2021-01-29,27,127.42,risk_fac_growth_np_yoy
2021-01-29,28,3.98,risk_fac_growth_np_yoy
2021-01-29,29,-54.76,risk_fac_growth_np_yoy
2021-01-29,30,12.49,risk_fac_growth_np_yoy
2021-01-29,31,-67.65,risk_fac_growth_np_yoy
2021-01-29,32,-8.55,risk_fac_growth_np_yoy
2021-01-29,34,-22.85,risk_fac_growth_np_yoy
2021-01-29,36,-12.56,risk_fac_growth_np_yoy
2021-01-29,35,27.09,risk_fac_growth_np_yoy
2021-01-29,37,1403.26,risk_fac_growth_np_yoy
2021-01-29,39,2123.72,risk_fac_growth_np_yoy
2021-01-29,42,-89.41,risk_fac_growth_np_yoy
2021-01-29,45,50.63,risk_fac_growth_np_yoy
2021-01-29,49,8.68,risk_fac_growth_np_yoy
2021-01-29,48,-44.66,risk_fac_growth_np_yoy
2021-01-29,50,19.04,risk_fac_growth_np_yoy
2021-01-29,55,38.18,risk_fac_growth_np_yoy
2021-01-29,56,-74.89,risk_fac_growth_np_yoy
2021-01-29,60,-1.62,risk_fac_growth_np_yoy
2021-01-29,58,-15.36,risk_fac_growth_np_yoy
2021-01-29,59,-118.14,risk_fac_growth_np_yoy
2021-01-29,61,67.29,risk_fac_growth_np_yoy
2021-01-29,63,-34.3,risk_fac_growth_np_yoy
2021-01-29,62,-5.45,risk_fac_growth_np_yoy
2021-01-29,65,3.74,risk_fac_growth_np_yoy
2021-01-29,66,-171.58,risk_fac_growth_np_yoy
2021-01-29,68,7.33,risk_fac_growth_np_yoy
2021-01-29,70,-116.69,risk_fac_growth_np_yoy
2021-01-29,69,-12.5,risk_fac_growth_np_yoy
2021-01-29,78,-45.19,risk_fac_growth_np_yoy
2021-01-29,88,17.85,risk_fac_growth_np_yoy
2021-01-29,90,451.42,risk_fac_growth_np_yoy
2021-01-29,89,-112.83,risk_fac_growth_np_yoy
2021-01-29,99,-10.75,risk_fac_growth_np_yoy
2021-01-29,151,263.99,risk_fac_growth_np_yoy
2021-01-29,96,14.49,risk_fac_growth_np_yoy
2021-01-29,100,-21.42,risk_fac_growth_np_yoy
2021-01-29,153,-5.98,risk_fac_growth_np_yoy
2021-01-29,155,-15.16,risk_fac_growth_np_yoy
2021-01-29,157,63.41,risk_fac_growth_np_yoy
2021-01-29,156,-7.18,risk_fac_growth_np_yoy
2021-01-29,158,-219.08,risk_fac_growth_np_yoy
2021-01-29,159,671.43,risk_fac_growth_np_yoy
2021-01-29,301,-80.16,risk_fac_growth_np_yoy
2021-01-29,166,37.26,risk_fac_growth_np_yoy
2021-01-29,400,68.07,risk_fac_growth_np_yoy
2021-01-29,333,3.29,risk_fac_growth_np_yoy
2021-01-29,338,0.67,risk_fac_growth_np_yoy
2021-01-29,401,-15.96,risk_fac_growth_np_yoy
2021-01-29,402,-33.87,risk_fac_growth_np_yoy
2021-01-29,403,-18.5,risk_fac_growth_np_yoy
2021-01-29,404,24.59,risk_fac_growth_np_yoy
2021-01-29,407,9.6,risk_fac_growth_np_yoy
2021-01-29,408,-87.19,risk_fac_growth_np_yoy
2021-01-29,410,78.93,risk_fac_growth_np_yoy
2021-01-29,409,112.55,risk_fac_growth_np_yoy
2021-01-29,411,-6.66,risk_fac_growth_np_yoy
2021-01-29,415,-251.34,risk_fac_growth_np_yoy
2021-01-29,417,-21.1477199098,risk_fac_growth_np_yoy
2021-01-29,419,19.84,risk_fac_growth_np_yoy
2021-01-29,420,-357.01,risk_fac_growth_np_yoy
2021-01-29,421,362.96,risk_fac_growth_np_yoy
2021-01-29,422,-102.24,risk_fac_growth_np_yoy
2021-01-29,423,-110.04,risk_fac_growth_np_yoy
2021-01-29,425,-19.4,risk_fac_growth_np_yoy
2021-01-29,426,-17.64,risk_fac_growth_np_yoy
2021-01-29,429,-68.84,risk_fac_growth_np_yoy
2021-01-29,428,-109.07,risk_fac_growth_np_yoy
2021-01-29,430,-250.22,risk_fac_growth_np_yoy
2021-01-29,498,62.34,risk_fac_growth_np_yoy
2021-01-29,501,-75.3,risk_fac_growth_np_yoy
2021-01-29,488,0.82,risk_fac_growth_np_yoy
2021-01-29,503,-10.81,risk_fac_growth_np_yoy
2021-01-29,504,82.6,risk_fac_growth_np_yoy
2021-01-29,506,-347.1,risk_fac_growth_np_yoy
2021-01-29,507,4.29,risk_fac_growth_np_yoy
2021-01-29,505,34.34,risk_fac_growth_np_yoy
2021-01-29,509,-317.29,risk_fac_growth_np_yoy
2021-01-29,510,-28.99,risk_fac_growth_np_yoy
2021-01-29,513,36.71,risk_fac_growth_np_yoy
2021-01-29,514,131.8,risk_fac_growth_np_yoy
2021-01-29,517,12.01,risk_fac_growth_np_yoy
2021-01-29,516,-2357.56,risk_fac_growth_np_yoy
2021-01-29,518,129.49,risk_fac_growth_np_yoy
2021-01-29,519,16.0,risk_fac_growth_np_yoy
2021-01-29,523,-2878.65,risk_fac_growth_np_yoy
2021-01-29,521,-253.01,risk_fac_growth_np_yoy
2021-01-29,520,-63.26,risk_fac_growth_np_yoy
2021-01-29,524,-162.8,risk_fac_growth_np_yoy
2021-01-29,525,-67.1,risk_fac_growth_np_yoy
2021-01-29,529,70.4,risk_fac_growth_np_yoy
2021-01-29,526,-52.46,risk_fac_growth_np_yoy
2021-01-29,528,12.91,risk_fac_growth_np_yoy
2021-01-29,530,-95.84,risk_fac_growth_np_yoy
2021-01-29,533,1207.55,risk_fac_growth_np_yoy
2021-01-29,531,121.78,risk_fac_growth_np_yoy
2021-01-29,532,453.28,risk_fac_growth_np_yoy
2021-01-29,534,-14.45,risk_fac_growth_np_yoy
2021-01-29,536,139.28,risk_fac_growth_np_yoy
2021-01-29,537,-22.35,risk_fac_growth_np_yoy
2021-01-29,538,20.08,risk_fac_growth_np_yoy
2021-01-29,539,17.22,risk_fac_growth_np_yoy
2021-01-29,541,0.89,risk_fac_growth_np_yoy
2021-01-29,543,16.81,risk_fac_growth_np_yoy
2021-01-29,544,73.79,risk_fac_growth_np_yoy
2021-01-29,545,-201.93,risk_fac_growth_np_yoy
2021-01-29,546,1.37,risk_fac_growth_np_yoy
2021-01-29,547,35.79,risk_fac_growth_np_yoy
2021-01-29,548,76.52,risk_fac_growth_np_yoy
2021-01-29,550,127.42,risk_fac_growth_np_yoy
2021-01-29,551,5.22,risk_fac_growth_np_yoy
2021-01-29,552,-0.42,risk_fac_growth_np_yoy
2021-01-29,554,-43.72,risk_fac_growth_np_yoy
2021-01-29,553,-71.68,risk_fac_growth_np_yoy
2021-01-29,555,14.89,risk_fac_growth_np_yoy
2021-01-29,557,1165.2,risk_fac_growth_np_yoy
2021-01-29,558,63.77,risk_fac_growth_np_yoy
2021-01-29,559,-28.86,risk_fac_growth_np_yoy
2021-01-29,560,-61.93,risk_fac_growth_np_yoy
2021-01-29,561,21.2,risk_fac_growth_np_yoy
2021-01-29,563,17.19,risk_fac_growth_np_yoy
2021-01-29,564,-125.77,risk_fac_growth_np_yoy
2021-01-29,565,-36.68,risk_fac_growth_np_yoy
2021-01-29,567,-24.49,risk_fac_growth_np_yoy
2021-01-29,566,-84.36,risk_fac_growth_np_yoy
2021-01-29,568,26.88,risk_fac_growth_np_yoy
2021-01-29,570,94.16,risk_fac_growth_np_yoy
2021-01-29,571,-2.74,risk_fac_growth_np_yoy
2021-01-29,572,-16.384266334,risk_fac_growth_np_yoy
2021-01-29,573,-105.77,risk_fac_growth_np_yoy
2021-01-29,576,772.37,risk_fac_growth_np_yoy
