date,open,high,low,close,volume,amount
2026-08-10,83.5,86.07,83.12,85.3,311419,2645240983
2026-08-07,85.26,85.33,82.97,83.5,400168,3352330000
2026-08-06,85.5,86,84.8,85.32,208696,1780110000
2026-08-05,85,85.6,84.28,85.47,291297,2473360000
2026-08-04,85.99,86.2,84.66,85.14,381121,3241770000
2026-08-03,87.39,87.97,85.65,85.9,336693,2911400000
2026-07-31,87.01,87.79,84.51,87.6,475045,4107740000
2026-07-30,87.01,89.5,86.5,88.95,461498,4071770000
2026-07-29,85.35,87.5,85.1,87.01,478144,4150480000
2026-07-28,84.12,85.92,84.01,85.37,336711,2871540000
2026-07-27,84.03,84.55,83.2,84.13,228192,1919460000
2026-07-24,84.75,85.2,84.11,84.5,237911,2014370000
2026-07-23,84.67,85.18,84.27,84.77,191238,1620700000
2026-07-22,84.04,84.8,83.51,84.8,326917,2751710000
2026-07-21,84.15,85.75,83.61,84.27,459099,3881820000
2026-07-20,81.23,84.5,81.11,84.3,547048,4571950000
2026-07-17,82.31,83.45,81.34,82.71,462795,3817610000
2026-07-16,82.15,83.45,81.8,81.8,362382,2982560000
2026-07-15,81.17,82.76,80.58,82.67,332211,2726360000
2026-07-14,80.43,82,79.91,81.18,457503,3706960000
2026-07-13,78.5,80.67,78.42,80.4,470416,3769460000
2026-07-10,79.14,79.3,77.86,78.99,279619,2201420000
2026-07-09,79,79.59,78,79.33,301215,2381430000
2026-07-08,78.75,79.96,78.33,79.41,315459,2505010000
2026-07-07,79.43,80.35,78.65,79.12,340654,2696340000
2026-07-06,78.6,80.15,78,80,503837,4006480000
2026-07-03,77.5,79.9,77.31,77.96,557803,4376620000
2026-07-02,77.61,79.26,76.98,77.01,561468,4362680000
2026-07-01,76.01,77.6,73.62,77.4,502242,3810030000
2026-06-30,76.52,78.66,75.31,75.53,577509,4402000000
2026-06-29,75.79,77.99,75.14,77.27,743258,5697830000
2026-06-26,73.16,75.22,72.89,74.83,449534,3512510000
2026-06-25,72.92,74.65,72.48,72.78,411490,3173690000
2026-06-24,74.78,74.98,72.28,72.91,384878,2950190000
2026-06-23,74.45,75.9,74.1,74.35,360891,2832540000
2026-06-22,73.61,75.43,73.18,74.56,306710,2398660000
2026-06-18,75.51,75.77,74.08,74.28,363668,2850860000
2026-06-17,75.25,76.13,74.82,75.5,334472,2647890000
2026-06-16,77.25,77.27,74.84,75.24,415239,3291470000
2026-06-15,79.23,79.26,76.78,77.21,432926,3514280000
2026-06-12,80.78,80.94,78.83,79.51,429353,3569550000
2026-06-11,79.94,82.18,79.68,81.63,521437,4432710000
2026-06-10,78.78,81.16,77.75,80.18,386973,3242380000
2026-06-09,78.78,79.27,78.03,78.64,220992,1819540000
2026-06-08,77.67,80.03,77.16,79.13,367031,3034360000
2026-06-05,78.58,79.58,77.88,77.97,209494,1725520000
2026-06-04,78.33,79.76,78.08,78.7,243658,2019050000
2026-06-03,78.58,78.98,77.84,78.89,230326,1895270000
2026-06-02,77.54,79.07,77.5,78.88,263177,2162930000
2026-06-01,76.6,78.28,76.57,77.98,376711,3058760000
2026-05-29,75.2,77.54,74.78,77.13,429729,3461220000
2026-05-28,75.88,76.06,74.89,75.23,241998,1913270000
2026-05-27,75.81,76.56,75.15,76.31,255888,2034010000
2026-05-26,76.08,76.98,75.71,75.83,244953,1954520000
2026-05-25,76.28,76.42,75.07,76.09,231275,1842660000
2026-05-22,77.95,78.28,76.17,76.56,309848,2493880000
2026-05-21,78.43,79.43,77.78,77.78,311813,2562760000
2026-05-20,77,78.44,76.36,77.78,301597,2454300000
2026-05-19,79.11,79.12,76.78,77.28,335818,2725820000
2026-05-18,78.96,79.72,78.36,79.11,377354,3123470000
2026-05-15,77.73,79.58,77.03,78.85,426609,3525960000
2026-05-14,76.67,78.36,76.67,78.09,389267,3174390000
2026-05-13,76.24,77.23,75.91,76.66,328497,2636660000
2026-05-12,76.94,77.45,76.01,76.37,357756,2875770000
2026-05-11,76.42,78.73,75.86,76.95,436444,3540580000
2026-05-08,75.93,77.37,75.6,76.68,282423,2273800000
2026-05-07,76.28,77.26,76.05,76.09,372176,2988470000
2026-05-06,75.98,77.16,75.43,76.72,360419,2885240000
2026-04-30,77.28,78.43,76.89,77.38,354433,2889840000
2026-04-29,76.83,78.22,76.73,77.59,331108,2684110000
2026-04-28,75.73,77.08,75.46,76.73,304729,2450030000
2026-04-27,75.52,76.43,75.29,75.78,258512,2060820000
2026-04-24,75.84,76.48,75.74,75.94,217880,1740580000
2026-04-23,75.57,76.43,75.01,76.13,299432,2388460000
2026-04-22,75.78,75.91,75.15,75.58,202782,1606990000
2026-04-21,76.03,76.36,75.48,75.78,238793,1903230000
2026-04-20,74.68,76.18,74.33,75.86,276700,2201770000
2026-04-17,74.46,75.53,74.12,74.93,277352,2181680000
2026-04-16,74.05,74.72,73.68,74.18,238078,1853910000
2026-04-15,72.83,74.16,72.48,73.77,318451,2461290000
2026-04-14,72.34,72.83,71.78,72.83,195782,1489300000
2026-04-13,72.31,72.75,71.86,72.06,182375,1384780000
2026-04-10,72.8,73.02,72.34,72.69,258373,1971070000
2026-04-09,72.68,73.3,72.18,72.8,235024,1796390000
2026-04-08,73.23,73.53,72.63,73.01,286804,2200100000
2026-04-07,72.63,72.98,71.9,72.4,163826,1246110000
2026-04-03,73.58,73.63,72.48,72.63,172773,1325460000
2026-04-02,73.13,74.12,72.86,73.65,326318,2523390000
2026-04-01,72.78,73.68,72.62,73.12,273616,2100650000
2026-03-31,71.33,73.6,70.59,72.63,694915,5310080000
2026-03-30,69.63,70.28,68.05,68.38,456227,3304800000
2026-03-27,69.18,71.23,69.08,71.06,319125,2367290000
2026-03-26,71.17,71.82,70.46,70.6,177085,1325340000
2026-03-25,70.78,71.25,70.23,71.08,184964,1376470000
2026-03-24,70.01,70.7,69.08,70.51,267147,1968460000
2026-03-23,70.23,70.25,68.63,69.65,462008,3377620000
2026-03-20,72.2,72.43,71.4,71.4,219126,1657480000
2026-03-19,72.71,73.26,72.21,72.28,232729,1777660000
2026-03-18,73.02,73.58,72.58,73.34,200716,1544840000
