date,value
2016-01-04,100.0
2016-01-05,100.0
2016-01-06,100.0
2016-01-07,100.0
2016-01-08,100.0
2016-01-11,100.0
2016-01-12,100.0
2016-01-13,100.0
2016-01-14,100.0
2016-01-15,100.0
2016-01-18,100.0
2016-01-19,100.0
2016-01-20,100.0
2016-01-21,100.0
2016-01-22,100.0
2016-01-25,100.0
2016-01-26,100.0
2016-01-27,100.0
2016-01-28,100.0
2016-01-29,100.0
2016-02-01,99.9606
2016-02-02,100.2
2016-02-03,100.3078
2016-02-04,100.6308
2016-02-05,100.0927
2016-02-15,100.3476
2016-02-16,102.697
2016-02-17,104.0205
2016-02-18,103.7843
2016-02-19,104.3055
2016-02-22,106.5242
2016-02-23,106.0104
2016-02-24,106.3475
2016-02-25,97.7176
2016-02-26,97.7827
2016-02-29,92.3262
2016-03-01,94.1771
2016-03-02,98.3008
2016-03-03,98.5088
2016-03-04,95.9294
2016-03-07,97.9621
2016-03-08,98.4399
2016-03-09,96.3488
2016-03-10,94.9463
2016-03-11,94.8634
2016-03-14,97.5737
2016-03-15,96.9927
2016-03-16,96.3229
2016-03-17,98.8854
2016-03-18,101.9039
2016-03-21,104.4277
2016-03-22,104.1257
2016-03-23,105.2467
2016-03-24,103.6442
2016-03-25,104.4643
2016-03-28,103.8135
2016-03-29,101.7214
2016-03-30,105.6008
2016-03-31,106.0541
2016-04-01,105.6733
2016-04-05,108.5216
2016-04-06,109.147
2016-04-07,107.4161
2016-04-08,106.6254
2016-04-11,108.9726
2016-04-12,108.154
2016-04-13,109.6285
2016-04-14,110.9239
2016-04-15,110.8056
2016-04-18,109.2194
2016-04-19,109.6507
2016-04-20,104.8305
2016-04-21,103.9544
2016-04-22,104.3976
2016-04-25,104.2169
2016-04-26,105.0348
2016-04-27,104.822
2016-04-28,104.6316
2016-04-29,104.5948
2016-05-03,106.4935
2016-05-04,106.5785
2016-05-05,107.0843
2016-05-06,103.9416
2016-05-09,100.9848
2016-05-10,100.7797
2016-05-11,100.4199
2016-05-12,100.222
2016-05-13,100.0753
2016-05-16,101.1684
2016-05-17,101.0233
2016-05-18,99.2565
2016-05-19,99.5825
2016-05-20,100.2079
2016-05-23,101.1392
2016-05-24,100.5158
2016-05-25,100.3271
2016-05-26,100.7382
2016-05-27,100.7062
2016-05-30,100.4338
2016-05-31,103.3781
2016-06-01,104.0235
2016-06-02,105.0973
2016-06-03,105.4154
2016-06-06,105.652
2016-06-07,106.0408
2016-06-08,105.6194
2016-06-13,100.4814
2016-06-14,100.8625
2016-06-15,103.8987
2016-06-16,103.8544
2016-06-17,104.5755
2016-06-20,104.9595
2016-06-21,103.9587
2016-06-22,105.5184
2016-06-23,105.115
2016-06-24,104.3265
2016-06-27,106.5687
2016-06-28,107.5523
2016-06-29,107.8518
2016-06-30,107.5191
2016-07-01,107.4198
2016-07-04,109.3449
2016-07-05,110.0103
2016-07-06,110.6928
2016-07-07,110.7933
2016-07-08,110.468
2016-07-11,109.8061
2016-07-12,110.9615
2016-07-13,111.6568
2016-07-14,111.9185
2016-07-15,111.6502
2016-07-18,110.9835
2016-07-19,111.3708
2016-07-20,111.4148
2016-07-21,111.5794
2016-07-22,110.4863
2016-07-25,110.5881
2016-07-26,111.7807
2016-07-27,107.5773
2016-07-28,107.5349
2016-07-29,107.0934
2016-08-01,105.8513
2016-08-02,106.4458
2016-08-03,106.8602
2016-08-04,107.2267
2016-08-05,106.969
2016-08-08,107.6987
2016-08-09,108.3567
2016-08-10,108.1635
2016-08-11,107.1326
2016-08-12,108.0093
2016-08-15,109.7249
2016-08-16,110.2562
2016-08-17,110.6389
2016-08-18,110.599
2016-08-19,110.7953
2016-08-22,109.4814
2016-08-23,109.7605
2016-08-24,109.9761
2016-08-25,109.4533
2016-08-26,109.7337
2016-08-29,109.9896
2016-08-30,109.9514
2016-08-31,110.0724
2016-09-01,109.4251
2016-09-02,109.1599
2016-09-05,109.606
2016-09-06,110.8104
2016-09-07,110.7743
2016-09-08,111.2131
2016-09-09,110.5843
2016-09-12,107.9648
2016-09-13,108.5546
2016-09-14,108.0812
2016-09-19,109.0101
2016-09-20,109.0933
2016-09-21,109.2037
2016-09-22,109.7323
2016-09-23,109.5711
2016-09-26,107.7684
2016-09-27,108.3485
2016-09-28,108.2351
2016-09-29,108.4843
2016-09-30,108.8864
2016-10-10,110.3166
2016-10-11,110.8175
2016-10-12,110.9777
2016-10-13,111.2355
2016-10-14,111.1365
2016-10-17,110.2561
2016-10-18,111.7135
2016-10-19,111.79
2016-10-20,111.9205
2016-10-21,111.5742
2016-10-24,112.5188
2016-10-25,112.8496
2016-10-26,112.4734
2016-10-27,112.3298
2016-10-28,111.3199
2016-10-31,111.3278
2016-11-01,112.5766
2016-11-02,112.17
2016-11-03,112.9027
2016-11-04,112.8152
2016-11-07,112.9671
2016-11-08,113.5349
2016-11-09,113.1237
2016-11-10,114.5818
2016-11-11,115.0912
2016-11-14,115.4062
2016-11-15,115.6888
2016-11-16,115.5741
2016-11-17,115.2973
2016-11-18,115.0542
2016-11-21,115.6089
2016-11-22,116.5371
2016-11-23,115.8695
2016-11-24,115.3007
2016-11-25,115.5675
2016-11-28,115.4868
2016-11-29,114.3494
2016-11-30,114.0452
2016-12-01,114.5622
2016-12-02,112.9476
2016-12-05,112.4263
2016-12-06,112.6062
2016-12-07,113.5484
2016-12-08,113.1017
2016-12-09,112.8632
2016-12-12,109.3011
2016-12-13,109.6913
2016-12-14,109.4637
2016-12-15,110.0487
2016-12-16,110.4603
2016-12-19,110.5328
2016-12-20,110.422
2016-12-21,111.065
2016-12-22,111.027
2016-12-23,110.0484
2016-12-26,110.3268
2016-12-27,110.532
2016-12-28,110.2803
2016-12-29,109.9725
2016-12-30,110.1167
2017-01-03,110.7918
2017-01-04,111.6269
2017-01-05,111.5945
