date,value
2016-01-04,100.0
2016-01-05,100.0
2016-01-06,100.0
2016-01-07,100.0
2016-01-08,100.0
2016-01-11,100.0
2016-01-12,100.0
2016-01-13,100.0
2016-01-14,100.0
2016-01-15,100.0
2016-01-18,100.0
2016-01-19,100.0
2016-01-20,100.0
2016-01-21,100.0
2016-01-22,100.0
2016-01-25,100.0
2016-01-26,100.0
2016-01-27,100.0
2016-01-28,100.0
2016-01-29,100.0
2016-02-01,99.9606
2016-02-02,100.177
2016-02-03,100.2679
2016-02-04,100.5501
2016-02-05,100.0953
2016-02-15,100.2784
2016-02-16,101.8406
2016-02-17,102.7349
2016-02-18,102.4924
2016-02-19,102.9251
2016-02-22,104.6212
2016-02-23,104.1996
2016-02-24,104.4531
2016-02-25,97.1226
2016-02-26,97.1994
2016-02-29,92.3407
2016-03-01,94.0946
2016-03-02,97.9916
2016-03-03,98.1984
2016-03-04,95.6907
2016-03-07,97.685
2016-03-08,98.3304
2016-03-09,96.102
2016-03-10,94.7102
2016-03-11,94.6392
2016-03-14,97.4763
2016-03-15,97.0152
2016-03-16,96.1588
2016-03-17,98.8292
2016-03-18,101.8463
2016-03-21,104.3144
2016-03-22,104.0056
2016-03-23,105.0779
2016-03-24,103.5084
2016-03-25,104.3294
2016-03-28,103.6746
2016-03-29,101.6495
2016-03-30,105.5628
2016-03-31,106.0092
2016-04-01,105.6851
2016-04-05,108.3726
2016-04-06,109.1464
2016-04-07,107.3594
2016-04-08,106.5419
2016-04-11,108.9575
2016-04-12,107.9991
2016-04-13,109.6454
2016-04-14,110.8428
2016-04-15,110.9074
2016-04-18,109.1403
2016-04-19,109.5911
2016-04-20,104.4093
2016-04-21,103.3175
2016-04-22,104.2
2016-04-25,103.9125
2016-04-26,105.0212
2016-04-27,104.7546
2016-04-28,104.5698
2016-04-29,104.5722
2016-05-03,107.1255
2016-05-04,107.2528
2016-05-05,107.9622
2016-05-06,104.0521
2016-05-09,100.3656
2016-05-10,100.1294
2016-05-11,99.7349
2016-05-12,99.6272
2016-05-13,99.3576
2016-05-16,100.626
2016-05-17,100.5799
2016-05-18,98.592
2016-05-19,98.9365
2016-05-20,99.5657
2016-05-23,100.5824
2016-05-24,99.8525
2016-05-25,99.6603
2016-05-26,100.1586
2016-05-27,100.0149
2016-05-30,99.754
2016-05-31,102.5621
2016-06-01,103.1798
2016-06-02,104.0793
2016-06-03,104.4416
2016-06-06,104.5851
2016-06-07,104.952
2016-06-08,104.6769
2016-06-13,100.0527
2016-06-14,100.4879
2016-06-15,103.5192
2016-06-16,103.4112
2016-06-17,104.2191
2016-06-20,104.6591
2016-06-21,103.6157
2016-06-22,105.2347
2016-06-23,104.6796
2016-06-24,103.8602
2016-06-27,106.2748
2016-06-28,107.1342
2016-06-29,107.566
2016-06-30,107.1593
2016-07-01,107.1592
2016-07-04,109.0974
2016-07-05,109.5991
2016-07-06,110.3975
2016-07-07,110.5103
2016-07-08,110.0961
2016-07-11,109.4318
2016-07-12,110.5691
2016-07-13,111.2691
2016-07-14,111.611
2016-07-15,111.2661
2016-07-18,110.5721
2016-07-19,110.978
2016-07-20,111.0581
2016-07-21,111.2956
2016-07-22,110.0242
2016-07-25,110.2328
2016-07-26,111.5449
2016-07-27,106.7364
2016-07-28,106.6874
2016-07-29,106.1369
2016-08-01,104.6112
2016-08-02,105.3912
2016-08-03,105.9066
2016-08-04,106.3643
2016-08-05,106.0451
2016-08-08,107.0046
2016-08-09,107.829
2016-08-10,107.72
2016-08-11,106.3921
2016-08-12,107.3929
2016-08-15,109.3534
2016-08-16,110.0285
2016-08-17,110.4137
2016-08-18,110.3153
2016-08-19,110.6248
2016-08-22,109.3692
2016-08-23,109.5199
2016-08-24,109.8178
2016-08-25,109.2094
2016-08-26,109.494
2016-08-29,109.752
2016-08-30,109.6907
2016-08-31,109.828
2016-09-01,109.1415
2016-09-02,108.842
2016-09-05,109.4472
2016-09-06,110.71
2016-09-07,110.686
2016-09-08,111.1348
2016-09-09,110.4516
2016-09-12,107.7063
2016-09-13,108.2872
2016-09-14,107.9058
2016-09-19,108.9058
2016-09-20,109.1014
2016-09-21,109.1606
2016-09-22,109.7918
2016-09-23,109.7077
2016-09-26,107.5955
2016-09-27,108.206
2016-09-28,108.0757
2016-09-29,108.3447
2016-09-30,108.8966
2016-10-10,110.5066
2016-10-11,110.9431
2016-10-12,111.0743
2016-10-13,111.4315
2016-10-14,111.2501
2016-10-17,110.3961
2016-10-18,111.878
2016-10-19,111.941
2016-10-20,112.0266
2016-10-21,111.6095
2016-10-24,112.6375
2016-10-25,112.8825
2016-10-26,112.4957
2016-10-27,112.3535
2016-10-28,111.392
2016-10-31,111.3014
2016-11-01,112.6437
2016-11-02,112.2249
2016-11-03,113.0404
2016-11-04,112.8781
2016-11-07,113.0271
2016-11-08,113.6984
2016-11-09,113.1508
2016-11-10,114.7738
2016-11-11,115.3407
2016-11-14,115.6767
2016-11-15,116.1031
2016-11-16,115.9542
2016-11-17,115.653
2016-11-18,115.4087
2016-11-21,115.966
2016-11-22,117.0391
2016-11-23,116.3401
2016-11-24,115.6691
2016-11-25,115.9383
2016-11-28,115.9587
2016-11-29,114.633
2016-11-30,114.2908
2016-12-01,114.9008
2016-12-02,113.1051
2016-12-05,112.465
2016-12-06,112.8263
2016-12-07,113.917
2016-12-08,113.3343
2016-12-09,113.0624
2016-12-12,108.5158
2016-12-13,108.8678
2016-12-14,108.6061
2016-12-15,109.2719
2016-12-16,109.7562
2016-12-19,109.8443
2016-12-20,109.7183
2016-12-21,110.561
2016-12-22,110.522
2016-12-23,109.4692
2016-12-26,109.7432
2016-12-27,109.8373
2016-12-28,109.663
2016-12-29,109.3288
2016-12-30,109.5036
2017-01-03,110.2036
2017-01-04,111.0724
2017-01-05,111.0373
2017-01-06,110.5614
