基金代码,基金简称,基金类型
000001,华夏成长混合,混合型-灵活
000002,华夏成长混合(后端),混合型-灵活
000003,中海可转债债券A,债券型-混合二级
000004,中海可转债债券C,债券型-混合二级
000005,嘉实增强信用定期债券,债券型-混合一级
000006,西部利得量化成长混合A,混合型-偏股
000008,嘉实中证500ETF联接A,指数型-股票
000011,华夏大盘精选混合A,混合型-灵活
000012,华夏大盘精选混合A(后端),混合型-灵活
000014,华夏聚利债券A,债券型-混合一级
000017,财通可持续混合A,混合型-偏股
000020,景顺长城品质投资混合A,混合型-偏股
000021,华夏优势增长混合,混合型-偏股
000024,大摩双利增强债券A,债券型-混合一级
000025,大摩双利增强债券C,债券型-混合一级
000028,华富安鑫债券A,债券型-混合二级
000029,富国宏观策略灵活配置混合A,混合型-灵活
000030,长城核心优选混合A,混合型-灵活
000031,华夏复兴混合A,混合型-偏股
000039,农银高增长混合,混合型-偏股
000041,华夏全球股票(QDII)(人民币),QDII-普通股票
000042,财通中证ESG100指数增强A,指数型-股票
000043,嘉实美国成长股票人民币,QDII-普通股票
000044,嘉实美国成长股票美元现汇,QDII-普通股票
000045,工银产业债债券A,债券型-混合二级
000046,工银产业债债券B,债券型-混合二级
000047,华夏双债债券A,债券型-混合一级
000048,华夏双债债券C,债券型-混合一级
000051,华夏沪深300ETF联接A,指数型-股票
000054,鹏华双债增利债券A,债券型-混合二级
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票
000056,建信消费升级混合,混合型-灵活
000057,中银消费主题混合A,混合型-偏股
000058,国联安安泰灵活配置混合A,混合型-灵活
000059,国联安中证医药100A,指数型-股票
000061,华夏盛世混合,混合型-偏股
000063,长盛电子信息主题混合A,混合型-灵活
000065,国富焦点驱动混合A,混合型-灵活
000066,诺安鸿鑫混合A,混合型-偏股
000067,民生加银转债优选A,债券型-混合二级
000068,民生加银转债优选C,债券型-混合二级
000069,国投瑞银中高等级债券A,债券型-混合一级
000070,国投瑞银中高等级债券C,债券型-混合一级
000071,华夏恒生ETF联接A,指数型-海外股票
000072,华安稳健回报混合A,混合型-灵活
000073,摩根成长动力混合A,混合型-灵活
