cfg,n,wr,mean,med,excess,pf,avg_hold,ann,max_dd,sharpe,nav_end,bench_ret,excess_ann,years
G2_低开-7~-3.5%_M3低位+空间_X1_tp8t2,55,52.7,0.42,0.99,0.53,1.07,1.1,3.34,24.05,0.4,1.012,-9.73,13.07,0.36
G2_低开-7~-3.5%_M8一进二量能_X1_tp8t2,68,51.5,0.42,0.49,0.57,1.13,1.1,-5.42,27.78,0.26,0.976,-9.73,4.31,0.43
G2_低开-7~-3.5%_M9低位+空间+封板_X1_tp8t2,55,52.7,0.42,0.99,0.53,1.07,1.1,3.34,24.05,0.4,1.012,-9.73,13.07,0.36
G3_低开-3.5~-2%_M3低位+空间_X1_tp8t2,119,51.3,0.79,0.37,0.63,1.34,1.1,57.89,44.68,1.03,1.291,-7.4,65.3,0.56
G3_低开-3.5~-2%_M3低位+空间_X3_tp5sl7,119,60.5,0.21,3.8,-0.09,0.72,2.0,-0.41,41.17,0.36,0.997,-10.09,9.68,0.77
G3_低开-3.5~-2%_M9低位+空间+封板_X1_tp8t2,119,51.3,0.79,0.37,0.63,1.34,1.1,57.89,44.68,1.03,1.291,-7.4,65.3,0.56
G3_低开-3.5~-2%_M9低位+空间+封板_X3_tp5sl7,119,60.5,0.21,3.8,-0.09,0.72,2.0,-0.41,41.17,0.36,0.997,-10.09,9.68,0.77
G6_中高开5~7%_M6低位+换手+空间_X1_tp8t2,36,55.6,1.89,1.96,1.46,1.45,1.2,658.46,14.78,3.1,1.7,-10.56,669.03,0.26
G6_中高开5~7%_M7全因子_X1_tp8t2,36,55.6,1.89,1.96,1.46,1.45,1.2,658.46,14.78,3.1,1.7,-10.56,669.03,0.26
G6_中高开5~7%_M7全因子_X5_t1,36,50.0,1.04,0.26,0.6,1.42,1.2,141.0,25.78,1.54,1.259,-10.56,151.56,0.26
