date,open,high,low,close,volume,amount
2026-08-10,57.77,63.96,54.33,61.7,2152326,12572540000
2026-08-07,57.18,61.79,55.52,58.29,2042832,11861070000
2026-08-06,56.01,59.13,54.8,58.28,2145862,12228600000
2026-08-05,52.5,59.76,52.5,57.8,2211488,12758600000
2026-08-04,50.02,55.69,48.08,54.33,2003215,10422950000
2026-08-03,48,53.18,47.01,51.96,1810211,9207770000
2026-07-31,55.55,55.55,48.39,49.35,2557416,13582040000
2026-07-30,48.67,52.26,46.38,50.5,2673623,13157270000
2026-07-29,43.76,47.51,43.67,47.51,1726328,8086970000
2026-07-28,43.11,45.5,42.4,43.19,1617481,7134760000
2026-07-27,40.94,44.24,40.01,44.24,1282927,5540610000
2026-07-24,42.52,43.34,40.16,40.22,1013166,4200680000
2026-07-23,44,45.43,42.48,43.21,1417766,6250200000
2026-07-22,43.55,45.6,40.88,41.3,1347376,5818860000
2026-07-21,41,44.89,37.69,44.32,1752682,7220560000
2026-07-20,46.53,47.3,41.88,41.88,821560,3563270000
2026-07-17,51,52.3,46.53,46.53,894493,4281100000
2026-07-16,52.91,56.05,50.67,51.7,931637,4954010000
2026-07-15,59.41,59.5,53.47,54.5,1091114,6116250000
2026-07-14,52.12,59.41,50.23,59.41,1330266,7331330000
2026-07-13,56,57.5,54.01,54.01,222910,1219820000
2026-07-10,64.7,66.28,60,60.01,1044727,6618040000
2026-07-09,61.79,64.9,59.06,64.45,938222,5843000000
2026-07-08,61.77,62.98,57.4,60.6,745417,4536730000
2026-07-07,57.69,62.9,55.91,61.16,819714,4937300000
2026-07-06,64.89,65.68,58.2,58.4,815528,5014310000
2026-07-03,65.4,68.58,61.17,63.13,906756,5832360000
2026-07-02,69.72,71.07,66.86,66.86,862331,5891080000
2026-07-01,74.88,76.7,69.4,74.3,1152951,8482520000
2026-06-30,72.14,72.14,72.14,72.14,447226,3230760000
2026-06-29,78.43,83.9,76.98,80.17,1465205,11781350000
2026-06-26,77.4,80.43,77.24,78.4,1419857,11187000000
2026-06-25,73,79.52,70.9,79.52,1450513,11175160000
2026-06-24,69.41,73.4,68.9,72.28,1306556,9351230000
2026-06-23,71.31,71.78,66.56,70.11,1272864,8860350000
2026-06-22,74.51,75.65,70.23,72.88,1566962,11363640000
2026-06-18,71.4,76,71.12,74.5,1363387,10078880000
2026-06-17,69.88,73.99,68.78,73.96,1645583,11924160000
2026-06-16,68.14,71.43,67.9,70.51,1795432,12685110000
2026-06-15,61.4,64.93,60.6,64.93,1438221,9129480000
2026-06-12,66.4,66.4,57.77,59.02,2169142,13112800000
2026-06-11,59.91,65.69,59.4,64.2,1831329,11694230000
2026-06-10,62.81,63.89,58.51,59.71,1726186,10495040000
2026-06-09,55.7,60.98,53.76,60.98,1589081,9320760000
2026-06-08,58.66,59.9,54.45,55.43,1699828,9627600000
2026-06-05,59.9,62.07,57.86,59.55,1692663,10195380000
2026-06-04,58.7,64.49,58.7,63.4,1678703,10425520000
2026-06-03,58.99,61.57,56.7,60.44,2024524,12094500000
2026-06-02,53.38,60.46,52.4,59.81,1899666,11121450000
2026-06-01,48.88,58.16,48.88,54.95,2583336,14108170000
2026-05-29,51.72,53.4,49.45,52.93,2295434,11886230000
2026-05-28,44.5,48.54,44.4,48.54,1530833,7325590000
2026-05-27,41.9,44.89,41.62,44.12,2091079,9120990000
2026-05-26,42.02,43.4,40.08,41.6,2645573,11065090000
2026-05-25,41.28,41.28,41.28,41.28,87204,360850000
2026-05-22,36.79,37.52,36.11,37.52,313717,1172660000
2026-05-21,34.77,36.09,33.91,34.1,1336047,4684290000
2026-05-20,33.4,34.85,32.9,33.9,1735898,5920440000
2026-05-19,29.5,32.27,28.93,32.27,719350,2260920000
2026-05-18,26.67,29.6,26.67,29.33,1202018,3506980000
2026-05-15,28.2,28.6,26.6,26.9,708015,1940000000
2026-05-14,29.86,30.1,28.09,28.11,747808,2154810000
2026-05-13,28.78,29.67,28.5,29.47,877356,2572940000
2026-05-12,28.87,29.75,27.93,29.35,1385176,4027200000
2026-05-11,26.28,28.36,26.1,28.36,724314,2034180000
2026-05-08,24.7,26.08,24.42,25.77,905668,2312390000
2026-05-07,24.8,25.4,24.66,25.05,653214,1644950000
2026-05-06,25.4,25.48,24.61,24.71,863291,2156140000
2026-04-30,25.41,25.48,24.44,24.99,928123,2314900000
2026-04-29,23.74,25.78,23.48,25.18,1146356,2870430000
2026-04-28,22.98,24.89,22.77,24.34,1189713,2872360000
2026-04-27,23.32,23.89,22.81,23.19,848896,1984400000
2026-04-24,21.91,23.07,21.91,22.63,921418,2090930000
2026-04-23,22.4,22.48,21.58,22.06,539410,1192300000
2026-04-22,21.9,22.49,21.79,22.38,486663,1090010000
2026-04-21,21.56,22.37,21.31,22.09,532958,1171350000
2026-04-20,21.91,22.7,21.77,22.07,636727,1424200000
2026-04-17,21.9,22.19,21.73,21.89,565344,1244650000
2026-04-16,20.96,22.3,20.94,22.12,922541,2023940000
2026-04-15,21.31,21.7,20.8,20.94,754321,1612860000
2026-04-14,20.88,21.04,20.35,20.74,608592,1264470000
2026-04-13,19.71,20.58,19.68,20.39,552117,1124900000
2026-04-10,19.86,20.23,19.85,19.86,558067,1122210000
2026-04-09,19.55,19.93,19.4,19.63,450046,892210000
2026-04-08,19.09,20.31,19.09,19.73,1023888,2028900000
