date,open,high,low,close,volume,amount
2026-08-10,27.68,28.21,27.57,28.05,1187473,3321846354.9999995
2026-08-07,27.76,27.84,27.51,27.75,1034383,2860790000
2026-08-06,27.77,27.83,27.57,27.75,1070927,2963190000
2026-08-05,28.28,28.3,27.65,27.76,1620118,4502980000
2026-08-04,28.89,29.02,28.18,28.3,1508985,4287880000
2026-08-03,28.99,29.2,28.75,29.05,1018010,2949050000
2026-07-31,28.99,29.09,28.47,29.09,1723395,4958590000
2026-07-30,28.85,29.53,28.81,29.49,1930634,5667030000
2026-07-29,29.5,29.57,28.7,28.93,1314441,3804790000
2026-07-28,28.45,29.07,28.31,29.07,1613028,4643670000
2026-07-27,29.15,29.15,28.3,28.35,1387193,3951800000
2026-07-24,29.2,29.3,28.75,28.9,1021758,2952610000
2026-07-23,29.09,29.17,28.66,28.94,1081553,3122730000
2026-07-22,28.53,29.09,28.34,29.09,1682826,4833400000
2026-07-21,29,29.54,28.51,28.73,2550056,7372430000
2026-07-20,27.75,28.98,27.75,28.98,2292669,6567610000
2026-07-17,27.61,28.19,27.35,27.99,2428601,6802220000
2026-07-16,27.86,27.97,27.34,27.45,1461135,4139610000
2026-07-15,27.61,27.98,27.46,27.89,1193609,3415570000
2026-07-14,27.61,27.94,27.42,27.76,1592410,4530410000
2026-07-13,27.14,27.69,27.01,27.63,2008092,5671280000
2026-07-10,26.96,27.33,26.81,27.24,1470743,4103250000
2026-07-09,26.91,27.06,26.74,26.98,1160399,3214020000
2026-07-08,26.59,27.36,26.46,27.04,1648440,4582940000
2026-07-07,26.4,26.67,26.26,26.62,1268220,3460600000
2026-07-06,26.12,26.41,25.99,26.4,924577,2502080000
2026-07-03,26.17,26.44,26.02,26.26,1028243,2779270000
2026-07-02,26,26.3,25.76,26.16,1400553,3761290000
2026-07-01,25.65,25.93,25.57,25.85,909398,2417440000
2026-06-30,25.92,26.05,25.59,25.68,1022777,2712030000
2026-06-29,25.76,26.11,25.47,26.05,1232579,3286300000
2026-06-26,25.46,25.93,25.36,25.86,1282652,3395740000
2026-06-25,25.71,25.79,25.41,25.43,1321876,3482770000
2026-06-24,26.08,26.21,25.77,25.81,1134561,3026880000
2026-06-23,26.14,26.46,26.07,26.08,1185655,3206810000
2026-06-22,25.87,26.3,25.72,26.15,1497329,4009560000
2026-06-18,26.14,26.19,25.86,25.87,1295945,3466900000
2026-06-17,26.43,26.48,26.12,26.21,1034442,2794890000
2026-06-16,26.62,26.66,26.35,26.4,1205993,3287060000
2026-06-15,27.45,27.45,26.6,26.78,2076612,5743670000
2026-06-12,26.98,27.5,26.88,27.49,1494245,4191920000
2026-06-11,26.9,27.16,26.81,27.1,991250,2759360000
2026-06-10,26.81,27.03,26.64,26.9,887500,2457850000
2026-06-09,26.72,26.91,26.6,26.84,882536,2433420000
2026-06-08,26.71,26.82,26.47,26.72,1180655,3238080000
2026-06-05,26.93,27.31,26.72,26.82,1094136,3042120000
2026-06-04,27.04,27.17,26.82,26.93,874972,2430920000
2026-06-03,27.06,27.19,26.72,27.1,1143006,3168760000
2026-06-02,27.03,27.36,26.83,27.17,1257574,3513870000
