date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,1002725.25
2016-02-24,1008038.83
2016-02-25,1017921.35
2016-02-26,1017373.44
2016-02-29,1011645.49
2016-03-01,1021038.84
2016-03-02,1013157.5
2016-03-03,1018525.44
2016-03-04,1027598.92
2016-03-07,1027353.89
2016-03-08,1030972.88
2016-03-09,1022130.69
2016-03-10,1016661.37
2016-03-11,1025331.32
2016-03-14,1019326.02
2016-03-15,1006757.19
2016-03-16,1012838.69
2016-03-17,1020794.69
2016-03-18,1022605.04
2016-03-21,1015719.71
2016-03-22,1003829.84
2016-03-23,1008935.76
2016-03-24,995279.45
2016-03-25,999224.23
2016-03-28,993065.05
2016-03-29,988994.3
2016-03-30,1004335.25
2016-03-31,1004364.59
2016-04-01,1005262.99
2016-04-05,1009093.52
2016-04-06,1007911.17
2016-04-07,998237.96
2016-04-08,993175.13
2016-04-11,1004234.02
2016-04-12,1000305.42
2016-04-13,1009454.7
2016-04-14,1012293.42
2016-04-15,1010954.65
2016-04-18,1001963.72
2016-04-19,1002901.06
2016-04-20,995730.72
2016-04-21,1012575.79
2016-04-22,1009768.28
2016-04-25,1009768.28
2016-04-26,1004153.26
2016-04-27,1003217.42
2016-04-28,1006024.93
2016-04-29,991051.54
2016-05-03,981693.17
2016-05-04,970463.13
2016-05-05,965116.63
2016-05-06,965487.01
2016-05-09,963952.34
2016-05-10,959261.25
2016-05-11,962878.27
2016-05-12,960270.41
2016-05-13,965561.04
2016-05-16,969600.41
2016-05-17,966125.98
2016-05-18,965905.09
2016-05-19,958895.05
2016-05-20,958895.05
2016-05-23,958895.05
2016-05-24,958895.05
2016-05-25,958895.05
2016-05-26,958895.05
2016-05-27,958895.05
2016-05-30,958895.05
2016-05-31,958895.05
2016-06-01,958895.05
2016-06-02,958712.26
2016-06-03,958854.4
2016-06-06,958968.11
2016-06-07,959091.3
2016-06-08,959489.29
2016-06-13,959489.29
2016-06-14,959527.19
2016-06-15,959536.67
2016-06-16,959584.05
2016-06-17,959820.95
2016-06-20,959129.53
2016-06-21,959129.53
2016-06-22,959129.53
2016-06-23,959129.53
2016-06-24,959129.53
2016-06-27,959129.53
2016-06-28,959129.53
2016-06-29,959129.53
2016-06-30,959129.53
2016-07-01,959129.53
2016-07-04,961557.1
2016-07-05,957468.24
2016-07-06,972974.76
2016-07-07,971637.98
2016-07-08,965265.76
2016-07-11,969550.04
2016-07-12,967832.04
2016-07-13,963057.94
2016-07-14,959374.14
2016-07-15,959601.84
2016-07-18,957594.26
2016-07-19,953829.98
2016-07-20,957871.23
2016-07-21,956685.0
2016-07-22,953619.64
2016-07-25,953042.83
2016-07-26,964345.28
2016-07-27,942401.89
2016-07-28,939731.56
2016-07-29,937694.47
2016-08-01,934426.4
2016-08-02,934426.4
2016-08-03,934426.4
2016-08-04,934426.4
2016-08-05,934426.4
2016-08-08,934426.4
2016-08-09,934426.4
2016-08-10,934426.4
2016-08-11,934426.4
2016-08-12,934426.4
2016-08-15,952171.0
2016-08-16,947788.44
2016-08-17,946787.01
2016-08-18,944493.66
2016-08-19,946156.4
2016-08-22,941064.91
2016-08-23,941646.57
2016-08-24,937251.91
2016-08-25,935626.0
2016-08-26,935774.49
2016-08-29,934881.06
2016-08-30,934877.95
2016-08-31,934896.64
2016-09-01,934896.64
2016-09-02,934946.5
2016-09-05,934902.88
2016-09-06,934887.3
2016-09-07,934871.72
2016-09-08,934890.41
2016-09-09,934962.08
2016-09-12,934183.11
2016-09-13,934183.11
2016-09-14,934183.11
2016-09-19,934183.11
2016-09-20,934183.11
2016-09-21,934183.11
2016-09-22,934183.11
2016-09-23,934183.11
2016-09-26,934183.11
2016-09-27,934183.11
2016-09-28,934183.11
2016-09-29,934183.11
2016-09-30,934183.11
2016-10-10,934183.11
2016-10-11,934183.11
2016-10-12,934183.11
2016-10-13,934183.11
2016-10-14,934183.11
2016-10-17,934183.11
2016-10-18,934183.11
2016-10-19,933432.09
2016-10-20,931542.2
2016-10-21,930713.73
2016-10-24,941105.18
2016-10-25,946279.71
2016-10-26,947343.5
2016-10-27,943529.41
2016-10-28,942439.34
2016-10-31,941105.72
2016-11-01,947525.15
2016-11-02,943663.57
2016-11-03,954747.01
2016-11-04,952187.35
2016-11-07,954871.78
2016-11-08,955785.07
2016-11-09,950033.51
2016-11-10,957574.68
2016-11-11,974400.44
2016-11-14,978436.32
2016-11-15,974096.28
2016-11-16,977029.36
2016-11-17,975574.39
2016-11-18,964850.71
2016-11-21,966942.27
2016-11-22,977720.45
2016-11-23,972824.88
2016-11-24,980126.97
2016-11-25,984934.42
2016-11-28,982970.49
2016-11-29,985935.39
2016-11-30,977461.92
2016-12-01,985679.54
2016-12-02,977402.38
2016-12-05,960798.93
2016-12-06,957660.08
2016-12-07,960763.85
2016-12-08,959215.89
2016-12-09,965802.78
2016-12-12,945637.13
2016-12-13,943037.83
2016-12-14,941856.41
2016-12-15,941856.41
2016-12-16,941856.41
2016-12-19,941856.41
2016-12-20,941856.41
2016-12-21,941856.41
2016-12-22,941856.41
2016-12-23,941856.41
2016-12-26,941856.41
2016-12-27,941856.41
2016-12-28,941856.41
2016-12-29,941856.41
2016-12-30,941856.41
2017-01-03,941856.41
2017-01-04,941856.41
2017-01-05,941856.41
2017-01-06,941856.41
2017-01-09,941856.41
2017-01-10,941856.41
2017-01-11,941856.41
2017-01-12,941856.41
2017-01-13,941856.41
2017-01-16,941856.41
2017-01-17,941856.41
2017-01-18,941856.41
2017-01-19,941856.41
2017-01-20,941856.41
2017-01-23,941856.41
2017-01-24,941856.41
2017-01-25,941856.41
2017-01-26,943907.25
2017-02-03,938824.88
2017-02-06,939576.3
2017-02-07,937596.83
2017-02-08,941355.16
2017-02-09,943966.82
2017-02-10,947162.91
2017-02-13,951465.86
2017-02-14,951003.56
2017-02-15,948883.36
2017-02-16,949743.37
2017-02-17,945562.96
2017-02-20,954695.78
2017-02-21,954844.7
2017-02-22,958055.39
2017-02-23,954911.25
2017-02-24,953690.83
2017-02-27,947147.01
2017-02-28,947002.26
2017-03-01,948119.98
2017-03-02,950195.07
2017-03-03,950831.91
2017-03-06,956467.82
2017-03-07,958725.38
2017-03-08,955968.05
2017-03-09,952320.24
2017-03-10,951729.69
2017-03-13,958017.65
2017-03-14,955197.25
2017-03-15,954887.89
2017-03-16,958612.04
2017-03-17,952125.63
2017-03-20,952732.97
2017-03-21,956863.52
2017-03-22,955765.11
2017-03-23,958646.32
2017-03-24,964482.61
2017-03-27,958672.01
2017-03-28,958677.41
2017-03-29,957632.61
2017-03-30,950495.31
2017-03-31,950856.39
2017-04-05,958978.23
2017-04-06,958744.91
2017-04-07,960723.22
2017-04-10,958612.06
2017-04-11,958321.92
2017-04-12,957924.0
2017-04-13,962910.19
2017-04-14,958023.92
2017-04-17,947984.24
2017-04-18,942964.04
2017-04-19,936048.05
2017-04-20,933552.19
2017-04-21,928700.62
2017-04-24,911387.9
2017-04-25,914997.29
2017-04-26,911909.59
2017-04-27,913217.67
2017-04-28,917363.19
2017-05-02,913627.0
2017-05-03,913627.0
2017-05-04,913627.0
2017-05-05,913627.0
2017-05-08,913627.0
2017-05-09,913627.0
2017-05-10,913627.0
2017-05-11,913627.0
2017-05-12,913627.0
2017-05-15,913627.0
