date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,999750.17
2016-02-24,1000113.57
2016-02-25,984538.87
2016-02-26,986967.87
2016-02-29,979346.37
2016-03-01,982996.9
2016-03-02,982996.9
2016-03-03,982996.9
2016-03-04,982996.9
2016-03-07,982996.9
2016-03-08,982751.28
2016-03-09,957692.08
2016-03-10,951165.98
2016-03-11,953219.48
2016-03-14,967430.18
2016-03-15,957643.84
2016-03-16,961094.04
2016-03-17,963207.74
2016-03-18,964628.74
2016-03-21,966538.84
2016-03-22,966887.86
2016-03-23,968631.06
2016-03-24,964899.66
2016-03-25,965482.06
2016-03-28,963039.46
2016-03-29,954502.26
2016-03-30,975154.56
2016-03-31,975939.86
2016-04-01,971107.36
2016-04-05,985121.26
2016-04-06,988408.2
2016-04-07,978771.8
2016-04-08,978735.3
2016-04-11,996039.6
2016-04-12,989035.3
2016-04-13,997668.07
2016-04-14,1003207.07
2016-04-15,1003881.17
2016-04-18,995356.97
2016-04-19,998265.17
2016-04-20,962371.21
2016-04-21,957581.21
2016-04-22,962791.61
2016-04-25,961097.01
2016-04-26,965719.61
2016-04-27,965256.95
2016-04-28,965256.95
2016-04-29,965256.95
2016-05-03,965256.95
2016-05-04,965256.95
2016-05-05,965015.83
2016-05-06,945266.83
2016-05-09,918500.03
2016-05-10,911635.37
2016-05-11,915505.27
2016-05-12,920916.29
2016-05-13,920916.29
2016-05-16,920916.29
2016-05-17,920916.29
2016-05-18,920916.29
2016-05-19,920916.29
2016-05-20,920916.29
2016-05-23,920916.29
2016-05-24,920916.29
2016-05-25,920916.29
2016-05-26,920916.29
2016-05-27,920916.29
2016-05-30,920916.29
2016-05-31,920916.29
2016-06-01,920916.29
2016-06-02,920686.19
2016-06-03,922536.49
2016-06-06,922995.19
2016-06-07,924000.49
2016-06-08,927615.69
2016-06-13,899095.69
2016-06-14,906156.29
2016-06-15,952373.29
2016-06-16,958660.69
2016-06-17,960170.49
2016-06-20,972810.32
2016-06-21,972810.32
2016-06-22,972810.32
2016-06-23,972810.32
2016-06-24,972810.32
2016-06-27,972810.32
2016-06-28,972810.32
2016-06-29,972810.32
2016-06-30,972810.32
2016-07-01,972810.32
2016-07-04,972567.26
2016-07-05,978077.56
2016-07-06,981783.66
2016-07-07,981471.16
2016-07-08,984822.96
2016-07-11,982048.36
2016-07-12,983684.74
2016-07-13,984170.02
2016-07-14,985296.7
2016-07-15,978938.82
2016-07-18,968549.28
2016-07-19,969053.21
2016-07-20,968981.58
2016-07-21,972365.28
2016-07-22,964700.01
2016-07-25,965929.39
2016-07-26,974682.96
2016-07-27,942589.61
2016-07-28,937605.96
2016-07-29,937328.7
2016-08-01,930924.87
2016-08-02,930924.87
2016-08-03,930924.87
2016-08-04,930924.87
2016-08-05,930924.87
2016-08-08,930924.87
2016-08-09,930924.87
2016-08-10,930924.87
2016-08-11,930924.87
2016-08-12,930924.87
2016-08-15,930831.82
2016-08-16,931181.92
2016-08-17,932052.52
2016-08-18,932211.82
2016-08-19,932211.82
2016-08-22,931388.41
2016-08-23,930740.77
2016-08-24,930158.43
2016-08-25,928030.47
2016-08-26,930209.83
2016-08-29,931703.79
2016-08-30,934643.79
2016-08-31,933022.19
2016-09-01,935298.59
2016-09-02,933356.19
2016-09-05,936527.6
2016-09-06,936527.6
2016-09-07,936527.6
2016-09-08,936527.6
2016-09-09,936527.6
2016-09-12,936527.6
2016-09-13,936527.6
2016-09-14,936527.6
2016-09-19,936527.6
2016-09-20,936527.6
2016-09-21,936527.6
2016-09-22,936527.6
2016-09-23,936527.6
2016-09-26,936527.6
2016-09-27,936527.6
2016-09-28,936527.6
2016-09-29,936527.6
2016-09-30,936527.6
2016-10-10,936527.6
2016-10-11,936527.6
2016-10-12,936293.62
2016-10-13,936149.02
2016-10-14,932594.52
2016-10-17,924174.22
2016-10-18,934626.22
2016-10-19,929620.54
2016-10-20,930189.59
2016-10-21,927972.67
2016-10-24,928067.36
2016-10-25,926955.46
2016-10-26,924206.32
2016-10-27,923489.42
2016-10-28,920705.32
2016-10-31,920886.02
2016-11-01,925106.62
2016-11-02,920171.58
2016-11-03,922694.68
2016-11-04,921384.22
2016-11-07,922353.04
2016-11-08,926002.0
2016-11-09,921714.0
2016-11-10,926789.6
2016-11-11,930668.9
2016-11-14,932263.1
2016-11-15,933122.0
2016-11-16,933727.79
2016-11-17,932248.29
2016-11-18,931023.99
2016-11-21,934227.79
2016-11-22,938872.59
2016-11-23,936268.5
2016-11-24,937777.4
2016-11-25,941178.5
2016-11-28,942885.3
2016-11-29,933466.8
2016-11-30,927738.15
2016-12-01,930784.09
2016-12-02,925395.54
2016-12-05,913631.78
2016-12-06,912604.62
2016-12-07,914402.91
2016-12-08,914402.91
2016-12-09,913698.91
2016-12-12,913698.91
2016-12-13,913698.91
2016-12-14,913698.91
2016-12-15,913698.91
2016-12-16,911234.91
2016-12-19,911234.91
2016-12-20,911234.91
2016-12-21,911234.91
2016-12-22,911234.91
2016-12-23,911234.91
2016-12-26,911234.91
2016-12-27,911234.91
2016-12-28,911234.91
2016-12-29,911234.91
2016-12-30,911938.91
2017-01-03,911938.91
2017-01-04,911938.91
2017-01-05,911756.66
2017-01-06,907935.86
2017-01-09,911791.96
2017-01-10,909768.16
2017-01-11,903669.06
2017-01-12,900519.22
2017-01-13,900871.22
2017-01-16,900871.22
2017-01-17,900871.22
2017-01-18,900871.22
2017-01-19,900736.16
2017-01-20,898716.76
2017-01-23,898073.76
2017-01-24,896711.06
2017-01-25,900616.66
2017-01-26,904408.96
2017-02-03,900789.9
2017-02-06,911870.32
2017-02-07,913186.94
2017-02-08,921343.92
2017-02-09,923092.45
2017-02-10,925222.15
2017-02-13,937990.85
2017-02-14,937506.45
2017-02-15,938732.55
2017-02-16,940151.88
2017-02-17,935790.28
2017-02-20,942306.1
2017-02-21,941146.14
2017-02-22,949641.28
2017-02-23,947783.3
2017-02-24,942517.8
2017-02-27,943195.4
2017-02-28,941441.1
2017-03-01,944906.9
2017-03-02,939360.99
2017-03-03,948892.09
2017-03-06,963474.59
2017-03-07,962016.19
2017-03-08,960978.29
2017-03-09,958120.7
2017-03-10,964455.5
2017-03-13,975848.9
2017-03-14,970495.3
2017-03-15,971259.6
2017-03-16,974504.06
2017-03-17,966980.96
2017-03-20,968828.26
2017-03-21,976833.66
2017-03-22,981171.66
2017-03-23,981691.24
2017-03-24,981691.24
2017-03-27,981691.24
2017-03-28,981691.24
2017-03-29,981691.24
2017-03-30,981445.97
2017-03-31,987634.57
2017-04-05,1004181.07
2017-04-06,1003729.27
2017-04-07,1003332.97
2017-04-10,998763.57
2017-04-11,999062.67
2017-04-12,992816.07
2017-04-13,1000869.77
2017-04-14,992717.47
2017-04-17,990535.59
2017-04-18,990815.21
2017-04-19,990422.95
2017-04-20,995885.69
2017-04-21,996915.05
2017-04-24,994907.91
2017-04-25,994907.91
2017-04-26,994907.91
2017-04-27,994907.91
2017-04-28,994907.91
2017-05-02,994907.91
2017-05-03,994907.91
2017-05-04,994907.91
2017-05-05,994907.91
2017-05-08,994907.91
2017-05-09,994907.91
2017-05-10,994907.91
2017-05-11,994907.91
2017-05-12,994907.91
2017-05-15,994907.91
2017-05-16,994907.91
2017-05-17,994907.91
2017-05-18,994907.91
