date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,995127.38
2016-02-24,994316.8
2016-02-25,901042.33
2016-02-26,897209.68
2016-02-29,814920.01
2016-03-01,835171.44
2016-03-02,885560.79
2016-03-03,912036.11
2016-03-04,863218.31
2016-03-07,891090.52
2016-03-08,891071.79
2016-03-09,891697.86
2016-03-10,873860.83
2016-03-11,870054.29
2016-03-14,901568.45
2016-03-15,890170.39
2016-03-16,887698.05
2016-03-17,920362.95
2016-03-18,963757.9
2016-03-21,988682.24
2016-03-22,996550.7
2016-03-23,997990.07
2016-03-24,991051.82
2016-03-25,986026.22
2016-03-28,970562.86
2016-03-29,948792.32
2016-03-30,997446.98
2016-03-31,1015305.79
2016-04-01,1008850.08
2016-04-05,1052139.87
2016-04-06,1073231.18
2016-04-07,1061072.5
2016-04-08,1054602.11
2016-04-11,1076514.88
2016-04-12,1072910.2
2016-04-13,1078202.97
2016-04-14,1081699.68
2016-04-15,1078330.9
2016-04-18,1057171.15
2016-04-19,1062702.83
2016-04-20,1047740.4
2016-04-21,1034771.63
2016-04-22,1030147.5
2016-04-25,1032380.57
2016-04-26,1038242.37
2016-04-27,1049798.4
2016-04-28,1048335.13
2016-04-29,1045288.84
2016-05-03,1061519.24
2016-05-04,1076071.82
2016-05-05,1072859.57
2016-05-06,1037785.0
2016-05-09,1007706.55
2016-05-10,1009908.93
2016-05-11,1025373.24
2016-05-12,1013311.94
2016-05-13,1014233.31
2016-05-16,1023171.47
2016-05-17,1028955.85
2016-05-18,994573.56
2016-05-19,989485.54
2016-05-20,989485.54
2016-05-23,989485.54
2016-05-24,989485.54
2016-05-25,989485.54
2016-05-26,989485.54
2016-05-27,989485.54
2016-05-30,989485.54
2016-05-31,989485.54
2016-06-01,989485.54
2016-06-02,1012623.59
2016-06-03,1026285.54
2016-06-06,1031483.8
2016-06-07,1028388.03
2016-06-08,1015596.02
2016-06-13,968855.72
2016-06-14,985622.43
2016-06-15,1014625.88
2016-06-16,1016798.99
2016-06-17,1021054.2
2016-06-20,1023613.93
2016-06-21,1015178.26
2016-06-22,1027907.48
2016-06-23,1018082.9
2016-06-24,1004581.74
2016-06-27,1012762.47
2016-06-28,1014564.94
2016-06-29,1013435.16
2016-06-30,1014487.89
2016-07-01,1014698.73
2016-07-04,1023376.64
2016-07-05,1024457.91
2016-07-06,1023796.85
2016-07-07,1020994.93
2016-07-08,1015661.01
2016-07-11,1012734.92
2016-07-12,1025912.14
2016-07-13,1035166.62
2016-07-14,1033935.8
2016-07-15,1034856.95
2016-07-18,1022203.52
2016-07-19,1023498.45
2016-07-20,1023831.81
2016-07-21,1029468.84
2016-07-22,1020373.4
2016-07-25,1023675.88
2016-07-26,1034075.46
2016-07-27,1013961.43
2016-07-28,1028636.11
2016-07-29,1024393.22
2016-08-01,1010920.98
2016-08-02,1031925.55
2016-08-03,1039307.84
2016-08-04,1036824.03
2016-08-05,1037770.15
2016-08-08,1045143.26
2016-08-09,1045554.31
2016-08-10,1041614.06
2016-08-11,1031624.61
2016-08-12,1042975.89
2016-08-15,1058519.17
2016-08-16,1045142.43
2016-08-17,1043678.57
2016-08-18,1040380.81
2016-08-19,1043398.35
2016-08-22,1043568.84
2016-08-23,1047306.66
2016-08-24,1044052.1
2016-08-25,1041456.3
2016-08-26,1040228.94
2016-08-29,1046401.94
2016-08-30,1044297.85
2016-08-31,1051735.68
2016-09-01,1049474.64
2016-09-02,1046804.17
2016-09-05,1049782.08
2016-09-06,1057646.85
2016-09-07,1057589.06
2016-09-08,1058063.25
2016-09-09,1063337.85
2016-09-12,1039697.15
2016-09-13,1063057.8
2016-09-14,1051219.15
2016-09-19,1067774.55
2016-09-20,1080313.51
2016-09-21,1068272.33
2016-09-22,1069334.24
2016-09-23,1064227.32
2016-09-26,1039036.32
2016-09-27,1041871.92
2016-09-28,1041639.83
2016-09-29,1041639.83
2016-09-30,1041639.83
2016-10-10,1041639.83
2016-10-11,1041639.83
2016-10-12,1041639.83
2016-10-13,1041639.83
2016-10-14,1041639.83
2016-10-17,1041639.83
2016-10-18,1041639.83
2016-10-19,1038128.4
2016-10-20,1028970.86
2016-10-21,1032155.15
2016-10-24,1045180.04
2016-10-25,1044106.28
2016-10-26,1035768.86
2016-10-27,1035313.23
2016-10-28,1030608.98
2016-10-31,1028895.48
2016-11-01,1034627.71
2016-11-02,1024532.17
2016-11-03,1031630.73
2016-11-04,1025788.2
2016-11-07,1040457.45
2016-11-08,1048938.23
2016-11-09,1049745.69
2016-11-10,1055499.31
2016-11-11,1054391.12
2016-11-14,1058183.89
2016-11-15,1058273.48
2016-11-16,1059875.96
2016-11-17,1056359.08
2016-11-18,1054496.97
2016-11-21,1065228.55
2016-11-22,1074534.46
2016-11-23,1067750.4
2016-11-24,1070026.08
2016-11-25,1075595.91
2016-11-28,1071285.52
2016-11-29,1065238.31
2016-11-30,1061471.09
2016-12-01,1064732.54
2016-12-02,1060786.78
2016-12-05,1051871.35
2016-12-06,1049994.31
2016-12-07,1053158.24
2016-12-08,1051411.22
2016-12-09,1059261.91
2016-12-12,1045223.95
2016-12-13,1051816.33
2016-12-14,1049510.02
2016-12-15,1049510.02
2016-12-16,1049510.02
2016-12-19,1049510.02
2016-12-20,1049510.02
2016-12-21,1049510.02
2016-12-22,1049510.02
2016-12-23,1049510.02
2016-12-26,1049510.02
2016-12-27,1049510.02
2016-12-28,1049510.02
2016-12-29,1049510.02
2016-12-30,1049510.02
2017-01-03,1049510.02
2017-01-04,1049510.02
2017-01-05,1049510.02
2017-01-06,1049510.02
2017-01-09,1049510.02
2017-01-10,1049510.02
2017-01-11,1049510.02
2017-01-12,1049510.02
2017-01-13,1049510.02
2017-01-16,1049510.02
2017-01-17,1049510.02
2017-01-18,1049510.02
2017-01-19,1049510.02
2017-01-20,1049510.02
2017-01-23,1049510.02
2017-01-24,1049510.02
2017-01-25,1049510.02
2017-01-26,1048505.84
2017-02-03,1051366.97
2017-02-06,1062543.63
2017-02-07,1060529.83
2017-02-08,1065485.46
2017-02-09,1065476.53
2017-02-10,1060025.41
2017-02-13,1072609.43
2017-02-14,1068213.11
2017-02-15,1058760.04
2017-02-16,1063736.1
2017-02-17,1050482.12
2017-02-20,1060724.08
2017-02-21,1062867.79
2017-02-22,1060979.88
2017-02-23,1055241.55
2017-02-24,1058321.41
2017-02-27,1057166.77
2017-02-28,1060303.73
2017-03-01,1062699.68
2017-03-02,1050291.73
2017-03-03,1053823.38
2017-03-06,1062481.32
2017-03-07,1072440.78
2017-03-08,1072058.84
2017-03-09,1064045.22
2017-03-10,1058560.02
2017-03-13,1070319.31
2017-03-14,1061993.91
2017-03-15,1062938.15
2017-03-16,1061457.63
2017-03-17,1046267.89
2017-03-20,1048929.73
2017-03-21,1049178.07
2017-03-22,1040018.4
2017-03-23,1040358.5
2017-03-24,1048763.88
2017-03-27,1052019.16
2017-03-28,1055859.89
2017-03-29,1048825.91
2017-03-30,1038475.9
2017-03-31,1031083.11
2017-04-05,1045403.69
2017-04-06,1044056.91
2017-04-07,1035934.53
2017-04-10,1028947.69
2017-04-11,1037747.96
2017-04-12,1034742.11
2017-04-13,1041462.74
2017-04-14,1024406.28
2017-04-17,1005584.47
2017-04-18,1000065.16
2017-04-19,991793.6
