date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,1003169.9
2016-02-24,1009239.39
2016-02-25,1021245.51
2016-02-26,1020294.6
2016-02-29,1013361.27
2016-03-01,1021962.06
2016-03-02,1019429.07
2016-03-03,1019750.19
2016-03-04,1019750.19
2016-03-07,1019750.19
2016-03-08,1022097.3
2016-03-09,1012937.11
2016-03-10,1006259.06
2016-03-11,1004966.53
2016-03-14,1004959.28
2016-03-15,1004972.33
2016-03-16,1004978.13
2016-03-17,1004962.18
2016-03-18,1004887.35
2016-03-21,1004887.35
2016-03-22,1002009.46
2016-03-23,1003075.77
2016-03-24,993181.34
2016-03-25,992574.71
2016-03-28,992658.51
2016-03-29,992734.61
2016-03-30,992828.3
2016-03-31,992618.78
2016-04-01,993203.16
2016-04-05,992895.99
2016-04-06,995882.1
2016-04-07,985034.81
2016-04-08,980387.81
2016-04-11,981607.06
2016-04-12,981616.57
2016-04-13,981629.24
2016-04-14,981610.23
2016-04-15,981544.09
2016-04-18,981544.09
2016-04-19,981544.09
2016-04-20,976725.45
2016-04-21,978265.66
2016-04-22,978265.66
2016-04-25,978265.66
2016-04-26,978265.66
2016-04-27,978265.66
2016-04-28,978265.66
2016-04-29,978265.66
2016-05-03,978265.66
2016-05-04,978265.66
2016-05-05,978323.46
2016-05-06,978698.91
2016-05-09,977728.84
2016-05-10,972671.9
2016-05-11,972671.9
2016-05-12,972671.9
2016-05-13,972671.9
2016-05-16,972671.9
2016-05-17,972671.9
2016-05-18,972671.9
2016-05-19,972671.9
2016-05-20,972671.9
2016-05-23,972671.9
2016-05-24,972671.9
2016-05-25,972671.9
2016-05-26,972671.9
2016-05-27,972671.9
2016-05-30,972671.9
2016-05-31,972671.9
2016-06-01,972671.9
2016-06-02,972502.99
2016-06-03,972688.42
2016-06-06,972836.76
2016-06-07,972997.47
2016-06-08,973516.67
2016-06-13,973516.67
2016-06-14,973566.12
2016-06-15,973578.48
2016-06-16,973640.29
2016-06-17,973949.34
2016-06-20,973255.99
2016-06-21,973255.99
2016-06-22,973255.99
2016-06-23,973255.99
2016-06-24,973255.99
2016-06-27,973255.99
2016-06-28,973255.99
2016-06-29,973255.99
2016-06-30,973255.99
2016-07-01,973255.99
2016-07-04,975271.03
2016-07-05,974138.52
2016-07-06,979727.46
2016-07-07,978640.23
2016-07-08,976396.6
2016-07-11,979035.0
2016-07-12,979031.44
2016-07-13,978876.29
2016-07-14,978822.08
2016-07-15,978840.57
2016-07-18,976088.85
2016-07-19,973242.79
2016-07-20,974107.99
2016-07-21,974961.85
2016-07-22,974022.61
2016-07-25,974193.38
2016-07-26,975644.94
2016-07-27,974876.47
2016-07-28,974791.08
2016-07-29,973595.68
2016-08-01,973863.19
2016-08-02,973863.19
2016-08-03,973863.19
2016-08-04,973863.19
2016-08-05,973863.19
2016-08-08,973863.19
2016-08-09,973863.19
2016-08-10,973863.19
2016-08-11,973863.19
2016-08-12,973863.19
2016-08-15,991005.6
2016-08-16,985824.09
2016-08-17,984668.66
2016-08-18,983442.89
2016-08-19,983769.69
2016-08-22,982362.57
2016-08-23,983194.76
2016-08-24,983194.76
2016-08-25,983194.76
2016-08-26,983194.76
2016-08-29,982988.39
2016-08-30,982723.06
2016-08-31,982231.68
2016-09-01,982231.68
2016-09-02,982231.68
2016-09-05,982231.68
2016-09-06,982231.68
2016-09-07,982231.68
2016-09-08,982231.68
2016-09-09,982231.68
2016-09-12,982231.68
2016-09-13,982231.68
2016-09-14,982231.68
2016-09-19,982231.68
2016-09-20,982231.68
2016-09-21,982231.68
2016-09-22,982231.68
2016-09-23,982231.68
2016-09-26,982231.68
2016-09-27,982231.68
2016-09-28,982231.68
2016-09-29,982231.68
2016-09-30,982231.68
2016-10-10,982231.68
2016-10-11,982231.68
2016-10-12,982231.68
2016-10-13,982231.68
2016-10-14,982231.68
2016-10-17,982231.68
2016-10-18,982231.68
2016-10-19,982225.53
2016-10-20,983153.65
2016-10-21,982478.6
2016-10-24,991269.58
2016-10-25,994527.36
2016-10-26,990949.76
2016-10-27,988388.87
2016-10-28,987930.56
2016-10-31,986369.45
2016-11-01,986369.45
2016-11-02,986370.3
2016-11-03,986407.41
2016-11-04,986667.16
2016-11-07,986741.37
2016-11-08,986815.59
2016-11-09,986827.96
2016-11-10,986865.06
2016-11-11,986865.06
2016-11-14,987001.12
2016-11-15,987236.13
2016-11-16,987285.61
2016-11-17,987384.56
2016-11-18,987669.05
2016-11-21,987730.89
2016-11-22,987829.85
2016-11-23,987916.43
2016-11-24,987965.9
2016-11-25,988163.81
2016-11-28,988312.24
2016-11-29,988299.87
2016-11-30,988262.76
2016-12-01,988374.08
2016-12-02,988868.84
2016-12-05,989116.22
2016-12-06,989140.96
2016-12-07,989153.33
2016-12-08,989326.49
2016-12-09,989413.08
2016-12-12,989487.29
2016-12-13,989561.51
2016-12-14,988868.78
2016-12-15,988868.78
2016-12-16,988868.78
2016-12-19,988868.78
2016-12-20,988868.78
2016-12-21,988868.78
2016-12-22,988868.78
2016-12-23,988868.78
2016-12-26,988868.78
2016-12-27,988868.78
2016-12-28,988868.78
2016-12-29,988868.78
2016-12-30,988868.78
2017-01-03,988868.78
2017-01-04,988868.78
2017-01-05,988868.78
2017-01-06,988868.78
2017-01-09,988868.78
2017-01-10,988868.78
2017-01-11,988868.78
2017-01-12,988868.78
2017-01-13,988868.78
2017-01-16,988868.78
2017-01-17,988868.78
2017-01-18,988868.78
2017-01-19,988868.78
2017-01-20,988868.78
2017-01-23,988868.78
2017-01-24,988868.78
2017-01-25,988868.78
2017-01-26,990253.39
2017-02-03,985642.58
2017-02-06,985187.41
2017-02-07,985187.41
2017-02-08,985187.41
2017-02-09,985187.41
2017-02-10,985187.41
2017-02-13,985187.41
2017-02-14,985187.41
2017-02-15,985187.41
2017-02-16,985509.55
2017-02-17,980422.67
2017-02-20,986262.28
2017-02-21,986207.1
2017-02-22,987948.33
2017-02-23,986516.01
2017-02-24,985855.17
2017-02-27,985755.23
2017-02-28,985765.02
2017-03-01,985791.95
2017-03-02,983798.04
2017-03-03,981676.52
2017-03-06,981582.88
2017-03-07,981634.28
2017-03-08,981661.21
2017-03-09,981724.86
2017-03-10,981803.2
2017-03-13,981783.61
2017-03-14,981759.13
2017-03-15,981749.34
2017-03-16,983930.07
2017-03-17,975567.23
2017-03-20,975158.97
2017-03-21,975158.97
2017-03-22,975158.97
2017-03-23,975158.97
2017-03-24,975158.97
2017-03-27,975158.97
2017-03-28,975158.97
2017-03-29,975158.97
2017-03-30,968547.1
2017-03-31,968526.3
2017-04-05,969727.31
2017-04-06,969797.66
2017-04-07,969863.99
2017-04-10,969890.12
2017-04-11,969962.48
2017-04-12,969928.31
2017-04-13,969946.4
2017-04-14,969988.61
2017-04-17,967203.6
2017-04-18,965149.45
2017-04-19,965451.64
2017-04-20,965451.64
2017-04-21,965451.64
2017-04-24,965451.64
2017-04-25,965451.64
2017-04-26,965451.64
2017-04-27,965451.64
2017-04-28,965451.64
2017-05-02,965451.64
2017-05-03,965451.64
2017-05-04,965451.64
2017-05-05,965451.64
2017-05-08,965451.64
2017-05-09,965451.64
2017-05-10,965451.64
2017-05-11,965451.64
2017-05-12,965451.64
2017-05-15,965451.64
2017-05-16,965451.64
2017-05-17,965451.64
