date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,1001167.67
2016-02-24,1007225.02
2016-02-25,1019207.16
2016-02-26,1017859.36
2016-02-29,1010939.88
2016-03-01,1018296.01
2016-03-02,1015768.08
2016-03-03,1015679.49
2016-03-04,1015679.49
2016-03-07,1015679.49
2016-03-08,1015985.4
2016-03-09,1006654.89
2016-03-10,998685.55
2016-03-11,997184.46
2016-03-14,997177.26
2016-03-15,997190.23
2016-03-16,997195.99
2016-03-17,997180.14
2016-03-18,996880.74
2016-03-21,996880.74
2016-03-22,992041.79
2016-03-23,993097.58
2016-03-24,983301.75
2016-03-25,981534.08
2016-03-28,981617.08
2016-03-29,981692.44
2016-03-30,981785.24
2016-03-31,981179.94
2016-04-01,981758.7
2016-04-05,981454.48
2016-04-06,982040.18
2016-04-07,971099.19
2016-04-08,965312.48
2016-04-11,966272.55
2016-04-12,966281.92
2016-04-13,966294.42
2016-04-14,966275.67
2016-04-15,965965.88
2016-04-18,965965.88
2016-04-19,965965.88
2016-04-20,959305.16
2016-04-21,958896.28
2016-04-22,958896.28
2016-04-25,958896.28
2016-04-26,958896.28
2016-04-27,958896.28
2016-04-28,958896.28
2016-04-29,958896.28
2016-05-03,958896.28
2016-05-04,958896.28
2016-05-05,957038.99
2016-05-06,957406.27
2016-05-09,956073.48
2016-05-10,949607.56
2016-05-11,949607.56
2016-05-12,949607.56
2016-05-13,949607.56
2016-05-16,949607.56
2016-05-17,949607.56
2016-05-18,949607.56
2016-05-19,949607.56
2016-05-20,949607.56
2016-05-23,949607.56
2016-05-24,949607.56
2016-05-25,949607.56
2016-05-26,949607.56
2016-05-27,949607.56
2016-05-30,949607.56
2016-05-31,949607.56
2016-06-01,949607.56
2016-06-02,947547.65
2016-06-03,947728.33
2016-06-06,947872.87
2016-06-07,948029.45
2016-06-08,948535.34
2016-06-13,948535.34
2016-06-14,948583.52
2016-06-15,948595.57
2016-06-16,948655.79
2016-06-17,948956.92
2016-06-20,946384.89
2016-06-21,946384.89
2016-06-22,946384.89
2016-06-23,946384.89
2016-06-24,946384.89
2016-06-27,946384.89
2016-06-28,946384.89
2016-06-29,946384.89
2016-06-30,946384.89
2016-07-01,946384.89
2016-07-04,946452.0
2016-07-05,945352.96
2016-07-06,950776.65
2016-07-07,949721.56
2016-07-08,947166.97
2016-07-11,948960.25
2016-07-12,948956.79
2016-07-13,948428.98
2016-07-14,948187.74
2016-07-15,948205.68
2016-07-18,943464.77
2016-07-19,939212.66
2016-07-20,939858.24
2016-07-21,940683.56
2016-07-22,939775.71
2016-07-25,939940.78
2016-07-26,941343.82
2016-07-27,940601.03
2016-07-28,940518.5
2016-07-29,939363.05
2016-08-01,939430.95
2016-08-02,939430.95
2016-08-03,939430.95
2016-08-04,939430.95
2016-08-05,939430.95
2016-08-08,939430.95
2016-08-09,939430.95
2016-08-10,939430.95
2016-08-11,939430.95
2016-08-12,939430.95
2016-08-15,954059.25
2016-08-16,948602.82
2016-08-17,947490.46
2016-08-18,946310.38
2016-08-19,946153.25
2016-08-22,944318.76
2016-08-23,944646.53
2016-08-24,944646.53
2016-08-25,944646.53
2016-08-26,944646.53
2016-08-29,942563.3
2016-08-30,941680.94
2016-08-31,939954.13
2016-09-01,939954.13
2016-09-02,939954.13
2016-09-05,939954.13
2016-09-06,939954.13
2016-09-07,939954.13
2016-09-08,939954.13
2016-09-09,939954.13
2016-09-12,939954.13
2016-09-13,939954.13
2016-09-14,939954.13
2016-09-19,939954.13
2016-09-20,939954.13
2016-09-21,939954.13
2016-09-22,939954.13
2016-09-23,939954.13
2016-09-26,939954.13
2016-09-27,939954.13
2016-09-28,939954.13
2016-09-29,939954.13
2016-09-30,939954.13
2016-10-10,939954.13
2016-10-11,939954.13
2016-10-12,939954.13
2016-10-13,939954.13
2016-10-14,939954.13
2016-10-17,939954.13
2016-10-18,939954.13
2016-10-19,938072.11
2016-10-20,938958.51
2016-10-21,938313.79
2016-10-24,946709.58
2016-10-25,949820.92
2016-10-26,946404.15
2016-10-27,943334.67
2016-10-28,942896.96
2016-10-31,940145.68
2016-11-01,940145.68
2016-11-02,938270.09
2016-11-03,938305.39
2016-11-04,938552.45
2016-11-07,938623.04
2016-11-08,938693.63
2016-11-09,938705.4
2016-11-10,938740.69
2016-11-11,938740.69
2016-11-14,938870.11
2016-11-15,939093.64
2016-11-16,939140.7
2016-11-17,939234.82
2016-11-18,939505.42
2016-11-21,939564.24
2016-11-22,939658.36
2016-11-23,939740.72
2016-11-24,939787.78
2016-11-25,939976.02
2016-11-28,940117.2
2016-11-29,940105.43
2016-11-30,940070.14
2016-12-01,940176.02
2016-12-02,940646.62
2016-12-05,940881.92
2016-12-06,940905.45
2016-12-07,940917.22
2016-12-08,941081.93
2016-12-09,941164.28
2016-12-12,941234.87
2016-12-13,941305.46
2016-12-14,938765.41
2016-12-15,938765.41
2016-12-16,938765.41
2016-12-19,938765.41
2016-12-20,938765.41
2016-12-21,938765.41
2016-12-22,938765.41
2016-12-23,938765.41
2016-12-26,938765.41
2016-12-27,938765.41
2016-12-28,938765.41
2016-12-29,938765.41
2016-12-30,938765.41
2017-01-03,938765.41
2017-01-04,938765.41
2017-01-05,938765.41
2017-01-06,938765.41
2017-01-09,938765.41
2017-01-10,938765.41
2017-01-11,938765.41
2017-01-12,938765.41
2017-01-13,938765.41
2017-01-16,938765.41
2017-01-17,938765.41
2017-01-18,938765.41
2017-01-19,938765.41
2017-01-20,938765.41
2017-01-23,938765.41
2017-01-24,938765.41
2017-01-25,938765.41
2017-01-26,938203.69
2017-02-03,933523.27
2017-02-06,931537.48
2017-02-07,931537.48
2017-02-08,931537.48
2017-02-09,931537.48
2017-02-10,931537.48
2017-02-13,931537.48
2017-02-14,931537.48
2017-02-15,931537.48
2017-02-16,929982.15
2017-02-17,925181.88
2017-02-20,929957.52
2017-02-21,929905.45
2017-02-22,931548.57
2017-02-23,930196.95
2017-02-24,929200.71
2017-02-27,928725.83
2017-02-28,928735.07
2017-03-01,928760.48
2017-03-02,925562.21
2017-03-03,922516.47
2017-03-06,922164.06
2017-03-07,922212.57
2017-03-08,922237.98
2017-03-09,922298.04
2017-03-10,922371.96
2017-03-13,922353.48
2017-03-14,922330.38
2017-03-15,922321.14
2017-03-16,922151.5
2017-03-17,913701.15
2017-03-20,912103.36
2017-03-21,912103.36
2017-03-22,912103.36
2017-03-23,912103.36
2017-03-24,912103.36
2017-03-27,912103.36
2017-03-28,912103.36
2017-03-29,912103.36
2017-03-30,904111.25
2017-03-31,902888.62
2017-04-05,903706.37
2017-04-06,903772.03
2017-04-07,903833.94
2017-04-10,903858.33
2017-04-11,903925.86
2017-04-12,903893.97
2017-04-13,903910.86
2017-04-14,903950.25
2017-04-17,899253.43
2017-04-18,896983.51
2017-04-19,895829.57
2017-04-20,895829.57
2017-04-21,895829.57
2017-04-24,895829.57
2017-04-25,895829.57
2017-04-26,895829.57
2017-04-27,895829.57
2017-04-28,895829.57
2017-05-02,895829.57
2017-05-03,895829.57
2017-05-04,895829.57
2017-05-05,895829.57
2017-05-08,895829.57
2017-05-09,895829.57
2017-05-10,895829.57
2017-05-11,895829.57
2017-05-12,895829.57
2017-05-15,895829.57
2017-05-16,895829.57
2017-05-17,895829.57
2017-05-18,895829.57
