date,value
2016-01-04,1000000.0
2016-01-05,999750.06
2016-01-06,1006204.95
2016-01-07,1010309.21
2016-01-08,1015999.83
2016-01-11,1017578.05
2016-01-12,1016686.43
2016-01-13,1015278.68
2016-01-14,1017104.97
2016-01-15,1017614.51
2016-01-18,1018630.22
2016-01-19,1019971.81
2016-01-20,1021015.65
2016-01-21,1021123.2
2016-01-22,1021032.2
2016-01-25,1002893.97
2016-01-26,1001765.8
2016-01-27,1001360.51
2016-01-28,1001014.78
2016-01-29,1007284.36
2016-02-01,1015492.78
2016-02-02,1018291.83
2016-02-03,1018597.85
2016-02-04,1022882.1
2016-02-05,1023494.14
2016-02-15,1023806.76
2016-02-16,1024418.79
2016-02-17,1025030.83
2016-02-18,1025030.83
2016-02-19,1024418.79
2016-02-22,1024724.81
2016-02-23,1029009.06
2016-02-24,1028703.04
2016-02-25,1028091.01
2016-02-26,1028091.01
2016-02-29,1027172.95
2016-03-01,1027478.97
2016-03-02,1028397.03
2016-03-03,1028397.03
2016-03-04,1027784.99
2016-03-07,1028091.01
2016-03-08,1027925.26
2016-03-09,1007093.75
2016-03-10,1000555.8
2016-03-11,1002321.64
2016-03-14,1014688.26
2016-03-15,1007424.03
2016-03-16,1005483.54
2016-03-17,1017609.23
2016-03-18,1032527.92
2016-03-21,1043072.14
2016-03-22,1041830.73
2016-03-23,1042108.84
2016-03-24,1033276.53
2016-03-25,1036462.46
2016-03-28,1033286.77
2016-03-29,1026431.79
2016-03-30,1043785.68
2016-03-31,1045976.99
2016-04-01,1047126.53
2016-04-05,1059435.6
2016-04-06,1059098.24
2016-04-07,1046170.99
2016-04-08,1042328.25
2016-04-11,1065016.57
2016-04-12,1058049.09
2016-04-13,1069680.0
2016-04-14,1077137.0
2016-04-15,1078563.44
2016-04-18,1067309.44
2016-04-19,1069595.48
2016-04-20,1037352.4
2016-04-21,1027362.59
2016-04-22,1035461.59
2016-04-25,1033684.18
2016-04-26,1043864.01
2016-04-27,1042731.14
2016-04-28,1040285.62
2016-04-29,1040651.32
2016-05-03,1066064.78
2016-05-04,1066553.31
2016-05-05,1068851.22
2016-05-06,1052295.87
2016-05-09,1032906.44
2016-05-10,1028705.92
2016-05-11,1027871.39
2016-05-12,1032068.61
2016-05-13,1034837.4
2016-05-16,1046791.32
2016-05-17,1040314.64
2016-05-18,1031078.32
2016-05-19,1035078.28
2016-05-20,1035382.59
2016-05-23,1041363.07
2016-05-24,1037606.5
2016-05-25,1030724.63
2016-05-26,1037171.11
2016-05-27,1034004.62
2016-05-30,1030478.81
2016-05-31,1049953.68
2016-06-01,1054421.68
2016-06-02,1055340.09
2016-06-03,1058218.79
2016-06-06,1058976.82
2016-06-07,1060934.47
2016-06-08,1059672.26
2016-06-13,1029693.41
2016-06-14,1027669.85
2016-06-15,1039782.02
2016-06-16,1036993.0
2016-06-17,1038380.14
2016-06-20,1044407.02
2016-06-21,1041738.79
2016-06-22,1051141.99
2016-06-23,1049995.25
2016-06-24,1038659.2
2016-06-27,1045469.29
2016-06-28,1053684.81
2016-06-29,1059270.01
2016-06-30,1059240.84
2016-07-01,1063195.84
2016-07-04,1073991.53
2016-07-05,1077730.6
2016-07-06,1086216.48
2016-07-07,1089090.68
2016-07-08,1091634.18
2016-07-11,1093641.42
2016-07-12,1095118.24
2016-07-13,1099782.19
2016-07-14,1097490.06
2016-07-15,1094918.62
2016-07-18,1092435.64
2016-07-19,1096643.56
2016-07-20,1094932.2
2016-07-21,1094036.94
2016-07-22,1089538.43
2016-07-25,1086725.6
2016-07-26,1095949.35
2016-07-27,1072289.66
2016-07-28,1072664.67
2016-07-29,1066722.75
2016-08-01,1059594.01
2016-08-02,1058767.28
2016-08-03,1059790.46
2016-08-04,1062849.17
2016-08-05,1063642.56
2016-08-08,1067189.81
2016-08-09,1071604.48
2016-08-10,1068503.8
2016-08-11,1067274.0
2016-08-12,1070837.48
2016-08-15,1078649.68
2016-08-16,1076677.11
2016-08-17,1077607.47
2016-08-18,1077139.9
2016-08-19,1076734.01
2016-08-22,1074399.42
2016-08-23,1074492.24
2016-08-24,1069555.05
2016-08-25,1068127.27
2016-08-26,1070522.62
2016-08-29,1072231.72
2016-08-30,1076978.99
2016-08-31,1075574.28
2016-09-01,1077680.09
2016-09-02,1077186.16
2016-09-05,1083661.16
2016-09-06,1092433.95
2016-09-07,1091169.78
2016-09-08,1095862.65
2016-09-09,1096479.39
2016-09-12,1081966.94
2016-09-13,1080274.13
2016-09-14,1079719.13
2016-09-19,1087404.47
2016-09-20,1087186.44
2016-09-21,1089605.16
2016-09-22,1091385.26
2016-09-23,1090829.2
2016-09-26,1077713.16
2016-09-27,1082563.36
2016-09-28,1081976.13
2016-09-29,1082199.14
2016-09-30,1082422.15
2016-10-10,1082598.66
2016-10-11,1082821.67
2016-10-12,1083360.67
2016-10-13,1083495.42
2016-10-14,1085310.37
2016-10-17,1085377.75
2016-10-18,1085836.57
2016-10-19,1086329.08
2016-10-20,1086821.59
2016-10-21,1088133.45
2016-10-24,1088558.59
2016-10-25,1088625.96
2016-10-26,1088213.63
2016-10-27,1087855.87
2016-10-28,1086712.45
2016-10-31,1086746.13
2016-11-01,1086847.2
2016-11-02,1086308.98
2016-11-03,1089313.71
2016-11-04,1088888.75
2016-11-07,1089617.99
