date,value
2016-01-04,1000000.0
2016-01-05,999250.44
2016-01-06,1005702.1
2016-01-07,1009804.3
2016-01-08,1015492.07
2016-01-11,1017069.5
2016-01-12,1016178.32
2016-01-13,1014771.28
2016-01-14,1016596.66
2016-01-15,1017105.94
2016-01-18,1018121.14
2016-01-19,1019462.06
2016-01-20,1020505.38
2016-01-21,1020612.87
2016-01-22,1020521.92
2016-01-25,1002392.75
2016-01-26,1001265.14
2016-01-27,1000860.05
2016-01-28,1000514.5
2016-01-29,1006780.94
2016-02-01,1014985.24
2016-02-02,1017276.76
2016-02-03,1017582.37
2016-02-04,1021860.92
2016-02-05,1022472.14
2016-02-15,1022784.1
2016-02-16,1023395.32
2016-02-17,1024006.54
2016-02-18,1024006.54
2016-02-19,1023395.32
2016-02-22,1023700.93
2016-02-23,1027979.49
2016-02-24,1027673.87
2016-02-25,1027062.65
2016-02-26,1027062.65
2016-02-29,1026145.82
2016-03-01,1026451.43
2016-03-02,1027368.26
2016-03-03,1027368.26
2016-03-04,1026757.04
2016-03-07,1027062.65
2016-03-08,1026037.27
2016-03-09,1005244.08
2016-03-10,998718.14
2016-03-11,1000480.73
2016-03-14,1012824.61
2016-03-15,1005573.75
2016-03-16,1003636.83
2016-03-17,1015740.22
2016-03-18,1030631.47
2016-03-21,1041156.3
2016-03-22,1039917.18
2016-03-23,1040194.77
2016-03-24,1031378.71
2016-03-25,1034558.78
2016-03-28,1031388.93
2016-03-29,1024546.56
2016-03-30,1041868.53
2016-03-31,1044055.82
2016-04-01,1045203.23
2016-04-05,1057489.67
2016-04-06,1056096.31
2016-04-07,1043205.7
2016-04-08,1039373.84
2016-04-11,1061997.86
2016-04-12,1055050.13
2016-04-13,1066648.07
2016-04-14,1074083.94
2016-04-15,1075506.34
2016-04-18,1064284.23
2016-04-19,1066563.8
2016-04-20,1034412.11
2016-04-21,1024450.6
2016-04-22,1032526.65
2016-04-25,1030754.29
2016-04-26,1040905.27
2016-04-27,1039775.61
2016-04-28,1037337.02
2016-04-29,1037701.67
2016-05-03,1063043.11
2016-05-04,1063530.25
2016-05-05,1064756.36
2016-05-06,1048264.5
2016-05-09,1028949.42
2016-05-10,1024765.02
2016-05-11,1023933.67
2016-05-12,1028114.8
2016-05-13,1030872.97
2016-05-16,1042781.07
2016-05-17,1036329.21
2016-05-18,1027128.29
2016-05-19,1031112.92
2016-05-20,1031416.06
2016-05-23,1037373.61
2016-05-24,1033631.45
2016-05-25,1026775.96
2016-05-26,1033197.72
2016-05-27,1030043.39
2016-05-30,1026531.09
2016-05-31,1045931.29
2016-06-01,1050382.16
2016-06-02,1050246.29
2016-06-03,1053111.08
2016-06-06,1053865.45
2016-06-07,1055813.65
2016-06-08,1054557.56
2016-06-13,1024723.43
2016-06-14,1022709.61
2016-06-15,1034763.26
2016-06-16,1031987.72
2016-06-17,1033368.14
2016-06-20,1039365.93
2016-06-21,1036710.58
2016-06-22,1046068.37
2016-06-23,1044927.17
2016-06-24,1033645.85
2016-06-27,1040423.02
2016-06-28,1048598.87
2016-06-29,1054157.13
2016-06-30,1054128.1
2016-07-01,1058064.01
2016-07-04,1067844.51
2016-07-05,1071561.55
2016-07-06,1079999.5
2016-07-07,1082857.28
2016-07-08,1085387.57
2016-07-11,1087383.75
2016-07-12,1088852.66
2016-07-13,1093489.33
2016-07-14,1091210.96
2016-07-15,1088654.19
2016-07-18,1086186.35
2016-07-19,1090369.6
2016-07-20,1088669.17
2016-07-21,1087778.72
2016-07-22,1083306.27
2016-07-25,1080509.93
2016-07-26,1089680.43
2016-07-27,1066157.82
2016-07-28,1066531.02
2016-07-29,1060623.42
2016-08-01,1052715.01
2016-08-02,1051892.77
2016-08-03,1052908.97
2016-08-04,1055948.33
2016-08-05,1056738.31
2016-08-08,1060262.12
2016-08-09,1064647.73
2016-08-10,1061567.01
2016-08-11,1060345.41
2016-08-12,1063886.18
2016-08-15,1071646.72
2016-08-16,1069685.57
2016-08-17,1070609.39
2016-08-18,1070145.62
2016-08-19,1069742.09
2016-08-22,1067424.58
2016-08-23,1067516.95
2016-08-24,1062610.59
