date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,995127.38
2016-02-24,991701.7
2016-02-25,925877.04
2016-02-26,937149.39
2016-02-29,937149.39
2016-03-01,937149.39
2016-03-02,937149.39
2016-03-03,937149.39
2016-03-04,937149.39
2016-03-07,937149.39
2016-03-08,958867.48
2016-03-09,949446.04
2016-03-10,941765.11
2016-03-11,939506.62
2016-03-14,939506.62
2016-03-15,939506.62
2016-03-16,939506.62
2016-03-17,939506.62
2016-03-18,939506.62
2016-03-21,939506.62
2016-03-22,961278.25
2016-03-23,979501.47
2016-03-24,972126.01
2016-03-25,973957.17
2016-03-28,959033.7
2016-03-29,950432.67
2016-03-30,951232.84
2016-03-31,951232.84
2016-04-01,951232.84
2016-04-05,951232.84
2016-04-06,967623.14
2016-04-07,956309.7
2016-04-08,953510.12
2016-04-11,958117.62
2016-04-12,957188.09
2016-04-13,957086.48
2016-04-14,958112.99
2016-04-15,958107.8
2016-04-18,956996.39
2016-04-19,957872.48
2016-04-20,933640.27
2016-04-21,930190.73
2016-04-22,926430.05
2016-04-25,926017.02
2016-04-26,926425.82
2016-04-27,926150.3
2016-04-28,926354.7
2016-04-29,925973.09
2016-05-03,925900.28
2016-05-04,925900.28
2016-05-05,924016.62
2016-05-06,905538.3
2016-05-09,895593.65
2016-05-10,896685.06
2016-05-11,896685.06
2016-05-12,896685.06
2016-05-13,896685.06
2016-05-16,896685.06
2016-05-17,896685.06
2016-05-18,896685.06
2016-05-19,896685.06
2016-05-20,896685.06
2016-05-23,896685.06
2016-05-24,896685.06
2016-05-25,896685.06
2016-05-26,896685.06
2016-05-27,896685.06
2016-05-30,896685.06
2016-05-31,896685.06
2016-06-01,896685.06
2016-06-02,915335.29
2016-06-03,928881.73
2016-06-06,932456.19
2016-06-07,927851.63
2016-06-08,921852.46
2016-06-13,907354.49
2016-06-14,906794.21
2016-06-15,906794.21
2016-06-16,906794.21
2016-06-17,906794.21
2016-06-20,906794.21
2016-06-21,906794.21
2016-06-22,906794.21
2016-06-23,906794.21
2016-06-24,906794.21
2016-06-27,906794.21
2016-06-28,906794.21
2016-06-29,906794.21
2016-06-30,906794.21
2016-07-01,906794.21
2016-07-04,919860.11
2016-07-05,922132.92
2016-07-06,923836.56
2016-07-07,922706.85
2016-07-08,918435.77
2016-07-11,919334.41
2016-07-12,922184.03
2016-07-13,923859.73
2016-07-14,922270.76
2016-07-15,923962.0
2016-07-18,914028.61
2016-07-19,912680.21
2016-07-20,911535.24
2016-07-21,911646.8
2016-07-22,911783.79
2016-07-25,911783.79
2016-07-26,911783.79
2016-07-27,911783.79
2016-07-28,911783.79
2016-07-29,911783.79
2016-08-01,911783.79
2016-08-02,911783.79
2016-08-03,911783.79
2016-08-04,911783.79
2016-08-05,911783.79
2016-08-08,911783.79
2016-08-09,911783.79
2016-08-10,911783.79
2016-08-11,911783.79
2016-08-12,911783.79
2016-08-15,928009.12
2016-08-16,915326.13
2016-08-17,912993.43
2016-08-18,909101.97
2016-08-19,909476.22
2016-08-22,909318.18
2016-08-23,910345.44
2016-08-24,908962.59
2016-08-25,908024.06
2016-08-26,908024.06
2016-08-29,918096.59
2016-08-30,914305.98
2016-08-31,921290.03
2016-09-01,918689.29
2016-09-02,919515.19
2016-09-05,919200.85
2016-09-06,920349.95
2016-09-07,919794.19
2016-09-08,920927.03
2016-09-09,930712.51
2016-09-12,930854.22
2016-09-13,930854.22
2016-09-14,930854.22
2016-09-19,930854.22
2016-09-20,930854.22
2016-09-21,930854.22
2016-09-22,930854.22
2016-09-23,930854.22
2016-09-26,930854.22
2016-09-27,930854.22
2016-09-28,930854.22
2016-09-29,930854.22
2016-09-30,930854.22
2016-10-10,930854.22
2016-10-11,930854.22
2016-10-12,930854.22
2016-10-13,930854.22
2016-10-14,930854.22
2016-10-17,930854.22
2016-10-18,930854.22
2016-10-19,926437.24
2016-10-20,918140.98
2016-10-21,921624.96
2016-10-24,932303.2
2016-10-25,930496.15
2016-10-26,925763.31
2016-10-27,924059.51
2016-10-28,923379.79
2016-10-31,923379.79
2016-11-01,923379.79
2016-11-02,916170.84
2016-11-03,922658.54
2016-11-04,919518.81
2016-11-07,921566.93
2016-11-08,923505.81
2016-11-09,919005.75
2016-11-10,922133.37
2016-11-11,922528.87
2016-11-14,920393.17
2016-11-15,920559.28
2016-11-16,921306.58
2016-11-17,918249.45
2016-11-18,917477.87
2016-11-21,920574.52
2016-11-22,920795.92
2016-11-23,918436.06
2016-11-24,919597.06
2016-11-25,919301.86
2016-11-28,917235.46
2016-11-29,917162.68
2016-11-30,915013.49
2016-12-01,917755.23
2016-12-02,910573.75
2016-12-05,903553.46
2016-12-06,903047.16
2016-12-07,903047.16
2016-12-08,903047.16
2016-12-09,903047.16
2016-12-12,903047.16
2016-12-13,903047.16
2016-12-14,903047.16
2016-12-15,903047.16
2016-12-16,903047.16
2016-12-19,903047.16
2016-12-20,903047.16
2016-12-21,903047.16
2016-12-22,903047.16
2016-12-23,903047.16
2016-12-26,903047.16
2016-12-27,903047.16
2016-12-28,903047.16
2016-12-29,903047.16
2016-12-30,903047.16
2017-01-03,903047.16
2017-01-04,903047.16
2017-01-05,903047.16
2017-01-06,903047.16
2017-01-09,903047.16
2017-01-10,903047.16
2017-01-11,903047.16
2017-01-12,903047.16
2017-01-13,903047.16
2017-01-16,903047.16
2017-01-17,903047.16
2017-01-18,903047.16
2017-01-19,903047.16
2017-01-20,903047.16
2017-01-23,903047.16
2017-01-24,903047.16
2017-01-25,903047.16
2017-01-26,902183.06
2017-02-03,902608.81
2017-02-06,901757.46
2017-02-07,899720.79
2017-02-08,898572.08
2017-02-09,900200.56
2017-02-10,899284.54
2017-02-13,899417.19
2017-02-14,899417.19
2017-02-15,899417.19
2017-02-16,907244.55
2017-02-17,895940.34
2017-02-20,898158.86
2017-02-21,898342.25
2017-02-22,897028.63
2017-02-23,896032.63
2017-02-24,895655.1
2017-02-27,895655.1
2017-02-28,895655.1
2017-03-01,895655.1
2017-03-02,889356.26
2017-03-03,891726.01
2017-03-06,894663.58
2017-03-07,892933.24
2017-03-08,887190.92
2017-03-09,886306.3
2017-03-10,886306.3
2017-03-13,886306.3
2017-03-14,886306.3
2017-03-15,886306.3
2017-03-16,885690.53
2017-03-17,873016.11
2017-03-20,874240.75
2017-03-21,874177.1
2017-03-22,872623.85
2017-03-23,872095.65
2017-03-24,872160.65
2017-03-27,872160.65
2017-03-28,872160.65
2017-03-29,872160.65
2017-03-30,866482.13
2017-03-31,858490.21
2017-04-05,859614.3
2017-04-06,860241.2
2017-04-07,859363.49
2017-04-10,858551.89
2017-04-11,857373.8
2017-04-12,857373.8
2017-04-13,857373.8
2017-04-14,857373.8
2017-04-17,846498.42
2017-04-18,842727.18
2017-04-19,839047.56
2017-04-20,838303.56
2017-04-21,835740.09
2017-04-24,834887.39
2017-04-25,834887.39
2017-04-26,834887.39
2017-04-27,834887.39
2017-04-28,834887.39
2017-05-02,834887.39
2017-05-03,834887.39
2017-05-04,834887.39
2017-05-05,834887.39
2017-05-08,834887.39
2017-05-09,834887.39
2017-05-10,834887.39
2017-05-11,834887.39
2017-05-12,834887.39
2017-05-15,834887.39
2017-05-16,834887.39
2017-05-17,834887.39
2017-05-18,834887.39
2017-05-19,834887.39
