date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,993140.14
2016-02-24,989332.95
2016-02-25,923460.68
2016-02-26,933408.09
2016-02-29,933408.09
2016-03-01,933408.09
2016-03-02,933408.09
2016-03-03,933408.09
2016-03-04,933408.09
2016-03-07,933408.09
2016-03-08,953133.3
2016-03-09,943768.18
2016-03-10,935203.55
2016-03-11,932020.38
2016-03-14,932020.38
2016-03-15,932020.38
2016-03-16,932020.38
2016-03-17,932020.38
2016-03-18,932020.38
2016-03-21,932020.38
2016-03-22,951715.65
2016-03-23,969757.57
2016-03-24,962273.72
2016-03-25,963726.84
2016-03-28,948574.06
2016-03-29,939691.0
2016-03-30,939886.43
2016-03-31,939886.43
2016-04-01,939886.43
2016-04-05,939886.43
2016-04-06,954173.21
2016-04-07,942829.93
2016-04-08,939515.01
2016-04-11,943498.74
2016-04-12,942582.13
2016-04-13,942481.95
2016-04-14,943297.98
2016-04-15,943292.84
2016-04-18,941999.85
2016-04-19,942669.39
2016-04-20,916987.52
2016-04-21,912537.55
2016-04-22,908658.22
2016-04-25,908067.97
2016-04-26,908469.45
2016-04-27,908198.86
2016-04-28,908399.6
2016-04-29,907828.54
2016-05-03,907566.46
2016-05-04,907566.46
2016-05-05,903912.33
2016-05-06,885835.75
2016-05-09,875055.29
2016-05-10,875420.58
2016-05-11,875420.58
2016-05-12,875420.58
2016-05-13,875420.58
2016-05-16,875420.58
2016-05-17,875420.58
2016-05-18,875420.58
2016-05-19,875420.58
2016-05-20,875420.58
2016-05-23,875420.58
2016-05-24,875420.58
2016-05-25,875420.58
2016-05-26,875420.58
2016-05-27,875420.58
2016-05-30,875420.58
2016-05-31,875420.58
2016-06-01,875420.58
2016-06-02,891844.35
2016-06-03,905043.2
2016-06-06,908525.69
2016-06-07,903867.14
2016-06-08,897665.42
2016-06-13,882825.47
2016-06-14,881755.89
2016-06-15,881755.89
2016-06-16,881755.89
2016-06-17,881755.89
2016-06-20,881755.89
2016-06-21,881755.89
2016-06-22,881755.89
2016-06-23,881755.89
2016-06-24,881755.89
2016-06-27,881755.89
2016-06-28,881755.89
2016-06-29,881755.89
2016-06-30,881755.89
2016-07-01,881755.89
2016-07-04,892675.78
2016-07-05,894698.88
2016-07-06,896352.21
2016-07-07,895255.93
2016-07-08,890400.34
2016-07-11,890742.29
2016-07-12,893507.73
2016-07-13,895133.93
2016-07-14,893591.89
2016-07-15,895049.06
2016-07-18,883475.99
2016-07-19,880939.89
2016-07-20,879658.05
2016-07-21,879589.18
2016-07-22,879543.65
2016-07-25,879543.65
2016-07-26,879543.65
2016-07-27,879543.65
2016-07-28,879543.65
2016-07-29,879543.65
2016-08-01,879543.65
2016-08-02,879543.65
2016-08-03,879543.65
2016-08-04,879543.65
2016-08-05,879543.65
2016-08-08,879543.65
2016-08-09,879543.65
2016-08-10,879543.65
2016-08-11,879543.65
2016-08-12,879543.65
2016-08-15,893408.0
2016-08-16,881198.17
2016-08-17,878780.17
2016-08-18,874687.2
2016-08-19,873995.59
2016-08-22,873843.47
2016-08-23,874832.25
2016-08-24,873501.2
2016-08-25,872420.06
2016-08-26,872420.06
2016-08-29,880336.71
2016-08-30,876702.22
2016-08-31,883225.56
2016-09-01,880388.29
2016-09-02,880659.15
2016-09-05,880184.38
2016-09-06,881286.18
2016-09-07,880753.28
2016-09-08,881648.41
2016-09-09,891031.22
2016-09-12,890784.52
2016-09-13,890784.52
2016-09-14,890784.52
2016-09-19,890784.52
2016-09-20,890784.52
2016-09-21,890784.52
2016-09-22,890784.52
2016-09-23,890784.52
2016-09-26,890784.52
2016-09-27,890784.52
2016-09-28,890784.52
2016-09-29,890784.52
2016-09-30,890784.52
2016-10-10,890784.52
2016-10-11,890784.52
2016-10-12,890784.52
2016-10-13,890784.52
2016-10-14,890784.52
2016-10-17,890784.52
2016-10-18,890784.52
2016-10-19,884788.15
2016-10-20,876864.54
2016-10-21,879850.85
2016-10-24,889522.08
2016-10-25,887796.23
2016-10-26,883099.52
2016-10-27,880939.06
2016-10-28,880103.98
2016-10-31,880103.98
2016-11-01,880103.98
2016-11-02,871490.14
2016-11-03,876970.37
2016-11-04,873811.24
2016-11-07,875589.31
2016-11-08,877433.57
2016-11-09,873153.03
2016-11-10,875590.91
2016-11-11,875967.11
2016-11-14,873935.63
2016-11-15,873913.19
2016-11-16,872877.05
2016-11-17,869980.78
2016-11-18,868387.79
2016-11-21,870805.24
2016-11-22,871015.0
2016-11-23,868779.2
2016-11-24,869703.51
2016-11-25,869423.83
2016-11-28,867466.07
2016-11-29,867213.36
2016-11-30,863454.61
2016-12-01,865866.54
2016-12-02,858576.25
2016-12-05,851276.01
2016-12-06,850458.3
2016-12-07,850458.3
2016-12-08,850458.3
2016-12-09,850458.3
2016-12-12,850458.3
2016-12-13,850458.3
2016-12-14,850458.3
2016-12-15,850458.3
2016-12-16,850458.3
2016-12-19,850458.3
2016-12-20,850458.3
2016-12-21,850458.3
2016-12-22,850458.3
2016-12-23,850458.3
2016-12-26,850458.3
2016-12-27,850458.3
2016-12-28,850458.3
2016-12-29,850458.3
2016-12-30,850458.3
2017-01-03,850458.3
2017-01-04,850458.3
2017-01-05,850458.3
2017-01-06,850458.3
2017-01-09,850458.3
2017-01-10,850458.3
2017-01-11,850458.3
2017-01-12,850458.3
2017-01-13,850458.3
2017-01-16,850458.3
2017-01-17,850458.3
2017-01-18,850458.3
2017-01-19,850458.3
2017-01-20,850458.3
2017-01-23,850458.3
2017-01-24,850458.3
2017-01-25,850458.3
2017-01-26,847948.85
2017-02-03,848012.81
2017-02-06,846876.44
2017-02-07,844460.09
2017-02-08,843042.19
2017-02-09,844572.75
2017-02-10,843711.81
2017-02-13,843658.88
2017-02-14,843658.88
2017-02-15,843658.88
2017-02-16,849302.5
2017-02-17,838720.4
2017-02-20,839626.47
2017-02-21,839798.16
2017-02-22,838400.2
2017-02-23,837299.57
2017-02-24,836776.46
2017-02-27,836776.46
2017-02-28,836776.46
2017-03-01,836776.46
2017-03-02,829233.49
2017-03-03,831115.11
2017-03-06,833525.49
2017-03-07,831580.67
2017-03-08,826062.55
2017-03-09,824736.92
2017-03-10,824736.92
2017-03-13,824736.92
2017-03-14,824736.92
2017-03-15,824736.92
2017-03-16,822519.11
2017-03-17,810748.82
2017-03-20,810594.38
2017-03-21,810535.27
2017-03-22,808930.62
2017-03-23,808440.1
2017-03-24,808334.55
2017-03-27,808334.55
2017-03-28,808334.55
2017-03-29,808334.55
2017-03-30,801469.06
2017-03-31,793291.33
2017-04-05,794018.62
2017-04-06,794598.47
2017-04-07,793786.63
2017-04-10,792873.02
2017-04-11,791458.19
2017-04-12,791458.19
2017-04-13,791458.19
2017-04-14,791458.19
2017-04-17,779859.35
2017-04-18,775772.89
2017-04-19,771762.75
2017-04-20,770928.71
2017-04-21,768567.26
2017-04-24,767624.81
2017-04-25,767624.81
2017-04-26,767624.81
2017-04-27,767624.81
2017-04-28,767624.81
2017-05-02,767624.81
2017-05-03,767624.81
2017-05-04,767624.81
2017-05-05,767624.81
2017-05-08,767624.81
2017-05-09,767624.81
2017-05-10,767624.81
2017-05-11,767624.81
2017-05-12,767624.81
2017-05-15,767624.81
2017-05-16,767624.81
2017-05-17,767624.81
2017-05-18,767624.81
2017-05-19,767624.81
