date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,995127.38
2016-02-24,1000388.82
2016-02-25,998981.14
2016-02-26,998981.14
2016-02-29,998981.14
2016-03-01,998981.14
2016-03-02,998981.14
2016-03-03,998981.14
2016-03-04,998981.14
2016-03-07,998981.14
2016-03-08,1008157.02
2016-03-09,1010284.15
2016-03-10,999656.76
2016-03-11,990586.5
2016-03-14,990586.5
2016-03-15,990586.5
2016-03-16,990586.5
2016-03-17,998464.53
2016-03-18,1007697.92
2016-03-21,1005664.88
2016-03-22,1020414.13
2016-03-23,1021735.24
2016-03-24,1019424.94
2016-03-25,1026692.34
2016-03-28,1024438.79
2016-03-29,1022709.74
2016-03-30,1022709.74
2016-03-31,1022709.74
2016-04-01,1022709.74
2016-04-05,1022709.74
2016-04-06,1040331.72
2016-04-07,1034224.15
2016-04-08,1035693.77
2016-04-11,1038898.48
2016-04-12,1037899.15
2016-04-13,1038510.33
2016-04-14,1039160.35
2016-04-15,1039822.05
2016-04-18,1038721.76
2016-04-19,1038721.76
2016-04-20,1012444.01
2016-04-21,1009241.49
2016-04-22,1008031.92
2016-04-25,1007998.22
2016-04-26,1008441.5
2016-04-27,1008142.74
2016-04-28,1008658.64
2016-04-29,1008357.96
2016-05-03,1008357.96
2016-05-04,1008357.96
2016-05-05,1009070.24
2016-05-06,1004518.95
2016-05-09,1001123.5
2016-05-10,1001123.5
2016-05-11,1001123.5
2016-05-12,1001123.5
2016-05-13,1001123.5
2016-05-16,1001123.5
2016-05-17,1001123.5
2016-05-18,1001123.5
2016-05-19,1001123.5
2016-05-20,1001123.5
2016-05-23,1001123.5
2016-05-24,1001123.5
2016-05-25,1001123.5
2016-05-26,1001123.5
2016-05-27,1001123.5
2016-05-30,1001123.5
2016-05-31,1001123.5
2016-06-01,1001123.5
2016-06-02,1024533.47
2016-06-03,1038355.9
2016-06-06,1043872.68
2016-06-07,1042981.11
2016-06-08,1041507.33
2016-06-13,1038822.57
2016-06-14,1038822.57
2016-06-15,1038822.57
2016-06-16,1038822.57
2016-06-17,1038822.57
2016-06-20,1044671.05
2016-06-21,1042154.65
2016-06-22,1055362.94
2016-06-23,1051454.68
2016-06-24,1053970.49
2016-06-27,1053970.49
2016-06-28,1053970.49
2016-06-29,1053970.49
2016-06-30,1053970.49
2016-07-01,1053970.49
2016-07-04,1066670.0
2016-07-05,1069256.8
2016-07-06,1069390.1
2016-07-07,1070683.62
2016-07-08,1069345.74
2016-07-11,1069833.56
2016-07-12,1071784.84
2016-07-13,1072760.48
2016-07-14,1072760.48
2016-07-15,1074711.76
2016-07-18,1063625.5
2016-07-19,1064808.45
2016-07-20,1065553.7
2016-07-21,1064773.43
2016-07-22,1064552.47
2016-07-25,1065436.31
2016-07-26,1067424.95
2016-07-27,1067342.59
2016-07-28,1067342.59
2016-07-29,1067342.59
2016-08-01,1057272.28
2016-08-02,1078180.87
2016-08-03,1085632.18
2016-08-04,1083255.14
2016-08-05,1084822.66
2016-08-08,1088436.87
2016-08-09,1088627.16
2016-08-10,1090548.95
2016-08-11,1090458.72
2016-08-12,1090458.72
2016-08-15,1105423.23
2016-08-16,1094951.58
2016-08-17,1094814.14
2016-08-18,1094495.71
2016-08-19,1094779.21
2016-08-22,1094590.21
2016-08-23,1095818.71
2016-08-24,1095875.45
2016-08-25,1095875.45
2016-08-26,1095875.45
2016-08-29,1105285.92
2016-08-30,1103063.3
2016-08-31,1111285.76
2016-09-01,1114642.62
2016-09-02,1118316.8
2016-09-05,1118019.5
2016-09-06,1119406.3
2016-09-07,1118922.63
2016-09-08,1120102.77
2016-09-09,1121086.22
2016-09-12,1105515.49
2016-09-13,1131487.6
2016-09-14,1123526.31
2016-09-19,1128088.51
2016-09-20,1128335.4
2016-09-21,1126900.65
2016-09-22,1126900.65
2016-09-23,1126900.65
2016-09-26,1126900.65
2016-09-27,1126900.65
2016-09-28,1126900.65
2016-09-29,1126900.65
2016-09-30,1126900.65
2016-10-10,1126900.65
2016-10-11,1126900.65
2016-10-12,1126900.65
2016-10-13,1126900.65
2016-10-14,1126900.65
2016-10-17,1126900.65
2016-10-18,1126900.65
2016-10-19,1123073.74
2016-10-20,1115729.89
2016-10-21,1120984.91
2016-10-24,1134162.43
2016-10-25,1132741.44
2016-10-26,1129694.63
2016-10-27,1129310.98
2016-10-28,1129310.98
2016-10-31,1129310.98
2016-11-01,1129310.98
2016-11-02,1120619.15
2016-11-03,1130229.33
2016-11-04,1129951.08
2016-11-07,1143637.77
2016-11-08,1149689.57
2016-11-09,1158598.77
2016-11-10,1151424.37
2016-11-11,1150250.61
2016-11-14,1150250.61
2016-11-15,1150250.61
2016-11-16,1151184.57
2016-11-17,1150432.39
2016-11-18,1154409.06
2016-11-21,1158590.68
2016-11-22,1158867.31
2016-11-23,1157057.26
2016-11-24,1158901.46
2016-11-25,1158532.62
2016-11-28,1158071.18
2016-11-29,1158071.18
2016-11-30,1155357.66
2016-12-01,1159776.53
2016-12-02,1164367.37
2016-12-05,1158544.06
2016-12-06,1156824.76
2016-12-07,1156824.76
2016-12-08,1156824.76
2016-12-09,1156824.76
2016-12-12,1156824.76
2016-12-13,1156824.76
2016-12-14,1156824.76
2016-12-15,1156824.76
2016-12-16,1156824.76
2016-12-19,1156824.76
2016-12-20,1156824.76
2016-12-21,1156824.76
2016-12-22,1156824.76
2016-12-23,1156824.76
2016-12-26,1156824.76
2016-12-27,1156824.76
2016-12-28,1156824.76
2016-12-29,1156824.76
2016-12-30,1156824.76
2017-01-03,1156824.76
2017-01-04,1156824.76
2017-01-05,1156824.76
2017-01-06,1156824.76
2017-01-09,1156824.76
2017-01-10,1156824.76
2017-01-11,1156824.76
2017-01-12,1156824.76
2017-01-13,1156824.76
2017-01-16,1156824.76
2017-01-17,1156824.76
2017-01-18,1156824.76
2017-01-19,1156824.76
2017-01-20,1156824.76
2017-01-23,1156824.76
2017-01-24,1156824.76
2017-01-25,1156824.76
2017-01-26,1155717.52
2017-02-03,1161962.15
2017-02-06,1171942.88
2017-02-07,1169983.85
2017-02-08,1172249.87
2017-02-09,1174049.33
2017-02-10,1172792.0
2017-02-13,1172792.0
2017-02-14,1172792.0
2017-02-15,1172792.0
2017-02-16,1182998.54
2017-02-17,1180234.34
2017-02-20,1182629.17
2017-02-21,1183427.66
2017-02-22,1181714.76
2017-02-23,1181019.92
2017-02-24,1181019.92
2017-02-27,1181019.92
2017-02-28,1181019.92
2017-03-01,1181019.92
2017-03-02,1172714.13
2017-03-03,1176699.38
2017-03-06,1180909.77
2017-03-07,1179966.96
2017-03-08,1176575.23
2017-03-09,1176575.23
2017-03-10,1176575.23
2017-03-13,1176575.23
2017-03-14,1176575.23
2017-03-15,1176575.23
2017-03-16,1175757.92
2017-03-17,1171232.47
2017-03-20,1173245.27
2017-03-21,1172988.5
2017-03-22,1172112.0
2017-03-23,1171672.26
2017-03-24,1171672.26
2017-03-27,1171672.26
2017-03-28,1171672.26
2017-03-29,1171672.26
2017-03-30,1164043.63
2017-03-31,1166838.25
2017-04-05,1171912.77
2017-04-06,1170155.68
2017-04-07,1168466.26
2017-04-10,1168287.25
2017-04-11,1168287.25
2017-04-12,1168287.25
2017-04-13,1168287.25
2017-04-14,1168287.25
2017-04-17,1153467.95
