date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1000000.0
2016-01-07,1000000.0
2016-01-08,1000000.0
2016-01-11,1000000.0
2016-01-12,1000000.0
2016-01-13,1000000.0
2016-01-14,1000000.0
2016-01-15,1000000.0
2016-01-18,1000000.0
2016-01-19,1000000.0
2016-01-20,1000000.0
2016-01-21,1000000.0
2016-01-22,1000000.0
2016-01-25,1000000.0
2016-01-26,1000000.0
2016-01-27,1000000.0
2016-01-28,1000000.0
2016-01-29,1000000.0
2016-02-01,1000000.0
2016-02-02,1000000.0
2016-02-03,1000000.0
2016-02-04,1000000.0
2016-02-05,1000000.0
2016-02-15,1000000.0
2016-02-16,1000000.0
2016-02-17,1000000.0
2016-02-18,1000000.0
2016-02-19,1000000.0
2016-02-22,1000000.0
2016-02-23,986875.76
2016-02-24,999875.03
2016-02-25,1000829.41
2016-02-26,1000829.41
2016-02-29,1000829.41
2016-03-01,1000829.41
2016-03-02,1000829.41
2016-03-03,1000829.41
2016-03-04,1000829.41
2016-03-07,1000829.41
2016-03-08,1001782.97
2016-03-09,1001661.37
2016-03-10,992358.35
2016-03-11,986206.28
2016-03-14,986206.28
2016-03-15,986206.28
2016-03-16,986206.28
2016-03-17,986206.28
2016-03-18,986206.28
2016-03-21,986206.28
2016-03-22,1016731.16
2016-03-23,1032892.1
2016-03-24,1029125.29
2016-03-25,1026472.82
2016-03-28,1015741.71
2016-03-29,1012243.92
2016-03-30,1012243.92
2016-03-31,1012243.92
2016-04-01,1012243.92
2016-04-05,1012243.92
2016-04-06,1029685.27
2016-04-07,1023640.2
2016-04-08,1025094.78
2016-04-11,1028266.72
2016-04-12,1027277.6
2016-04-13,1027882.49
2016-04-14,1028525.86
2016-04-15,1029180.8
2016-04-18,1028091.76
2016-04-19,1028091.76
2016-04-20,1002082.38
2016-04-21,998912.66
2016-04-22,997715.54
2016-04-25,997682.18
2016-04-26,998120.94
2016-04-27,997825.23
2016-04-28,998335.87
2016-04-29,998038.25
2016-05-03,998038.25
2016-05-04,998038.25
2016-05-05,996405.03
2016-05-06,991489.82
2016-05-09,987199.13
2016-05-10,987199.13
2016-05-11,987199.13
2016-05-12,987199.13
2016-05-13,987199.13
2016-05-16,987199.13
2016-05-17,987199.13
2016-05-18,987199.13
2016-05-19,987199.13
2016-05-20,987199.13
2016-05-23,987199.13
2016-05-24,987199.13
2016-05-25,987199.13
2016-05-26,987199.13
2016-05-27,987199.13
2016-05-30,987199.13
2016-05-31,987199.13
2016-06-01,987199.13
2016-06-02,1007732.09
2016-06-03,1022645.54
2016-06-06,1026833.91
2016-06-07,1024373.93
2016-06-08,1022275.19
2016-06-13,1019158.41
2016-06-14,1019158.41
2016-06-15,1019158.41
2016-06-16,1019158.41
2016-06-17,1019158.41
2016-06-20,1024896.34
2016-06-21,1022427.47
2016-06-22,1035385.62
2016-06-23,1031551.37
2016-06-24,1034019.42
2016-06-27,1034019.42
2016-06-28,1034019.42
2016-06-29,1034019.42
2016-06-30,1034019.42
2016-07-01,1034019.42
2016-07-04,1044772.91
2016-07-05,1047899.96
2016-07-06,1048030.76
2016-07-07,1049220.22
2016-07-08,1047907.65
2016-07-11,1048386.24
2016-07-12,1050300.6
2016-07-13,1051257.78
2016-07-14,1051257.78
2016-07-15,1053172.14
2016-07-18,1042788.76
2016-07-19,1043583.68
2016-07-20,1044314.01
2016-07-21,1043549.42
2016-07-22,1043332.89
2016-07-25,1044199.01
2016-07-26,1046147.78
2016-07-27,1046067.07
2016-07-28,1046067.07
2016-07-29,1046067.07
2016-08-01,1036197.49
2016-08-02,1056689.34
2016-08-03,1063992.08
2016-08-04,1061662.42
2016-08-05,1063198.74
2016-08-08,1066740.9
2016-08-09,1066927.4
2016-08-10,1068810.93
2016-08-11,1068722.49
2016-08-12,1068722.49
2016-08-15,1083388.74
2016-08-16,1073125.82
2016-08-17,1072991.1
2016-08-18,1072679.1
2016-08-19,1072956.96
2016-08-22,1072771.72
2016-08-23,1073975.78
2016-08-24,1074031.39
2016-08-25,1074031.39
2016-08-26,1074031.39
2016-08-29,1085334.68
2016-08-30,1079458.75
2016-08-31,1087363.46
2016-09-01,1090554.6
2016-09-02,1094155.55
2016-09-05,1093864.2
2016-09-06,1095223.35
2016-09-07,1094749.33
2016-09-08,1095905.95
2016-09-09,1096869.8
2016-09-12,1081630.86
2016-09-13,1107041.85
2016-09-14,1099252.6
2016-09-19,1103716.26
2016-09-20,1103957.81
2016-09-21,1102554.05
2016-09-22,1102554.05
2016-09-23,1102554.05
2016-09-26,1102554.05
2016-09-27,1102554.05
2016-09-28,1102554.05
2016-09-29,1102554.05
2016-09-30,1102554.05
2016-10-10,1102554.05
2016-10-11,1102554.05
2016-10-12,1102554.05
2016-10-13,1102554.05
2016-10-14,1102554.05
2016-10-17,1102554.05
2016-10-18,1102554.05
2016-10-19,1098809.87
2016-10-20,1091624.85
2016-10-21,1096766.35
2016-10-24,1109659.34
2016-10-25,1108269.07
2016-10-26,1105288.02
2016-10-27,1104912.65
2016-10-28,1104912.65
2016-10-31,1104912.65
2016-11-01,1104912.65
2016-11-02,1096408.67
2016-11-03,1105810.93
2016-11-04,1105538.72
2016-11-07,1118959.0
2016-11-08,1124897.19
2016-11-09,1133640.31
2016-11-10,1126601.91
2016-11-11,1125450.4
2016-11-14,1125450.4
2016-11-15,1125450.4
2016-11-16,1128607.94
2016-11-17,1126980.96
2016-11-18,1130872.1
2016-11-21,1134963.98
2016-11-22,1135234.67
2016-11-23,1133463.47
2016-11-24,1135268.07
2016-11-25,1134907.15
2016-11-28,1134455.61
2016-11-29,1134455.61
2016-11-30,1131797.35
2016-12-01,1136126.13
2016-12-02,1140623.39
2016-12-05,1134918.87
2016-12-06,1133234.61
2016-12-07,1133234.61
2016-12-08,1133234.61
2016-12-09,1133234.61
2016-12-12,1133234.61
2016-12-13,1133234.61
2016-12-14,1133234.61
2016-12-15,1133234.61
2016-12-16,1133234.61
2016-12-19,1133234.61
2016-12-20,1133234.61
2016-12-21,1133234.61
2016-12-22,1133234.61
2016-12-23,1133234.61
2016-12-26,1133234.61
2016-12-27,1133234.61
2016-12-28,1133234.61
2016-12-29,1133234.61
2016-12-30,1133234.61
2017-01-03,1133234.61
2017-01-04,1133234.61
2017-01-05,1133234.61
2017-01-06,1133234.61
2017-01-09,1133234.61
2017-01-10,1133234.61
2017-01-11,1133234.61
2017-01-12,1133234.61
2017-01-13,1133234.61
2017-01-16,1133234.61
2017-01-17,1133234.61
2017-01-18,1133234.61
2017-01-19,1133234.61
2017-01-20,1133234.61
2017-01-23,1133234.61
2017-01-24,1133234.61
2017-01-25,1133234.61
2017-01-26,1132980.22
2017-02-03,1137558.01
2017-02-06,1146928.31
2017-02-07,1146043.91
2017-02-08,1148263.79
2017-02-09,1150026.53
2017-02-10,1148794.85
2017-02-13,1148794.85
2017-02-14,1148794.85
2017-02-15,1148794.85
2017-02-16,1158792.58
2017-02-17,1156084.93
2017-02-20,1158430.75
2017-02-21,1159212.9
2017-02-22,1157535.05
2017-02-23,1156854.42
2017-02-24,1156854.42
2017-02-27,1156854.42
2017-02-28,1156854.42
2017-03-01,1156854.42
2017-03-02,1149204.27
2017-03-03,1154361.77
2017-03-06,1159545.93
2017-03-07,1158403.09
2017-03-08,1155080.74
2017-03-09,1155080.74
2017-03-10,1155080.74
2017-03-13,1155080.74
2017-03-14,1155080.74
2017-03-15,1155080.74
2017-03-16,1154278.2
2017-03-17,1149835.35
2017-03-20,1151811.4
2017-03-21,1151559.34
2017-03-22,1150698.84
2017-03-23,1150267.13
2017-03-24,1150267.13
2017-03-27,1150267.13
2017-03-28,1150267.13
2017-03-29,1150267.13
2017-03-30,1142778.19
2017-03-31,1145521.56
2017-04-05,1150503.25
2017-04-06,1148778.34
2017-04-07,1147119.82
2017-04-10,1146944.07
2017-04-11,1146944.07
2017-04-12,1146944.07
2017-04-13,1146944.07
2017-04-14,1146944.07
2017-04-17,1132395.84
2017-04-18,1134769.39
2017-04-19,1132968.17
