entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2017-07-25,2018-01-25,long,204800,0.61,0.66,10107.39,8.2,184,sh510160,sh510160,sh510160
2017-07-25,2018-01-25,long,85800,1.456,1.713,21909.14,17.65,184,sz159920,sz159920,sz159920
2017-07-25,2018-01-25,long,36900,3.386,3.774,14181.52,11.46,184,sh510180,sh510180,sh510180
2017-07-25,2018-01-25,long,82800,1.509,1.839,27178.56,21.87,184,sz159923,sz159923,sz159923
2017-07-25,2018-01-25,long,30800,4.055,4.74,20957.28,16.89,184,sh510330,sh510330,sh510330
2017-07-25,2018-01-25,long,41100,3.035,3.268,9444.38,7.68,184,sh510880,sh510880,sh510880
2018-01-25,2018-02-06,long,38300,3.738,3.37,-14226.99,-9.84,12,sz159902,sz159902,sz159902
2018-01-25,2018-02-07,long,72900,1.963,1.825,-10195.76,-7.03,13,sz159905,sz159905,sz159905
2018-01-25,2018-02-09,long,42700,3.35,3.075,-11876.74,-8.21,15,sh510710,sh510710,sh510710
2018-01-25,2018-02-09,long,51200,2.797,2.503,-15184.72,-10.51,15,sh513600,sh513600,sh513600
2018-01-25,2018-02-09,long,32600,4.388,3.905,-15877.04,-11.01,15,sh510300,sh510300,sh510300
2017-07-25,2018-07-02,long,46200,2.7,2.49,-9819.46,-7.78,342,sh510050,sh510050,sh510050
2017-07-25,2018-07-05,long,30500,4.088,3.694,-12132.67,-9.64,345,sz159919,sz159919,sz159919
2019-02-14,2019-08-16,long,44800,2.824,3.409,26061.83,20.72,183,sz159934,sz159934,sz159934
2019-02-14,2019-08-16,long,44800,2.826,3.406,25837.91,20.52,183,sh518800,sh518800,sh518800
2019-02-14,2019-08-16,long,1200,99.995,99.978,-140.38,-0.02,183,sh511770,sh511770,sh511770
2019-02-14,2019-08-16,long,1200,100.0,99.981,-142.78,-0.02,183,sh511920,sh511920,sh511920
2019-02-14,2019-08-16,long,1100,106.78,108.566,1845.67,1.67,183,sh511260,sh511260,sh511260
2019-02-14,2019-08-16,long,1200,99.994,99.992,-122.39,-0.0,183,sh511960,sh511960,sh511960
2019-02-14,2019-08-16,long,44500,2.847,3.436,26064.15,20.69,183,sz159937,sz159937,sz159937
2019-08-16,2020-02-27,long,183300,0.752,0.888,24772.26,18.09,195,sh512680,sh512680,sh512680
2019-08-16,2020-02-27,long,76100,1.811,1.984,13017.61,9.55,195,sz159905,sz159905,sz159905
2019-08-16,2020-02-27,long,48100,2.864,2.894,1304.16,1.05,195,sh510050,sh510050,sh510050
2019-08-16,2020-02-27,long,154500,0.892,1.059,25644.33,18.72,195,sh512880,sh512880,sh512880
2019-08-16,2020-02-27,long,134300,1.026,1.094,8987.76,6.63,195,sh510800,sh510800,sh510800
2019-08-16,2020-02-27,long,43900,3.136,3.286,6442.39,4.78,195,sh510710,sh510710,sh510710
2019-02-14,2020-02-27,long,156700,0.809,1.028,34164.79,27.07,378,sh512900,sh512900,sh512900
2020-02-27,2020-03-16,long,82400,1.865,1.737,-10692.97,-6.86,18,sz159908,sz159908,sz159908
2020-02-27,2020-03-16,long,119400,1.288,1.182,-12800.69,-8.23,18,sz159958,sz159958,sz159958
2020-02-27,2020-03-16,long,118300,1.3,1.205,-11383.86,-7.31,18,sz159957,sz159957,sz159957
2020-02-27,2020-03-16,long,163600,0.94,0.862,-12905.01,-8.3,18,sh512980,sh512980,sh512980
2020-02-27,2020-03-16,long,41200,3.727,3.462,-11063.36,-7.11,18,sz159902,sz159902,sz159902
2020-02-27,2020-03-17,long,101000,1.522,1.393,-13172.95,-8.48,19,sz159912,sz159912,sz159912
2019-08-16,2020-08-31,long,78900,1.745,2.33,45984.2,33.52,381,sz159910,sz159910,sz159910
2020-08-31,2021-03-11,long,109300,1.351,1.409,6186.98,4.29,192,sh512380,sh512380,sh512380
2020-08-31,2021-03-11,long,94100,1.569,1.627,5306.06,3.7,192,sh512090,sh512090,sh512090
2020-08-31,2021-03-11,long,19900,7.387,6.712,-13569.43,-9.14,192,sh510500,sh510500,sh510500
2020-08-31,2021-03-11,long,95000,1.555,1.727,16180.02,11.06,192,sh512550,sh512550,sh512550
2020-08-31,2021-03-11,long,91500,1.613,1.768,14024.27,9.61,192,sh512150,sh512150,sh512150
2020-08-31,2021-03-11,long,78900,1.871,1.978,8288.35,5.72,192,sh512770,sh512770,sh512770
