entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2017-03-22,2017-03-30,long,11500,5.76,5.19,-6616.32,-9.9,8,sz002109,sz002109,sz002109
2017-03-22,2017-04-10,long,3300,19.88,19.72,-593.21,-0.8,19,sh603636,sh603636,sh603636
2017-03-22,2017-04-12,long,7600,8.69,7.9,-6065.54,-9.09,21,sz000731,sz000731,sz000731
2017-03-22,2017-04-18,long,7400,8.92,8.28,-4798.46,-7.17,27,sh600761,sh600761,sh600761
2017-03-22,2017-04-20,long,5300,12.44,11.2,-6633.0,-9.97,29,sz300281,sz300281,sz300281
2017-03-22,2017-04-27,long,9700,6.87,7.69,7881.4,11.94,36,sz002372,sz002372,sz002372
2017-03-22,2017-05-03,long,5300,12.52,11.34,-6315.67,-9.42,42,sz002092,sz002092,sz002092
2017-03-22,2017-05-24,long,2700,24.06,26.24,5816.62,9.06,63,sz000333,sz000333,sz000333
2017-03-22,2017-05-24,long,6100,10.81,11.64,4993.26,7.68,63,sz002035,sz002035,sz002035
2017-03-22,2017-05-24,long,200,316.38,366.9,10033.15,15.97,63,sh600519,sh600519,sh600519
2017-03-22,2017-05-24,long,8000,8.29,9.58,10245.94,15.56,63,sz002271,sz002271,sz002271
2017-03-22,2017-05-24,long,4900,13.58,15.27,8208.25,12.44,63,sh600056,sh600056,sh600056
2017-03-22,2017-05-24,long,4400,14.9,17.4,10926.19,16.78,63,sh600703,sh600703,sh600703
2017-05-24,2017-05-25,long,4400,15.52,13.6,-8509.95,-12.37,1,sh603997,sh603997,sh603997
2017-05-24,2017-05-25,long,1800,38.22,35.0,-5860.45,-8.42,1,sz000820,sz000820,sz000820
2017-05-24,2017-07-07,long,2400,28.06,26.72,-3280.93,-4.78,44,sh600196,sh600196,sh600196
2017-05-24,2017-07-07,long,4100,16.64,16.46,-805.67,-1.08,44,sh603288,sh603288,sh603288
2017-05-24,2017-07-18,long,6300,10.9,11.78,5471.17,8.07,55,sz002086,sz002086,sz002086
2017-05-24,2017-07-25,long,3600,18.91,21.06,7666.12,11.37,62,sz002451,sz002451,sz002451
2017-05-24,2017-07-25,long,18100,3.79,4.13,6080.79,8.97,62,sh601939,sh601939,sh601939
2017-05-24,2017-07-25,long,21000,3.27,3.4,2659.28,3.98,62,sh600028,sh600028,sh600028
2017-05-24,2017-07-25,long,10500,6.56,6.44,-1327.93,-1.83,62,sh601933,sh601933,sh601933
2017-05-24,2017-07-25,long,5100,13.37,14.65,6454.92,9.57,62,sh601155,sh601155,sh601155
2017-05-24,2017-07-25,long,10900,6.27,7.14,9407.54,13.88,62,sz002408,sz002408,sz002408
2017-03-22,2017-07-25,long,5900,11.19,10.6,-3544.41,-5.27,125,sz002122,sz002122,sz002122
2017-05-24,2017-07-25,long,3300,20.77,20.36,-1420.53,-1.97,62,sh600518,sh600518,sh600518
2017-03-22,2017-07-25,long,4200,15.63,18.46,11811.44,18.11,125,sh600660,sh600660,sh600660
2017-07-25,2017-08-04,long,8700,8.15,8.01,-1287.99,-1.72,10,sh600183,sh600183,sh600183
2017-07-25,2017-08-11,long,13100,5.41,6.08,8699.55,12.38,17,sz000830,sz000830,sz000830
2017-07-25,2017-08-14,long,4600,15.25,14.28,-4528.8,-6.36,20,sz002028,sz002028,sz002028
2017-07-25,2017-08-16,long,12800,5.52,6.03,6452.45,9.24,22,sh601012,sh601012,sh601012
2017-07-25,2017-08-28,long,7700,9.19,9.21,83.12,0.22,34,sz000759,sz000759,sz000759
2017-07-25,2017-09-21,long,4600,15.43,16.78,6134.36,8.75,58,sz002384,sz002384,sz002384
2017-07-25,2017-09-21,long,6900,10.27,11.3,7030.81,10.03,58,sz002677,sz002677,sz002677
2017-07-25,2017-09-21,long,5500,12.72,11.88,-4686.49,-6.6,58,sh600004,sh600004,sh600004
