date,value
2016-01-04,1000000.0
2016-01-05,1000000.0
2016-01-06,1024015.51
2016-01-07,940039.27
2016-01-08,940532.0
2016-01-11,876752.89
2016-01-12,881257.34
2016-01-13,846005.11
2016-01-14,882420.28
2016-01-15,855608.4
2016-01-18,867656.32
2016-01-19,898549.26
2016-01-20,889006.15
2016-01-21,851764.32
2016-01-22,858425.0
2016-01-25,867239.55
2016-01-26,803982.9
2016-01-27,794980.99
2016-01-28,754598.45
2016-01-29,785844.22
2016-02-01,776978.34
2016-02-02,810101.14
2016-02-03,816128.61
2016-02-04,826119.62
2016-02-05,819355.38
2016-02-15,819575.51
2016-02-16,842326.2
2016-02-17,848951.66
2016-02-18,844903.77
2016-02-19,848535.46
2016-02-22,859453.41
2016-02-23,853626.86
2016-02-24,855226.29
2016-02-25,810935.61
2016-02-26,809411.75
2016-02-29,782964.7
2016-03-01,796000.97
2016-03-02,820166.53
2016-03-03,819306.38
2016-03-04,808177.19
2016-03-07,815808.9
2016-03-08,819692.35
2016-03-09,812076.23
2016-03-10,800574.78
2016-03-11,801205.14
2016-03-14,814171.14
2016-03-15,811730.08
2016-03-16,808662.03
2016-03-17,822726.53
2016-03-18,837194.02
2016-03-21,853518.65
2016-03-22,851851.03
2016-03-23,855304.61
2016-03-24,844684.04
2016-03-25,847872.84
2016-03-28,842656.13
2016-03-29,834952.27
2016-03-30,851870.91
2016-03-31,852260.81
2016-04-01,848833.73
2016-04-05,860321.32
2016-04-06,861306.43
2016-04-07,852129.25
2016-04-08,847125.83
2016-04-11,858953.79
2016-04-12,856342.28
2016-04-13,864240.08
2016-04-14,868406.31
2016-04-15,866368.58
2016-04-18,856082.96
2016-04-19,858095.64
2016-04-20,837301.55
2016-04-21,830057.26
2016-04-22,834817.77
2016-04-25,831235.57
2016-04-26,837181.04
2016-04-27,833589.4
2016-04-28,833298.57
2016-04-29,831333.26
2016-05-03,845624.34
2016-05-04,844949.27
2016-05-05,847445.08
2016-05-06,828177.93
2016-05-09,812166.95
2016-05-10,811708.81
2016-05-11,808611.88
2016-05-12,810259.54
2016-05-13,807484.01
2016-05-16,814364.98
2016-05-17,819041.04
2016-05-18,809804.03
2016-05-19,811421.02
2016-05-20,816570.26
2016-05-23,821000.76
2016-05-24,816357.91
2016-05-25,817491.57
2016-05-26,819552.54
2016-05-27,818437.72
2016-05-30,818051.56
2016-05-31,839660.87
2016-06-01,842074.21
2016-06-02,845639.95
2016-06-03,848628.49
2016-06-06,850039.39
2016-06-07,852519.18
2016-06-08,851407.46
2016-06-13,824719.83
2016-06-14,824058.3
2016-06-15,837891.57
2016-06-16,838996.92
2016-06-17,843331.91
2016-06-20,848355.99
2016-06-21,844296.95
2016-06-22,848007.74
2016-06-23,847512.02
2016-06-24,839788.57
2016-06-27,839921.66
2016-06-28,847683.91
2016-06-29,855048.26
2016-06-30,853519.75
2016-07-01,857061.06
2016-07-04,865167.22
2016-07-05,862851.64
2016-07-06,871337.82
2016-07-07,874900.04
2016-07-08,875011.14
2016-07-11,877766.88
2016-07-12,886300.37
2016-07-13,888709.26
2016-07-14,886556.16
2016-07-15,885536.31
2016-07-18,878319.48
2016-07-19,878610.14
2016-07-20,875471.55
2016-07-21,872526.71
2016-07-22,862083.25
2016-07-25,855551.96
2016-07-26,866449.76
2016-07-27,838705.01
2016-07-28,838110.65
2016-07-29,830839.35
2016-08-01,822686.32
2016-08-02,826881.27
2016-08-03,830347.83
2016-08-04,833743.36
2016-08-05,828984.3
2016-08-08,829514.36
2016-08-09,836834.33
2016-08-10,839722.04
2016-08-11,836437.6
2016-08-12,841026.14
2016-08-15,851672.43
2016-08-16,853086.24
2016-08-17,851107.95
2016-08-18,851931.95
2016-08-19,851035.38
2016-08-22,847756.04
2016-08-23,849105.04
2016-08-24,845296.73
2016-08-25,842490.31
2016-08-26,843723.95
2016-08-29,844159.95
2016-08-30,844036.14
2016-08-31,844638.14
2016-09-01,842299.5
2016-09-02,842056.13
2016-09-05,845860.89
2016-09-06,851840.47
2016-09-07,851070.48
2016-09-08,853582.34
2016-09-09,856299.31
2016-09-12,835748.45
2016-09-13,832706.64
2016-09-14,832846.16
2016-09-18,832846.16
2016-09-19,843041.55
2016-09-20,841055.23
2016-09-21,848063.16
2016-09-22,849670.77
2016-09-23,847421.14
2016-09-26,836277.56
2016-09-27,842929.67
2016-09-28,843311.74
2016-09-29,846393.97
2016-09-30,837079.96
2016-10-10,844789.74
2016-10-11,849086.18
2016-10-12,845571.0
2016-10-13,835567.15
2016-10-14,839447.22
2016-10-17,836389.17
2016-10-18,836389.17
2016-10-19,836389.17
2016-10-20,836389.17
2016-10-21,836389.17
2016-10-24,836389.17
2016-10-25,836389.17
2016-10-26,836389.17
2016-10-27,836389.17
2016-10-28,836389.17
2016-10-31,836389.17
2016-11-01,836389.17
2016-11-02,836389.17
2016-11-03,836389.17
2016-11-04,836389.17
2016-11-07,836389.17
2016-11-08,836389.17
2016-11-09,836389.17
2016-11-10,836389.17
2016-11-11,836389.17
2016-11-14,836389.17
2016-11-15,836389.17
2016-11-16,835745.23
2016-11-17,838152.52
2016-11-18,831525.46
2016-11-21,834816.5
2016-11-22,844554.27
2016-11-23,838828.93
2016-11-24,839597.3
2016-11-25,844183.5
2016-11-28,852669.15
2016-11-29,845835.94
2016-11-30,832441.58
2016-12-01,835504.32
2016-12-02,826473.75
2016-12-05,817357.24
2016-12-06,816251.62
2016-12-07,825945.03
2016-12-08,821666.56
2016-12-09,823781.08
2016-12-12,795058.94
2016-12-13,797293.09
2016-12-14,792480.99
2016-12-15,788142.27
2016-12-16,790459.73
2016-12-19,788635.06
2016-12-20,787223.86
2016-12-21,793321.42
2016-12-22,794524.85
2016-12-23,790845.77
2016-12-26,793886.29
2016-12-27,793646.01
2016-12-28,790713.57
2016-12-29,790099.83
2016-12-30,789162.64
2016-12-31,789152.49
2017-01-03,797293.75
2017-01-04,802499.6
2017-01-05,804596.72
2017-01-06,800283.84
2017-01-09,801433.86
2017-01-10,799467.97
2017-01-11,797152.32
2017-01-12,792559.89
2017-01-13,790002.72
2017-01-16,787144.15
2017-01-17,789211.92
2017-01-18,788265.98
2017-01-19,785112.34
2017-01-20,790155.38
2017-01-22,790155.38
2017-01-23,789615.59
2017-01-24,793323.69
2017-01-25,799148.34
2017-01-26,799883.06
2017-02-03,794496.34
2017-02-04,794496.34
2017-02-06,794119.28
2017-02-07,791353.92
2017-02-08,795034.47
2017-02-09,799457.3
2017-02-10,805683.69
2017-02-13,808317.91
2017-02-14,810751.93
2017-02-15,807963.66
2017-02-16,811551.29
2017-02-17,804444.22
2017-02-20,813059.71
2017-02-21,815411.95
2017-02-22,818779.79
2017-02-23,814688.93
2017-02-24,813225.19
2017-02-27,809479.56
2017-02-28,810742.55
2017-03-01,813482.62
2017-03-02,808803.68
2017-03-03,806281.61
2017-03-06,808767.23
2017-03-07,807940.58
2017-03-08,808019.82
2017-03-09,802235.58
2017-03-10,802655.62
2017-03-13,808163.64
2017-03-14,808422.24
2017-03-15,811664.43
2017-03-16,817174.17
2017-03-17,814424.06
2017-03-20,817304.73
2017-03-21,819502.34
2017-03-22,819068.44
2017-03-23,818859.68
2017-03-24,820323.23
2017-03-27,813393.38
2017-03-28,815878.33
2017-03-29,818174.05
2017-03-30,814713.42
2017-03-31,816283.59
2017-04-01,816283.59
2017-04-05,821056.95
2017-04-06,820374.58
2017-04-07,821387.02
2017-04-10,817683.45
2017-04-11,814373.76
2017-04-12,815241.55
2017-04-13,814893.24
2017-04-14,812902.8
2017-04-17,815519.76
2017-04-18,818315.06
2017-04-19,816955.41
2017-04-20,824299.17
2017-04-21,820285.39
2017-04-24,811959.72
2017-04-25,817630.69
2017-04-26,818554.95
2017-04-27,821705.78
2017-04-28,820116.58
2017-05-02,820086.22
2017-05-03,819673.98
2017-05-04,818163.44
2017-05-05,812882.28
2017-05-08,803755.59
2017-05-09,807142.19
2017-05-10,804105.06
2017-05-11,807976.39
2017-05-12,808637.47
2017-05-15,812397.59
2017-05-16,823868.64
