entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2016-01-05,2016-02-03,long,157232,1.272,1.077,-30660.24,-15.33,29,163209,163209,163209
2016-01-05,2016-02-03,long,161550,1.238,1.005,-37641.15,-18.82,29,164304,164304,164304
2016-01-05,2016-02-03,long,156006,1.282,1.058,-34945.34,-17.47,29,165511,165511,165511
2016-01-05,2016-02-03,long,164907,1.2128,1.0209,-31645.65,-15.82,29,160224,160224,160224
2016-01-05,2016-02-03,long,171071,1.1691,0.9564,-36386.8,-18.19,29,162107,162107,162107
2016-02-03,2016-03-10,long,162653,1.019,0.984,-5692.85,-3.43,36,161024,161024,161024
2016-02-03,2016-03-10,long,161276,1.0277,1.023,-758.0,-0.46,36,502010,502010,502010
2016-02-03,2016-03-10,long,162653,1.019,0.9905,-4635.61,-2.8,36,502003,502003,502003
2016-02-03,2016-04-11,long,165744,1.0,1.091,15082.7,9.1,68,165515,165515,165515
2016-02-03,2016-04-11,long,119757,1.384,1.393,1077.81,0.65,68,001342,001342,001342
2016-04-11,2016-05-11,long,139462,1.2,1.085,-16038.13,-9.58,30,160629,160629,160629
2016-04-11,2016-06-13,long,105787,1.582,1.585,317.36,0.19,63,001903,001903,001903
2016-04-11,2016-06-13,long,120573,1.388,1.394,723.44,0.43,63,002186,002186,002186
2016-03-10,2016-07-12,long,112745,1.462,1.4975,4002.45,2.43,124,001380,001380,001380
2016-03-10,2016-07-12,long,106551,1.547,1.582,3729.29,2.26,124,001315,001315,001315
2016-07-12,2016-08-10,long,300380,0.5556,0.5262,-8831.17,-5.29,29,100022,100022,100022
2016-07-12,2016-08-10,long,115736,1.442,1.301,-16318.78,-9.78,29,001302,001302,001302
2016-08-10,2016-09-08,long,107939,1.4969,1.5004,377.79,0.23,29,002441,002441,002441
2016-06-13,2016-09-08,long,68387,2.406,2.487,5539.35,3.37,87,002059,002059,002059
2016-09-08,2016-10-17,long,130013,1.2501,1.2227,-3562.36,-2.19,39,000071,000071,000071
2016-09-08,2016-10-17,long,163675,0.993,0.991,-327.35,-0.2,39,000934,000934,000934
2016-08-10,2016-10-17,long,101364,1.594,1.608,1419.1,0.88,68,002425,002425,002425
2016-06-13,2016-10-17,long,71539,2.3,2.35,3576.95,2.17,126,002061,002061,002061
2016-11-15,2016-12-14,long,134509,1.202,1.154,-6456.43,-3.99,29,165525,165525,165525
2016-11-15,2016-12-14,long,125042,1.293,1.142,-18881.34,-11.68,29,161724,161724,161724
2016-11-15,2016-12-14,long,123232,1.312,1.134,-21935.3,-13.57,29,161032,161032,161032
2016-11-15,2016-12-14,long,182072,0.888,0.787,-18389.27,-11.37,29,168204,168204,168204
2016-11-15,2016-12-14,long,99618,1.623,1.6,-2291.21,-1.42,29,002425,002425,002425
2016-12-14,2017-01-12,long,1429438,0.1036,0.1012,-3430.65,-2.32,29,001481,001481,001481
2016-12-14,2017-01-12,long,149888,0.988,0.976,-1798.66,-1.21,29,163208,163208,163208
2016-12-14,2017-01-12,long,275875,0.5368,0.5324,-1213.85,-0.82,29,510160,510160,510160
2016-12-14,2017-02-15,long,144477,1.025,0.991,-4912.22,-3.32,63,160416,160416,160416
2017-01-12,2017-02-15,long,134241,1.091,1.144,7114.77,4.86,34,001662,001662,001662
2016-12-14,2017-02-15,long,207118,0.715,0.686,-6006.42,-4.06,63,162411,162411,162411
2017-01-12,2017-03-16,long,213494,0.686,0.678,-1707.95,-1.17,63,378546,378546,378546
2017-02-15,2017-03-16,long,117370,1.253,1.251,-234.74,-0.16,29,165525,165525,165525
2017-03-16,2017-04-17,long,121119,1.204,1.172,-3875.81,-2.66,32,050015,050015,050015
2017-02-15,2017-04-17,long,124063,1.1854,1.1988,1662.44,1.13,61,002533,002533,002533
2017-03-16,2017-04-17,long,834252,0.1748,0.1707,-3420.43,-2.35,32,000927,000927,000927
2017-04-17,2017-05-17,long,57494,2.517,2.491,-1494.84,-1.03,30,519091,519091,519091
2017-04-17,2017-05-17,long,107914,1.341,1.359,1942.45,1.34,30,000892,000892,000892
2017-04-17,2017-05-17,long,107914,1.341,1.358,1834.54,1.27,30,002028,002028,002028
2017-02-15,2017-05-17,long,94031,1.564,1.568,376.12,0.26,91,002534,002534,002534
2017-05-17,2017-07-18,long,145917,0.9941,0.8845,-15992.5,-11.03,62,164818,164818,164818
2017-05-17,2017-07-18,long,141436,1.0256,0.9029,-17354.2,-11.96,62,160420,160420,160420
2017-07-18,2017-08-16,long,105629,1.252,1.229,-2429.47,-1.84,29,002778,002778,002778
2017-05-17,2017-09-14,long,66387,2.185,1.768,-27683.38,-19.08,120,001387,001387,001387
2017-05-17,2017-09-14,long,69551,2.0856,2.1622,5327.61,3.67,120,003142,003142,003142
2017-05-17,2017-10-20,long,140558,1.032,1.148,16304.73,11.24,156,161025,161025,161025
2017-09-14,2017-10-20,long,130706,1.045,1.043,-261.41,-0.19,36,161030,161030,161030
2017-08-16,2017-10-20,long,78263,1.7179,1.3733,-26969.43,-20.06,65,004008,004008,004008
2017-09-14,2017-10-20,long,78372,1.7428,1.3643,-29663.8,-21.72,36,004009,004009,004009
2017-10-20,2017-11-20,long,46915,2.671,2.924,11869.5,9.47,31,398061,398061,398061
2017-10-20,2017-11-20,long,40061,3.128,3.235,4286.53,3.42,31,377240,377240,377240
2017-10-20,2017-11-20,long,39959,3.136,3.244,4315.57,3.44,31,960007,960007,960007
2017-10-20,2017-11-20,long,65403,1.916,2.072,10202.87,8.14,31,001542,001542,001542
2017-11-20,2017-12-19,long,101476,1.3174,1.327,974.17,0.73,29,160222,160222,160222
2017-11-20,2018-01-16,long,80137,1.6682,1.4569,-16932.95,-12.67,57,004223,004223,004223
2017-10-20,2018-01-16,long,95658,1.31,1.437,12148.57,9.69,88,519772,519772,519772
2017-12-19,2018-01-16,long,107618,1.223,1.254,3336.16,2.53,28,003119,003119,003119
2017-12-19,2018-02-13,long,128910,1.021,0.85,-22043.61,-16.75,56,161628,161628,161628
2018-01-16,2018-02-13,long,50076,2.5781,2.3008,-13886.07,-10.76,28,512600,512600,512600
2018-01-16,2018-02-13,long,50729,2.5449,2.2698,-13955.55,-10.81,28,159928,159928,159928
2017-11-20,2018-03-21,long,58091,2.3013,2.201,-5826.53,-4.36,121,002163,002163,002163
2018-02-13,2018-04-20,long,119476,1.003,0.98,-2747.95,-2.29,66,160639,160639,160639
2018-01-16,2018-05-22,long,87633,1.4732,1.4515,-1901.64,-1.47,126,550016,550016,550016
2018-03-21,2018-06-21,long,109251,1.115,0.897,-23816.72,-19.55,92,164402,164402,164402
2018-02-13,2018-06-21,long,119002,1.007,0.832,-20825.35,-17.38,128,161720,161720,161720
2018-05-22,2018-06-21,long,105647,1.1387,0.9173,-23390.25,-19.44,30,163115,163115,163115
2018-04-20,2018-08-17,long,31071,3.916,3.951,1087.49,0.89,119,519760,519760,519760
2018-06-21,2018-08-17,long,108740,0.975,0.896,-8590.46,-8.1,57,164905,164905,164905
2018-06-21,2018-09-17,long,109413,0.969,0.903,-7221.26,-6.81,88,165522,165522,165522
2018-06-21,2018-10-24,long,107309,0.988,0.953,-3755.82,-3.54,125,167503,167503,167503
2018-09-17,2018-10-24,long,104564,0.986,1.012,2718.66,2.64,37,160633,160633,160633
2018-08-17,2018-12-21,long,30822,3.393,3.48,2681.51,2.56,126,003105,003105,003105
2018-08-17,2018-12-21,long,30849,3.39,3.479,2745.56,2.63,126,003106,003106,003106
2018-10-24,2019-02-27,long,90980,1.128,0.993,-12282.3,-11.97,126,161027,161027,161027
2018-10-24,2019-02-27,long,90827,1.1299,1.0089,-10990.07,-10.71,126,160419,160419,160419
2019-02-27,2019-03-28,long,77506,1.292,1.501,16198.75,16.18,29,160632,160632,160632
2019-02-27,2019-03-28,long,93273,1.0736,1.1022,2667.61,2.66,29,160422,160422,160422
2018-12-21,2019-04-29,long,57273,1.8281,1.8286,28.64,0.03,129,003255,003255,003255
2018-12-21,2019-04-29,long,58131,1.8011,1.804,168.58,0.16,129,003254,003254,003254
2019-03-28,2019-04-29,long,83911,1.2391,1.2486,797.15,0.77,32,160219,160219,160219
2019-03-28,2019-05-31,long,59745,1.7403,1.6946,-2730.35,-2.63,64,006109,006109,006109
2019-04-29,2019-05-31,long,35603,2.9204,2.724,-6992.43,-6.73,32,510850,510850,510850
2019-04-29,2019-05-31,long,75263,1.3815,1.3104,-5351.2,-5.15,32,161725,161725,161725
2019-05-31,2019-07-01,long,99711,0.9925,0.9973,478.61,0.48,31,163209,163209,163209
2019-05-31,2019-07-01,long,53697,1.843,1.936,4993.82,5.05,31,050026,050026,050026
2019-05-31,2019-07-01,long,69599,1.4219,1.4903,4760.57,4.81,31,003191,003191,003191
2019-04-29,2019-07-01,long,92752,1.121,1.184,5843.38,5.62,63,160127,160127,160127
2019-07-30,2019-08-28,long,67756,1.522,1.5785,3828.21,3.71,29,003191,003191,003191
2019-07-30,2019-08-28,long,67441,1.5291,1.5877,3952.04,3.83,29,003190,003190,003190
2019-08-28,2019-09-27,long,69487,1.5252,1.6026,5378.29,5.07,30,004851,004851,004851
2019-08-28,2019-09-27,long,76174,1.3913,1.4499,4463.8,4.21,30,005689,005689,005689
2019-07-30,2019-09-27,long,101721,1.0138,1.0268,1322.37,1.28,59,004189,004189,004189
2019-07-30,2019-11-04,long,103186,0.9994,1.0202,2146.27,2.08,97,163209,163209,163209
2019-09-27,2019-11-04,long,88164,1.234,1.235,88.16,0.08,38,001480,001480,001480
2019-07-30,2019-11-04,long,18249,5.6507,6.3959,13599.15,13.19,97,960033,960033,960033
2019-09-27,2019-11-04,long,62133,1.751,1.769,1118.39,1.03,38,001071,001071,001071
2019-09-27,2019-11-04,long,73560,1.479,1.478,-73.56,-0.07,38,519727,519727,519727
2019-11-04,2019-12-03,long,50801,2.171,2.084,-4419.69,-4.01,29,161810,161810,161810
2019-11-04,2019-12-03,long,103763,1.0629,1.0298,-3434.56,-3.11,29,004189,004189,004189
2019-11-04,2019-12-03,long,27794,3.9681,3.8411,-3529.84,-3.2,29,510350,510350,510350
2019-12-03,2020-01-02,long,108305,1.0061,1.0769,7667.99,7.04,30,002560,002560,002560
2019-11-04,2020-02-07,long,60366,1.827,2.576,45214.13,41.0,95,000717,000717,000717
2019-12-03,2020-02-07,long,91645,1.189,1.471,25843.89,23.72,66,320007,320007,320007
2019-11-04,2020-02-07,long,80946,1.3625,1.8437,38951.22,35.32,95,003745,003745,003745
2020-01-02,2020-02-07,long,107113,1.093,1.214,12960.67,11.07,36,001790,001790,001790
2020-03-09,2020-04-08,long,24387,5.5004,5.2511,-6079.68,-4.53,30,510530,510530,510530
2020-03-09,2020-04-08,long,73626,1.8219,1.775,-3453.06,-2.57,30,512480,512480,512480
2020-03-09,2020-05-09,long,76099,1.7627,1.9056,10874.55,8.11,61,005312,005312,005312
2020-03-09,2020-05-09,long,74692,1.7959,1.9431,10994.66,8.2,61,005311,005311,005311
2020-04-08,2020-05-09,long,70418,1.838,1.929,6408.04,4.95,31,002264,002264,002264
2020-03-09,2020-06-08,long,122167,1.098,1.094,-488.67,-0.36,91,502023,502023,502023
2020-07-08,2020-08-06,long,48793,2.824,3.043,10685.67,7.75,29,000727,000727,000727
2020-07-08,2020-08-06,long,96763,1.424,1.517,8998.96,6.53,29,519714,519714,519714
2020-07-08,2020-08-06,long,90551,1.5217,1.6327,10051.16,7.29,29,005004,005004,005004
2020-07-08,2020-08-06,long,35141,3.921,4.166,8609.55,6.25,29,000294,000294,000294
2020-07-08,2020-08-06,long,82283,1.6746,1.7006,2139.36,1.55,29,512690,512690,512690
2020-08-06,2020-09-04,long,349684,0.4172,0.3995,-6189.41,-4.24,29,000906,000906,000906
2020-08-06,2020-09-04,long,61788,2.3611,2.1208,-14847.66,-10.18,29,512290,512290,512290
2020-08-06,2020-09-04,long,50358,2.897,2.731,-8359.43,-5.73,29,270023,270023,270023
2020-08-06,2020-09-04,long,59726,2.4426,2.3742,-4085.26,-2.8,29,000977,000977,000977
2020-08-06,2020-09-04,long,61540,2.3706,2.3059,-3981.64,-2.73,29,002542,002542,002542
2020-09-04,2020-10-12,long,80076,1.7283,1.7478,1561.48,1.13,38,006299,006299,006299
2020-09-04,2020-10-12,long,79840,1.7334,1.7526,1532.93,1.11,38,007193,007193,007193
2020-09-04,2020-10-12,long,40957,3.379,3.391,491.48,0.36,38,090018,090018,090018
2020-09-04,2020-10-12,long,103822,1.333,1.327,-622.93,-0.45,38,001301,001301,001301
2020-09-04,2020-10-12,long,99422,1.392,1.387,-497.11,-0.36,38,001300,001300,001300
2020-10-12,2020-11-10,long,61846,2.2457,2.3774,8145.12,5.86,29,005968,005968,005968
2020-10-12,2020-11-10,long,62831,2.2105,2.3389,8067.5,5.81,29,005969,005969,005969
2020-10-12,2020-11-10,long,45831,3.0304,3.0618,1439.09,1.04,29,000336,000336,000336
2020-10-12,2020-12-09,long,50064,2.7742,2.9151,7054.02,5.08,58,001606,001606,001606
2020-10-12,2020-12-09,long,63500,2.1872,2.3299,9061.45,6.52,58,002190,002190,002190
2020-11-10,2021-01-08,long,113437,1.2793,1.397,13351.53,9.2,59,004855,004855,004855
2020-12-09,2021-01-08,long,151532,0.9776,0.9942,2515.43,1.7,30,160135,160135,160135
2020-12-09,2021-01-08,long,63960,2.3161,2.8717,35536.18,23.99,30,512690,512690,512690
2020-11-10,2021-01-08,long,113242,1.2815,1.3999,13407.85,9.24,59,004854,004854,004854
2021-01-08,2021-02-08,long,61500,2.5789,2.4156,-10042.95,-6.33,31,002083,002083,002083
2021-01-08,2021-02-08,long,52797,3.004,2.801,-10717.79,-6.76,31,003834,003834,003834
