entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2016-07-12,2017-01-12,long,40192,2.488,2.465,-924.42,-0.92,184,002059,002059,002059
2016-07-12,2017-01-12,long,67037,1.4917,1.1271,-24441.69,-24.44,184,002441,002441,002441
2016-07-12,2017-01-12,long,179985,0.5556,0.5029,-9485.21,-9.49,184,100022,100022,100022
2016-07-12,2017-01-12,long,69348,1.442,1.154,-19972.22,-19.97,184,001302,001302,001302
2016-07-12,2017-01-12,long,126855,0.7883,0.6569,-16668.75,-16.67,184,398021,398021,398021
2016-07-12,2017-01-12,long,69686,1.435,1.141,-20487.68,-20.49,184,002207,002207,002207
2016-07-12,2017-01-12,long,42480,2.354,1.524,-35258.4,-35.26,184,100060,100060,100060
2016-07-12,2017-01-12,long,42553,2.35,2.33,-851.06,-0.85,184,002061,002061,002061
2016-07-12,2017-01-12,long,57636,1.735,1.299,-25129.3,-25.13,184,210009,210009,210009
2016-07-12,2017-01-12,long,93196,1.073,0.987,-8014.86,-8.01,184,161725,161725,161725
2017-07-18,2018-01-16,long,86649,0.968,0.887,-7018.57,-8.37,182,161030,161030,161030
2017-07-18,2018-01-16,long,62585,1.3402,1.5878,15496.05,18.47,182,513050,513050,513050
2017-07-18,2018-01-16,long,62876,1.334,1.769,27351.06,32.61,182,002803,002803,002803
2017-07-18,2018-01-16,long,39458,2.1257,2.2531,5026.95,5.99,182,003142,003142,003142
2017-07-18,2018-01-16,long,47984,1.748,1.749,47.98,0.06,182,001387,001387,001387
2017-07-18,2018-01-16,long,66994,1.252,1.148,-6967.38,-8.31,182,002778,002778,002778
2017-07-18,2018-01-16,long,63677,1.3172,1.7364,26693.4,31.83,182,169105,169105,169105
2017-07-18,2018-01-16,long,69664,1.204,1.415,14699.1,17.52,182,167301,167301,167301
2017-07-18,2018-01-16,long,60451,1.3875,1.7501,21919.53,26.13,182,040008,040008,040008
2017-07-18,2018-01-16,long,83792,1.001,1.069,5697.86,6.79,182,161025,161025,161025
2018-01-16,2018-07-19,long,41346,2.2776,2.1599,-4866.42,-5.17,184,002163,002163,002163
2018-01-16,2018-07-19,long,36527,2.5781,2.2568,-11736.13,-12.46,184,512600,512600,512600
2018-01-16,2018-07-19,long,63922,1.4732,1.4286,-2850.92,-3.03,184,550016,550016,550016
2018-01-16,2018-07-19,long,55673,1.6915,1.5066,-10293.94,-10.93,184,000248,000248,000248
2018-01-16,2018-07-19,long,59943,1.571,1.327,-14626.09,-15.53,184,260108,260108,260108
2018-01-16,2018-07-19,long,37003,2.5449,2.2408,-11252.61,-11.95,184,159928,159928,159928
2018-01-16,2018-07-19,long,63801,1.476,1.346,-8294.13,-8.81,184,162605,162605,162605
2018-01-16,2018-07-19,long,65775,1.4317,1.3373,-6209.16,-6.59,184,160222,160222,160222
2018-01-16,2018-07-19,long,99652,0.945,0.807,-13751.98,-14.6,184,161628,161628,161628
2018-01-16,2018-07-19,long,37075,2.54,2.291,-9231.68,-9.8,184,110022,110022,110022
2019-07-30,2020-02-07,long,55755,1.522,1.5245,139.39,0.16,192,003191,003191,003191
2019-07-30,2020-02-07,long,83704,1.0138,1.0496,2996.6,3.53,192,004189,004189,004189
2019-07-30,2020-02-07,long,12545,6.764,6.913,1869.21,2.2,192,260104,260104,260104
2019-07-30,2020-02-07,long,40062,2.1182,2.4711,14137.88,16.66,192,003889,003889,003889
2019-07-30,2020-02-07,long,48546,1.748,1.685,-3058.4,-3.6,192,260108,260108,260108
2019-07-30,2020-02-07,long,42880,1.979,2.16,7761.28,9.15,192,000854,000854,000854
2019-07-30,2020-02-07,long,40939,2.0728,2.418,14132.14,16.65,192,003890,003890,003890
2019-07-30,2020-02-07,long,84910,0.9994,1.1877,15988.55,18.84,192,163209,163209,163209
2019-07-30,2020-02-07,long,15017,5.6507,6.899,18745.72,22.09,192,960033,960033,960033
2019-07-30,2020-02-07,long,55496,1.5291,1.5414,682.6,0.8,192,003190,003190,003190
2020-08-06,2021-02-08,long,75542,1.2205,1.478,19452.07,21.1,186,008254,008254,008254
2020-08-06,2021-02-08,long,41819,2.2047,3.141,39155.13,42.47,186,004997,004997,004997
2020-08-06,2021-02-08,long,38892,2.3706,2.5521,7058.9,7.66,186,002542,002542,002542
2020-08-06,2021-02-08,long,220995,0.4172,0.6035,41171.37,44.65,186,000906,000906,000906
2020-08-06,2021-02-08,long,31825,2.897,3.903,32015.95,34.73,186,270023,270023,270023
2020-08-06,2021-02-08,long,39049,2.3611,2.0282,-12999.41,-14.1,186,512290,512290,512290
2020-08-06,2021-02-08,long,34218,2.6944,3.8575,39798.96,43.17,186,000336,000336,000336
2020-08-06,2021-02-08,long,37926,2.431,3.5408,42090.27,45.65,186,001606,001606,001606
2020-08-06,2021-02-08,long,37746,2.4426,2.647,7715.28,8.37,186,000977,000977,000977
2020-08-06,2021-02-08,long,41252,2.235,3.085,35064.2,38.03,186,002891,002891,002891
2024-05-16,2024-11-18,long,32173,3.6444,3.9651,10317.88,8.8,186,159925,159925,159925
2024-05-16,2024-11-18,long,90745,1.2921,1.1079,-16715.23,-14.26,186,517520,517520,517520
2024-05-16,2024-11-18,long,109581,1.07,1.231,17642.54,15.05,186,011060,011060,011060
2024-05-16,2024-11-18,long,131654,0.8906,0.832,-7714.92,-6.58,186,011740,011740,011740
2024-05-16,2024-11-18,long,102519,1.1437,1.2188,7699.18,6.57,186,015110,015110,015110
2024-05-16,2024-11-18,long,66680,1.7584,2.0749,21104.22,18.0,186,673073,673073,673073
2024-05-16,2024-11-18,long,103817,1.1294,1.201,7433.3,6.34,186,015111,015111,015111
2024-05-16,2024-11-18,long,107570,1.09,1.258,18071.76,15.41,186,671010,671010,671010
2024-05-16,2024-11-18,long,108546,1.0802,1.0901,1074.61,0.92,186,014031,014031,014031
2024-05-16,2024-11-18,long,65452,1.7914,2.1161,21252.26,18.13,186,673071,673071,673071
2024-11-18,2025-05-26,long,32325,3.8752,3.7888,-2792.88,-2.23,189,510310,510310,510310
2024-11-18,2025-05-26,long,68858,1.8192,1.9125,6424.45,5.13,189,021299,021299,021299
2024-11-18,2025-05-26,long,42886,2.9209,2.8519,-2959.13,-2.36,189,510580,510580,510580
2024-11-18,2025-05-26,long,84956,1.4745,1.6012,10763.93,8.59,189,018129,018129,018129
2024-11-18,2025-05-26,long,52360,2.3924,2.4717,4152.15,3.31,189,516300,516300,516300
2024-11-18,2025-05-26,long,68768,1.8216,1.9175,6594.85,5.26,189,021298,021298,021298
2024-11-18,2025-05-26,long,38381,3.2638,3.2979,1308.79,1.04,189,563330,563330,563330
2024-11-18,2025-05-26,long,77849,1.6091,1.332,-21571.96,-17.22,189,512200,512200,512200
2024-11-18,2025-05-26,long,84344,1.4852,1.6162,11049.06,8.82,189,018128,018128,018128
2024-11-18,2025-05-26,long,58544,2.1397,1.8021,-19764.45,-15.78,189,516160,516160,516160
2025-05-26,2025-11-27,long,72790,1.7116,1.8486,9972.23,8.0,185,014938,014938,014938
2025-05-26,2025-11-27,long,73712,1.6902,1.8218,9700.5,7.79,185,014939,014939,014939
2025-05-26,2025-11-27,long,96993,1.2845,1.8263,52550.81,42.18,185,020398,020398,020398
2025-05-26,2025-11-27,long,46125,2.7011,2.9526,11600.44,9.31,185,510100,510100,510100
