entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2017-02-21,2017-03-22,long,25400,4.91,5.51,15103.86,12.22,29,sz002185,sz002185,sz002185
2017-02-21,2017-03-23,long,14200,8.74,8.55,-2820.08,-2.17,30,sz000759,sz000759,sz000759
2017-02-21,2017-03-28,long,27400,4.56,4.13,-11898.11,-9.43,35,sh600403,sh600403,sh600403
2017-02-21,2017-04-17,long,18500,6.72,6.79,1169.71,1.04,55,sh600183,sh600183,sh600183
2017-03-22,2017-04-24,long,32800,3.96,3.95,-457.64,-0.25,33,sz002463,sz002463,sz002463
2017-04-24,2017-05-23,long,26000,4.81,5.18,9487.73,7.69,29,sz300502,sz300502,sz300502
2017-04-24,2017-05-23,long,19800,6.3,6.28,-520.44,-0.32,29,sh600183,sh600183,sh600183
2017-04-24,2017-05-24,long,15700,7.94,7.14,-12675.24,-10.08,30,sz000759,sz000759,sz000759
2017-05-24,2017-06-26,long,16100,7.14,8.24,17581.76,15.41,33,sz000759,sz000759,sz000759
2017-04-24,2017-07-13,long,9300,13.39,15.02,15023.1,12.17,80,sz002384,sz002384,sz002384
2017-05-24,2017-07-17,long,24300,5.3,6.12,19782.27,15.47,54,sz002185,sz002185,sz002185
2017-06-26,2017-07-25,long,16800,7.86,8.04,2889.68,2.29,29,sz000636,sz000636,sz000636
2017-05-24,2017-08-04,long,21200,6.08,8.01,40756.42,31.74,72,sh600183,sh600183,sh600183
2017-07-25,2017-08-28,long,16200,9.19,9.21,174.88,0.22,34,sz000759,sz000759,sz000759
2017-07-25,2017-09-21,long,9600,15.43,16.78,12802.15,8.75,58,sz002384,sz002384,sz002384
2017-08-23,2017-10-18,long,19300,7.96,8.3,6403.45,4.27,56,sh600183,sh600183,sh600183
2017-09-21,2017-10-27,long,16900,9.45,8.99,-7927.87,-4.87,36,sz000759,sz000759,sz000759
2017-09-21,2017-11-17,long,7100,22.32,23.15,5730.11,3.72,57,sz300308,sz300308,sz300308
2017-07-25,2017-11-17,long,20800,6.08,7.58,31050.14,24.67,115,sz002185,sz002185,sz002185
2017-10-27,2017-11-23,long,7600,20.87,19.65,-9423.66,-5.85,27,sz002384,sz002384,sz002384
2017-10-27,2017-11-23,long,19400,8.24,9.05,15542.36,9.83,27,sh600183,sh600183,sh600183
2017-11-27,2017-12-26,long,5300,30.42,28.62,-9694.07,-5.92,29,sh600498,sh600498,sh600498
2017-11-27,2017-12-26,long,8700,18.49,18.03,-4159.86,-2.49,29,sz002384,sz002384,sz002384
2017-12-26,2018-01-08,long,28500,4.75,4.38,-10672.47,-7.79,13,sz002463,sz002463,sz002463
2017-11-27,2018-01-15,long,19600,8.23,9.78,30195.91,18.83,49,sh600183,sh600183,sh600183
2017-12-26,2018-01-16,long,9700,18.03,18.45,3896.05,2.33,21,sz002384,sz002384,sz002384
2018-01-25,2018-01-29,long,12200,10.93,10.11,-10129.84,-7.5,4,sz000636,sz000636,sz000636
2018-01-25,2018-01-31,long,6700,26.83,25.9,-6406.09,-3.47,6,sh600498,sh600498,sh600498
2018-01-25,2018-01-31,long,18300,9.91,8.87,-19199.08,-10.49,6,sh600183,sh600183,sh600183
2017-11-27,2018-02-06,long,7200,22.48,27.61,36746.44,22.82,71,sz300308,sz300308,sz300308
2018-03-02,2018-03-23,long,6000,27.04,24.29,-16649.87,-10.17,21,sh600498,sh600498,sh600498
2018-03-02,2018-03-23,long,16800,9.77,8.86,-15440.67,-9.31,21,sh600183,sh600183,sh600183
2018-03-02,2018-03-28,long,4600,35.5,36.07,2456.73,1.61,26,sz300308,sz300308,sz300308
2018-03-02,2018-04-02,long,14400,11.38,13.62,32067.94,19.68,31,sz000636,sz000636,sz000636
2019-02-14,2019-03-14,long,4400,37.44,50.24,56113.02,34.19,28,sh603986,sh603986,sh603986
2019-02-14,2019-03-15,long,14100,11.71,14.47,38721.7,23.57,29,sz000636,sz000636,sz000636
2019-02-14,2019-03-15,long,17300,9.53,10.61,18505.12,11.33,29,sh603339,sh603339,sh603339
2019-02-14,2019-03-26,long,21900,7.53,9.25,37474.84,22.84,40,sz002463,sz002463,sz002463
2019-03-15,2019-03-28,long,21800,9.34,9.57,4806.63,2.46,13,sz002474,sz002474,sz002474
2019-03-15,2019-04-11,long,6800,29.71,28.39,-9171.3,-4.44,27,sh603228,sh603228,sh603228
2019-03-15,2019-04-16,long,6700,30.1,29.14,-6628.85,-3.19,32,sh600498,sh600498,sh600498
2019-04-16,2019-04-25,long,20000,9.98,10.35,7194.85,3.71,9,sz002474,sz002474,sz002474
2019-04-16,2019-04-30,long,20500,9.74,9.68,-1428.75,-0.62,14,sz002463,sz002463,sz002463
2019-04-16,2019-05-06,long,40400,4.95,5.0,1818.5,1.01,20,sz300502,sz300502,sz300502
2019-04-16,2019-05-06,long,7300,27.09,26.54,-4209.75,-2.03,20,sh603228,sh603228,sh603228
2019-05-20,2019-06-14,long,47300,4.24,4.4,7361.77,3.77,25,sz300502,sz300502,sz300502
2019-05-20,2019-07-10,long,24000,8.34,11.82,83257.2,41.73,51,sz002463,sz002463,sz002463
2019-05-20,2019-07-18,long,8400,23.9,25.36,12054.04,6.11,59,sh603228,sh603228,sh603228
2019-07-18,2019-08-01,long,4800,49.93,48.46,-7290.37,-2.94,14,sh603986,sh603986,sh603986
2019-08-16,2019-08-28,long,8200,30.04,29.07,-8194.36,-3.23,12,sh603228,sh603228,sh603228
2019-05-20,2019-09-17,long,18500,10.83,22.52,215902.45,107.94,120,sh600183,sh600183,sh600183
2019-06-19,2019-09-25,long,48800,4.24,7.55,161199.94,78.07,98,sz300502,sz300502,sz300502
2019-09-17,2019-09-26,long,9300,32.02,30.89,-10798.9,-3.53,9,sh603228,sh603228,sh603228
2019-07-18,2019-09-26,long,19300,12.57,22.62,193576.93,79.95,70,sz002463,sz002463,sz002463
2019-09-17,2019-09-26,long,11300,31.7,30.14,-17972.99,-4.92,9,sz300308,sz300308,sz300308
2019-10-23,2019-10-30,long,17200,20.71,19.84,-15308.99,-4.2,7,sz002463,sz002463,sz002463
2019-10-23,2019-10-30,long,16700,21.39,20.52,-14875.32,-4.07,7,sh600183,sh600183,sh600183
2019-10-23,2019-11-07,long,51800,6.91,6.62,-15368.67,-4.2,15,sz300502,sz300502,sz300502
2019-10-23,2019-11-21,long,5000,70.9,83.83,64247.01,18.24,29,sh603986,sh603986,sh603986
2019-11-21,2019-12-20,long,19000,19.07,19.26,3244.96,1.0,29,sh600183,sh600183,sh600183
2019-11-21,2019-12-23,long,19200,18.82,19.33,9423.31,2.71,32,sz002463,sz002463,sz002463
2019-11-21,2019-12-30,long,51300,7.06,7.06,-362.18,0.0,39,sz300502,sz300502,sz300502
2019-12-20,2020-01-21,long,17000,21.77,27.46,96287.36,26.14,32,sz002384,sz002384,sz002384
2019-11-21,2020-01-21,long,11600,31.08,39.07,92253.96,25.71,61,sz300308,sz300308,sz300308
2020-01-21,2020-02-03,long,46000,8.97,8.5,-22016.41,-5.24,13,sz300502,sz300502,sz300502
2020-01-21,2020-02-03,long,20000,20.64,18.21,-48976.35,-11.77,13,sz002463,sz002463,sz002463
2020-01-21,2020-02-03,long,20100,20.52,18.72,-36565.32,-8.77,13,sh600183,sh600183,sh600183
2020-01-21,2020-02-03,long,45600,9.04,8.3,-34130.92,-8.19,13,sz002185,sz002185,sz002185
2020-02-27,2020-02-28,long,12200,30.81,28.4,-29755.83,-7.82,1,sz002384,sz002384,sz002384
2020-02-27,2020-03-09,long,14400,26.08,26.29,2646.18,0.81,11,sh600183,sh600183,sh600183
2020-02-27,2020-03-12,long,8200,45.67,43.5,-18155.15,-4.75,14,sz300308,sz300308,sz300308
2020-02-27,2020-03-16,long,15500,24.24,24.47,3186.61,0.95,18,sz002463,sz002463,sz002463
2020-07-02,2020-07-16,long,2200,165.88,186.87,45778.43,12.65,14,sh603986,sh603986,sh603986
2020-07-02,2020-07-16,long,8400,43.61,46.14,20869.74,5.8,14,sz300308,sz300308,sz300308
2020-07-02,2020-07-16,long,16000,22.85,23.45,9227.2,2.63,14,sz300476,sz300476,sz300476
2020-07-02,2020-07-16,long,27100,13.51,17.27,101453.46,27.83,14,sz002185,sz002185,sz002185
2020-07-31,2020-08-11,long,22500,18.27,18.0,-6481.52,-1.48,11,sz300502,sz300502,sz300502
2020-07-31,2020-08-12,long,2500,159.58,150.9,-22082.68,-5.44,12,sh603986,sh603986,sh603986
2020-07-31,2020-08-20,long,11900,34.52,34.59,421.59,0.2,20,sz000636,sz000636,sz000636
2020-07-31,2020-09-02,long,26400,15.57,15.42,-4368.08,-0.96,33,sz002185,sz002185,sz002185
2020-08-31,2020-09-09,long,23100,17.45,15.58,-43567.7,-10.72,9,sz300502,sz300502,sz300502
2020-08-31,2020-09-09,long,18300,21.88,20.45,-26549.78,-6.54,9,sz300476,sz300476,sz300476
2020-08-31,2020-09-11,long,12700,31.57,28.6,-38091.65,-9.41,11,sz000636,sz000636,sz000636
2020-09-29,2020-10-23,long,14400,25.97,26.85,12288.53,3.39,24,sz000636,sz000636,sz000636
2020-09-29,2020-10-30,long,24000,15.63,16.45,19290.12,5.25,31,sz300502,sz300502,sz300502
2020-09-29,2020-11-05,long,15800,23.78,25.12,20780.4,5.63,37,sz002384,sz002384,sz002384
2020-11-05,2020-11-11,long,24800,15.73,17.44,41986.09,10.87,6,sz300502,sz300502,sz300502
2020-11-05,2020-12-04,long,19700,20.11,22.92,54919.32,13.97,29,sz300476,sz300476,sz300476
