entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2017-02-21,2017-02-27,long,14000,11.84,11.52,-4642.4,-2.7,6,sh600249,sh600249,sh600249
2017-02-21,2017-03-22,long,18700,8.9,9.89,18332.69,11.12,29,sz300237,sz300237,sz300237
2017-02-21,2017-03-22,long,3800,43.13,43.98,3063.68,1.97,29,sh600137,sh600137,sh600137
2017-03-22,2017-03-29,long,5100,33.38,34.0,2989.39,1.86,7,sz002287,sz002287,sz002287
2017-03-22,2017-03-31,long,17600,9.75,9.85,1587.08,1.03,9,sh601186,sh601186,sh601186
2017-03-22,2017-04-24,long,13700,12.52,12.05,-6605.69,-3.75,33,sz002092,sz002092,sz002092
2017-04-24,2017-04-26,long,15300,11.2,11.06,-2311.75,-1.25,2,sz000921,sz000921,sz000921
2017-04-24,2017-05-02,long,9700,17.55,17.13,-4241.18,-2.39,8,sh600592,sh600592,sh600592
2017-04-24,2017-05-03,long,17000,10.09,11.7,27177.94,15.96,9,sz002342,sz002342,sz002342
2017-05-24,2017-05-31,long,16100,11.08,13.84,44224.28,24.91,7,sz002350,sz002350,sz002350
2017-05-24,2017-06-01,long,18300,9.7,10.9,21766.02,12.37,8,sh600550,sh600550,sh600550
2017-05-24,2017-06-20,long,9300,19.18,20.64,13389.44,7.61,27,sh600809,sh600809,sh600809
2017-06-26,2017-06-30,long,17900,11.42,11.53,1763.11,0.96,4,sz002307,sz002307,sz002307
2017-06-26,2017-07-13,long,12800,15.93,15.69,-3273.6,-1.51,17,sz002457,sz002457,sz002457
2017-06-26,2017-07-25,long,10600,19.32,26.57,76587.57,37.53,29,sz002460,sz002460,sz002460
2017-07-25,2017-07-27,long,20200,11.33,10.88,-9312.05,-3.97,2,sz002271,sz002271,sz002271
2017-07-25,2017-08-15,long,28400,8.08,9.13,29568.16,13.0,21,sz002233,sz002233,sz002233
2017-07-25,2017-08-18,long,10400,21.99,28.0,62228.43,27.33,24,sh600809,sh600809,sh600809
2017-08-23,2017-09-11,long,10000,25.63,26.98,13233.57,5.27,19,sz002415,sz002415,sz002415
2017-08-23,2017-09-11,long,6600,38.46,38.95,2977.74,1.27,19,sh601318,sh601318,sh601318
2017-08-23,2017-09-21,long,9000,28.49,33.51,44889.71,17.62,29,sz300268,sz300268,sz300268
2017-09-21,2017-09-28,long,9400,29.44,28.33,-10702.91,-3.77,7,sz000856,sz000856,sz000856
2017-09-21,2017-10-27,long,6100,45.49,48.2,16241.11,5.96,36,sz000568,sz000568,sz000568
2017-09-21,2017-10-27,long,29400,9.43,11.38,57009.76,20.68,36,sz002507,sz002507,sz002507
2017-10-27,2017-10-30,long,32100,9.28,8.91,-12165.98,-3.99,3,sz002056,sz002056,sz002056
2017-10-27,2017-11-06,long,8600,34.61,37.81,27201.71,9.25,10,sh603799,sh603799,sh603799
2017-10-27,2017-11-23,long,35700,8.36,9.6,43936.35,14.83,27,sz002600,sz002600,sz002600
2017-11-27,2017-11-28,long,33000,9.63,8.8,-27687.25,-8.62,1,sz002056,sz002056,sz002056
2017-11-27,2017-12-07,long,15300,20.74,19.94,-12548.14,-3.86,10,sh600036,sh600036,sh600036
2017-11-27,2017-12-12,long,44100,7.2,7.71,22156.61,7.08,15,sh600801,sh600801,sh600801
2017-12-26,2017-12-27,long,29000,10.73,10.05,-20016.38,-6.34,1,sh600438,sh600438,sh600438
2017-12-26,2018-01-05,long,24100,12.94,12.74,-5128.24,-1.55,10,sz300274,sz300274,sz300274
2017-12-26,2018-01-11,long,16300,19.1,20.4,20862.78,6.81,16,sz000786,sz000786,sz000786
2018-01-25,2018-02-01,long,28500,10.88,10.64,-7144.95,-2.21,7,sh601012,sh601012,sh601012
2018-01-25,2018-02-01,long,30300,10.24,9.88,-11210.09,-3.52,7,sh600438,sh600438,sh600438
