date,value
2025-01-02,100.0
2025-01-03,99.6225
2025-01-06,99.5915
2025-01-07,100.6464
2025-01-08,101.3239
2025-01-09,102.6431
2025-01-10,101.648
2025-01-13,100.677
2025-01-14,102.2435
2025-01-15,101.8072
2025-01-16,101.2985
2025-01-17,103.0495
2025-01-20,104.036
2025-01-21,104.7663
2025-01-22,108.1349
2025-01-23,106.4853
2025-01-24,107.4008
2025-01-27,102.8153
2025-02-05,98.3977
2025-02-06,101.0188
2025-02-07,102.2208
2025-02-10,102.9704
2025-02-11,103.4818
2025-02-12,104.6136
2025-02-13,103.2459
2025-02-14,103.8501
2025-02-17,106.33
2025-02-18,105.8729
2025-02-19,107.8236
2025-02-20,107.4614
2025-02-21,109.4798
2025-02-24,107.9501
2025-02-25,106.1311
2025-02-26,106.5016
2025-02-27,104.2835
2025-02-28,100.9393
2025-03-03,99.8974
2025-03-04,100.4416
2025-03-05,101.912
2025-03-06,102.6771
2025-03-07,101.7601
2025-03-10,102.2564
2025-03-11,102.9906
2025-03-12,103.5863
2025-03-13,102.4246
2025-03-14,105.9423
2025-03-17,107.5194
2025-03-18,108.5339
2025-03-19,105.7329
2025-03-20,104.7297
2025-03-21,103.8093
2025-03-24,104.8334
2025-03-25,102.8676
2025-03-26,102.7543
2025-03-27,102.0137
2025-03-28,101.6714
2025-03-31,101.2039
2025-04-01,101.1077
2025-04-02,101.6475
2025-04-03,98.4993
2025-04-07,91.177
2025-04-08,88.9413
2025-04-09,90.9853
2025-04-10,92.5416
2025-04-11,93.6552
2025-04-14,93.841
2025-04-15,94.1248
2025-04-16,92.8701
2025-04-17,92.7303
2025-04-18,93.9299
2025-04-21,94.808
2025-04-22,93.9658
2025-04-23,95.4297
2025-04-24,94.7559
2025-04-25,96.1794
2025-04-28,95.5459
2025-04-29,95.8108
2025-04-30,95.9672
2025-05-06,98.7161
2025-05-07,97.9475
2025-05-08,100.0234
2025-05-09,98.9279
2025-05-12,100.8076
2025-05-13,100.7858
2025-05-14,101.8895
2025-05-15,100.0416
2025-05-16,100.1971
2025-05-19,99.8453
2025-05-20,100.771
2025-05-21,100.0485
2025-05-22,99.5839
2025-05-23,98.4835
2025-05-26,99.1922
2025-05-27,98.5765
2025-05-28,99.394
2025-05-29,100.7887
2025-05-30,100.3755
2025-06-03,100.2804
2025-06-04,102.2811
2025-06-05,105.6253
2025-06-06,106.1033
2025-06-09,106.9837
2025-06-10,106.7004
2025-06-11,107.3316
2025-06-12,108.1007
2025-06-13,107.4714
2025-06-16,110.584
2025-06-17,109.9334
