entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2025-01-20,2025-02-06,long,5000,60.76,53.14,-38375.22,-12.54,7,300502,新易盛,新易盛 (300502)
2025-01-20,2025-02-17,long,500,60.76,55.68,-2568.47,-8.36,14,300502,新易盛,新易盛 (300502)
2025-01-20,2025-02-26,long,5700,60.76,55.56,-29964.1,-8.56,21,300502,新易盛,新易盛 (300502)
2025-01-20,2025-02-27,long,100,60.76,56.71,-410.77,-6.67,22,300502,新易盛,新易盛 (300502)
2025-01-20,2025-03-03,long,8900,60.76,48.08,-113308.12,-20.87,24,300502,新易盛,新易盛 (300502)
2025-03-19,2025-11-14,long,2200,50.27,226.44,387172.73,350.45,161,300502,新易盛,新易盛 (300502)
2025-03-19,2025-11-17,long,2200,50.27,223.81,381391.06,345.22,162,300502,新易盛,新易盛 (300502)
2025-03-19,2025-11-18,long,2200,50.27,219.29,371454.52,336.22,163,300502,新易盛,新易盛 (300502)
2025-03-19,2025-11-24,long,2300,50.27,216.83,382685.06,331.33,167,300502,新易盛,新易盛 (300502)
2025-03-19,2025-11-25,long,2300,50.27,215.71,380111.0,329.1,168,300502,新易盛,新易盛 (300502)
2025-03-19,2026-01-26,long,1800,50.27,270.57,396152.11,438.23,210,300502,新易盛,新易盛 (300502)
2025-03-19,2026-01-29,long,400,50.27,285.01,93805.47,466.96,213,300502,新易盛,新易盛 (300502)
2025-03-19,2026-02-09,long,1100,50.27,270.7,242235.85,438.49,220,300502,新易盛,新易盛 (300502)
2025-03-19,2026-07-03,long,900,50.27,510.0,413401.44,914.52,313,300502,新易盛,新易盛 (300502)
2025-03-19,2026-07-07,long,900,50.27,506.89,410604.54,908.33,315,300502,新易盛,新易盛 (300502)
2025-03-19,2026-07-13,long,500,50.27,518.0,233664.47,930.44,319,300502,新易盛,新易盛 (300502)
2025-03-19,2026-07-27,long,1000,50.27,466.14,415507.83,827.27,329,300502,新易盛,新易盛 (300502)
2025-01-23,2025-03-03,long,3200,130.68,100.54,-96793.84,-23.06,21,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-07-13,long,400,130.68,1100.01,387388.93,741.76,352,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-07-20,long,400,130.68,1028.43,358778.4,686.98,357,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-07-23,long,400,130.68,1089.54,383204.07,733.75,360,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-07-24,long,400,130.68,1050.53,367611.77,703.9,361,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-07-27,long,400,130.68,1021.02,355816.63,681.31,362,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-07-29,long,500,130.68,915.0,391800.54,600.18,364,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-07-31,long,500,130.68,960.0,414283.66,634.62,366,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-08-10,long,500,130.68,917.99,393294.42,602.47,372,300308,中际旭创,中际旭创 (300308)
2025-01-23,2026-08-10,long,5100,130.68,864.58,3739416.36,561.6,372,300308,中际旭创,中际旭创 (300308)
2025-01-21,2025-04-08,long,1762700,0.25,0.24,-18054.45,-4.0,48,159516,半导体设备ETF,半导体设备ETF (159516)
2025-01-21,2026-03-24,long,1250000,0.25,0.4,187046.88,60.0,280,159516,半导体设备ETF,半导体设备ETF (159516)
2025-01-21,2026-03-25,long,1219500,0.25,0.41,194668.78,64.0,281,159516,半导体设备ETF,半导体设备ETF (159516)
2025-01-21,2026-04-03,long,3000,0.25,0.4,448.91,60.0,288,159516,半导体设备ETF,半导体设备ETF (159516)
2025-01-21,2026-07-24,long,704200,0.25,0.71,323513.0,184.0,363,159516,半导体设备ETF,半导体设备ETF (159516)
